CLAVE_MUNICIPIO,MUNICIPIO,CLAVE_ENTIDAD,county_id,county_name_esp,county_name_eng
1,AGUASCALIENTES,1,1001,Aguascalientes,Aguascalientes
2,ASIENTOS,1,1002,Asientos,Asientos
3,CALVILLO,1,1003,Calvillo,Calvillo
4,COSÍO,1,1004,Cosío,Cosio
5,JESÚS MARÍA,1,1005,Jesús María,Jesus Maria
6,PABELLÓN DE ARTEAGA,1,1006,Pabellón De Arteaga,Pabellon De Arteaga
7,RINCÓN DE ROMOS,1,1007,Rincón De Romos,Rincon De Romos
8,SAN JOSÉ DE GRACIA,1,1008,San José De Gracia,San Jose De Gracia
9,TEPEZALÁ,1,1009,Tepezalá,Tepezala
10,EL LLANO,1,1010,El Llano,El Llano
11,SAN FRANCISCO DE LOS ROMO,1,1011,San Francisco De Los Romo,San Francisco De Los Romo
999,NO ESPECIFICADO,1,1999,No Especificado,No Especificado
1,ENSENADA,2,2001,Ensenada,Ensenada
2,MEXICALI,2,2002,Mexicali,Mexicali
3,TECATE,2,2003,Tecate,Tecate
4,TIJUANA,2,2004,Tijuana,Tijuana
5,PLAYAS DE ROSARITO,2,2005,Playas De Rosarito,Playas De Rosarito
999,NO ESPECIFICADO,2,2999,No Especificado,No Especificado
1,COMONDÚ,3,3001,Comondú,Comondu
2,MULEGÉ,3,3002,Mulegé,Mulege
3,LA PAZ,3,3003,La Paz,La Paz
8,LOS CABOS,3,3008,Los Cabos,Los Cabos
9,LORETO,3,3009,Loreto,Loreto
999,NO ESPECIFICADO,3,3999,No Especificado,No Especificado
1,CALKINÍ,4,4001,Calkiní,Calkini
2,CAMPECHE,4,4002,Campeche,Campeche
3,CARMEN,4,4003,Carmen,Carmen
4,CHAMPOTÓN,4,4004,Champotón,Champoton
5,HECELCHAKÁN,4,4005,Hecelchakán,Hecelchakan
6,HOPELCHÉN,4,4006,Hopelchén,Hopelchen
7,PALIZADA,4,4007,Palizada,Palizada
8,TENABO,4,4008,Tenabo,Tenabo
9,ESCÁRCEGA,4,4009,Escárcega,Escarcega
10,CALAKMUL,4,4010,Calakmul,Calakmul
11,CANDELARIA,4,4011,Candelaria,Candelaria
999,NO ESPECIFICADO,4,4999,No Especificado,No Especificado
1,ABASOLO,5,5001,Abasolo,Abasolo
2,ACUÑA,5,5002,Acuña,Acuña
3,ALLENDE,5,5003,Allende,Allende
4,ARTEAGA,5,5004,Arteaga,Arteaga
5,CANDELA,5,5005,Candela,Candela
6,CASTAÑOS,5,5006,Castaños,Castaños
7,CUATRO CIÉNEGAS,5,5007,Cuatro Ciénegas,Cuatro Cienegas
8,ESCOBEDO,5,5008,Escobedo,Escobedo
9,FRANCISCO I. MADERO,5,5009,Francisco I. Madero,Francisco I. Madero
10,FRONTERA,5,5010,Frontera,Frontera
11,GENERAL CEPEDA,5,5011,General Cepeda,General Cepeda
12,GUERRERO,5,5012,Guerrero,Guerrero
13,HIDALGO,5,5013,Hidalgo,Hidalgo
14,JIMÉNEZ,5,5014,Jiménez,Jimenez
15,JUÁREZ,5,5015,Juárez,Juarez
16,LAMADRID,5,5016,Lamadrid,Lamadrid
17,MATAMOROS,5,5017,Matamoros,Matamoros
18,MONCLOVA,5,5018,Monclova,Monclova
19,MORELOS,5,5019,Morelos,Morelos
20,MÚZQUIZ,5,5020,Múzquiz,Muzquiz
21,NADADORES,5,5021,Nadadores,Nadadores
22,NAVA,5,5022,Nava,Nava
23,OCAMPO,5,5023,Ocampo,Ocampo
24,PARRAS,5,5024,Parras,Parras
25,PIEDRAS NEGRAS,5,5025,Piedras Negras,Piedras Negras
26,PROGRESO,5,5026,Progreso,Progreso
27,RAMOS ARIZPE,5,5027,Ramos Arizpe,Ramos Arizpe
28,SABINAS,5,5028,Sabinas,Sabinas
29,SACRAMENTO,5,5029,Sacramento,Sacramento
30,SALTILLO,5,5030,Saltillo,Saltillo
31,SAN BUENAVENTURA,5,5031,San Buenaventura,San Buenaventura
32,SAN JUAN DE SABINAS,5,5032,San Juan De Sabinas,San Juan De Sabinas
33,SAN PEDRO,5,5033,San Pedro,San Pedro
34,SIERRA MOJADA,5,5034,Sierra Mojada,Sierra Mojada
35,TORREÓN,5,5035,Torreón,Torreon
36,VIESCA,5,5036,Viesca,Viesca
37,VILLA UNIÓN,5,5037,Villa Unión,Villa Union
38,ZARAGOZA,5,5038,Zaragoza,Zaragoza
999,NO ESPECIFICADO,5,5999,No Especificado,No Especificado
1,ARMERÍA,6,6001,Armería,Armeria
2,COLIMA,6,6002,Colima,Colima
3,COMALA,6,6003,Comala,Comala
4,COQUIMATLÁN,6,6004,Coquimatlán,Coquimatlan
5,CUAUHTÉMOC,6,6005,Cuauhtémoc,Cuauhtemoc
6,IXTLAHUACÁN,6,6006,Ixtlahuacán,Ixtlahuacan
7,MANZANILLO,6,6007,Manzanillo,Manzanillo
8,MINATITLÁN,6,6008,Minatitlán,Minatitlan
9,TECOMÁN,6,6009,Tecomán,Tecoman
10,VILLA DE ÁLVAREZ,6,6010,Villa De Álvarez,Villa De Alvarez
999,NO ESPECIFICADO,6,6999,No Especificado,No Especificado
1,ACACOYAGUA,7,7001,Acacoyagua,Acacoyagua
2,ACALA,7,7002,Acala,Acala
3,ACAPETAHUA,7,7003,Acapetahua,Acapetahua
4,ALTAMIRANO,7,7004,Altamirano,Altamirano
5,AMATÁN,7,7005,Amatán,Amatan
6,AMATENANGO DE LA FRONTERA,7,7006,Amatenango De La Frontera,Amatenango De La Frontera
7,AMATENANGO DEL VALLE,7,7007,Amatenango Del Valle,Amatenango Del Valle
8,ANGEL ALBINO CORZO,7,7008,Angel Albino Corzo,Angel Albino Corzo
9,ARRIAGA,7,7009,Arriaga,Arriaga
10,BEJUCAL DE OCAMPO,7,7010,Bejucal De Ocampo,Bejucal De Ocampo
11,BELLA VISTA,7,7011,Bella Vista,Bella Vista
