Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Ensenada,3.0,3.0,0.0,0.0,2019-12-05
Baja California,Tijuana,2.0,1.0,1.0,0.0,2019-12-05
Chiapas,Acacoyagua,1.0,1.0,0.0,0.0,2019-12-05
Chihuahua,Carichí,2.0,0.0,2.0,0.0,2019-12-05
Chihuahua,Juárez,7.0,5.0,0.0,2.0,2019-12-05
Ciudad de México,Azcapotzalco,1.0,0.0,1.0,0.0,2019-12-05
Ciudad de México,Iztacalco,1.0,0.0,1.0,0.0,2019-12-05
Ciudad de México,Iztapalapa,1.0,0.0,1.0,0.0,2019-12-05
Coahuila,Torreón,1.0,1.0,0.0,0.0,2019-12-05
Colima,Tecomán,1.0,1.0,0.0,0.0,2019-12-05
Durango,Gómez Palacio,1.0,1.0,0.0,0.0,2019-12-05
Guanajuato,Abasolo,4.0,1.0,3.0,0.0,2019-12-05
Guanajuato,Apaseo el Alto,1.0,1.0,0.0,0.0,2019-12-05
Guanajuato,Irapuato,5.0,4.0,0.0,1.0,2019-12-05
Guanajuato,León,2.0,2.0,0.0,0.0,2019-12-05
Guanajuato,Valle de Santiago,1.0,0.0,0.0,1.0,2019-12-05
Guerrero,"Acapulco de 
Juárez",1.0,1.0,0.0,0.0,2019-12-05
Guerrero,"Chilpancingo de 
los Bravo",3.0,2.0,0.0,1.0,2019-12-05
Guerrero,Eduardo Neri,1.0,0.0,0.0,1.0,2019-12-05
Guerrero,"Iguala de la 
Independencia",1.0,0.0,0.0,1.0,2019-12-05
Guerrero,Leonardo Bravo,1.0,0.0,1.0,0.0,2019-12-05
Guerrero,"Tepecoacuilco de 
Trujano",1.0,0.0,0.0,1.0,2019-12-05
Hidalgo,"Mineral de la 
Reforma",1.0,1.0,0.0,0.0,2019-12-05
Jalisco,Lagos de Moreno,1.0,1.0,0.0,0.0,2019-12-05
Michoacán,Jacona,1.0,1.0,0.0,0.0,2019-12-05
Michoacán,Morelia,2.0,2.0,0.0,0.0,2019-12-05
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2019-12-05
Michoacán,Zamora,2.0,2.0,0.0,0.0,2019-12-05
Morelos,Ayala,1.0,0.0,0.0,1.0,2019-12-05
Morelos,Yautepec,1.0,1.0,0.0,0.0,2019-12-05
Estado de México,Calimaya,1.0,1.0,0.0,0.0,2019-12-05
Estado de México,"Naucalpan de 
Juárez",1.0,0.0,1.0,0.0,2019-12-05
Estado de México,Tenango del Valle,1.0,0.0,0.0,1.0,2019-12-05
Estado de México,Tultitlán,1.0,0.0,0.0,1.0,2019-12-05
Nuevo León,Apodaca,1.0,1.0,0.0,0.0,2019-12-05
Nuevo León,Carmen,1.0,0.0,0.0,1.0,2019-12-05
Oaxaca,"San Juan Bautista 
Tuxtepec",1.0,0.0,1.0,0.0,2019-12-05
Oaxaca,San Miguel,2.0,2.0,0.0,0.0,2019-12-05
Oaxaca,"Santiago Pinotepa 
Nacional",1.0,1.0,0.0,0.0,2019-12-05
Oaxaca,Soyaltepec,3.0,3.0,0.0,0.0,2019-12-05
Puebla,Atlixco,1.0,1.0,0.0,0.0,2019-12-05
Puebla,Puebla,2.0,1.0,0.0,1.0,2019-12-05
Puebla,Tepeaca,1.0,1.0,0.0,0.0,2019-12-05
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2019-12-05
San Luis Potosí,San Luis Potosí,2.0,1.0,0.0,1.0,2019-12-05
Sonora,Hermosillo,3.0,1.0,2.0,0.0,2019-12-05
Sonora,"San Luis Río 
Colorado",2.0,2.0,0.0,0.0,2019-12-05
Tlaxcala,Tetlatlahuca,1.0,1.0,0.0,0.0,2019-12-05
Veracruz,"Camerino Z. 
Mendoza",1.0,0.0,0.0,1.0,2019-12-05
Veracruz,"Cazones de 
Herrera",1.0,1.0,0.0,0.0,2019-12-05
Veracruz,Chinameca,1.0,1.0,0.0,0.0,2019-12-05
Veracruz,La Antigua,2.0,2.0,0.0,0.0,2019-12-05
Veracruz,Minatitlán,1.0,1.0,0.0,0.0,2019-12-05
Veracruz,Tlapacoyan,1.0,1.0,0.0,0.0,2019-12-05
