Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Mexicali,1.0,1.0,0.0,0.0,2019-06-25
Baja California,Tijuana,7.0,5.0,1.0,1.0,2019-06-25
Chihuahua,Bocoyna,2.0,2.0,0.0,0.0,2019-06-25
Chihuahua,Chihuahua,1.0,1.0,0.0,0.0,2019-06-25
Chihuahua,Cuauhtémoc,2.0,2.0,0.0,0.0,2019-06-25
Chihuahua,Hidalgo del Parral,1.0,1.0,0.0,0.0,2019-06-25
Chihuahua,Juárez,4.0,1.0,1.0,2.0,2019-06-25
Chihuahua,Valle de Zaragoza,1.0,1.0,0.0,0.0,2019-06-25
Ciudad de México,Benito Juárez,1.0,1.0,0.0,0.0,2019-06-25
Ciudad de México,"Gustavo A. 
Madero",2.0,2.0,0.0,0.0,2019-06-25
Ciudad de México,Álvaro Obregón,2.0,2.0,0.0,0.0,2019-06-25
Coahuila,Saltillo,1.0,1.0,0.0,0.0,2019-06-25
Guanajuato,León,3.0,2.0,0.0,1.0,2019-06-25
Guanajuato,Pénjamo,1.0,1.0,0.0,0.0,2019-06-25
Guanajuato,Salamanca,1.0,0.0,1.0,0.0,2019-06-25
Guanajuato,"San Miguel de 
Allende",1.0,1.0,0.0,0.0,2019-06-25
Guanajuato,Valle de Santiago,1.0,1.0,0.0,0.0,2019-06-25
Guerrero,"Chilapa de 
Álvarez",3.0,1.0,0.0,2.0,2019-06-25
Guerrero,Petatlán,1.0,0.0,1.0,0.0,2019-06-25
Hidalgo,Tula de Allende,1.0,1.0,0.0,0.0,2019-06-25
Jalisco,Tonalá,1.0,1.0,0.0,0.0,2019-06-25
Jalisco,Zapopan,2.0,1.0,1.0,0.0,2019-06-25
Michoacán,Gabriel Zamora,1.0,1.0,0.0,0.0,2019-06-25
Michoacán,Morelia,1.0,0.0,0.0,1.0,2019-06-25
Michoacán,Tarímbaro,1.0,1.0,0.0,0.0,2019-06-25
Michoacán,Uruapan,3.0,3.0,0.0,0.0,2019-06-25
Michoacán,Zamora,2.0,2.0,0.0,0.0,2019-06-25
Morelos,Emiliano Zapata,1.0,1.0,0.0,0.0,2019-06-25
Estado de México,Nezahualcóyotl,2.0,2.0,0.0,0.0,2019-06-25
Nuevo León,Apodaca,1.0,1.0,0.0,0.0,2019-06-25
Nuevo León,Juárez,1.0,1.0,0.0,0.0,2019-06-25
Oaxaca,"Matías Romero 
Avendaño",1.0,1.0,0.0,0.0,2019-06-25
Oaxaca,Oaxaca de Juárez,3.0,3.0,0.0,0.0,2019-06-25
Oaxaca,Salina Cruz,1.0,1.0,0.0,0.0,2019-06-25
Oaxaca,"San Pedro 
Mixtepec (22)",1.0,1.0,0.0,0.0,2019-06-25
Oaxaca,"Santo Domingo 
Tehuantepec",2.0,1.0,1.0,0.0,2019-06-25
Puebla,Coyomeapan,1.0,1.0,0.0,0.0,2019-06-25
Puebla,Tehuacán,1.0,1.0,0.0,0.0,2019-06-25
San Luis Potosí,Ciudad Valles,1.0,1.0,0.0,0.0,2019-06-25
San Luis Potosí,San Luis Potosí,1.0,1.0,0.0,0.0,2019-06-25
San Luis Potosí,"Soledad de 
Graciano Sánchez",1.0,1.0,0.0,0.0,2019-06-25
Sinaloa,Culiacán,4.0,2.0,0.0,2.0,2019-06-25
Sonora,Cajeme,2.0,1.0,0.0,1.0,2019-06-25
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2019-06-25
Tabasco,Centro,1.0,1.0,0.0,0.0,2019-06-25
Tlaxcala,Tlaxcala,1.0,0.0,1.0,0.0,2019-06-25
Tlaxcala,Tzompantepec,1.0,1.0,0.0,0.0,2019-06-25
Veracruz,Coatzacoalcos,2.0,0.0,1.0,1.0,2019-06-25
Veracruz,Cuitláhuac,1.0,1.0,0.0,0.0,2019-06-25
Veracruz,Las Choapas,1.0,1.0,0.0,0.0,2019-06-25
Veracruz,Uxpanapa,3.0,3.0,0.0,0.0,2019-06-25
Zacatecas,Calera,1.0,1.0,0.0,0.0,2019-06-25
Zacatecas,"General Pánfilo 
Natera",2.0,2.0,0.0,0.0,2019-06-25
Zacatecas,Guadalupe,1.0,0.0,1.0,0.0,2019-06-25
