Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,5,3.0,1.0,1.0,2019-03-15
Chihuahua,Juárez,6,4.0,1.0,1.0,2019-03-15
Ciudad de México,Cuauhtémoc,2,1.0,1.0,0.0,2019-03-15
Ciudad de México,"Gustavo A. 
Madero",1,1.0,0.0,0.0,2019-03-15
Coahuila,Torreón,1,0.0,1.0,0.0,2019-03-15
Durango,Gómez Palacio,2,2.0,0.0,0.0,2019-03-15
Guanajuato,Abasolo,1,1.0,0.0,0.0,2019-03-15
Guanajuato,Apaseo el Alto,1,1.0,0.0,0.0,2019-03-15
Guanajuato,Celaya,1,1.0,0.0,0.0,2019-03-15
Guanajuato,Irapuato,4,3.0,0.0,1.0,2019-03-15
Guanajuato,León,2,2.0,0.0,0.0,2019-03-15
Guanajuato,Salamanca,2,2.0,0.0,0.0,2019-03-15
Guanajuato,"Silao de la 
Víctoria",3,3.0,0.0,0.0,2019-03-15
Guanajuato,Yuriria,1,1.0,0.0,0.0,2019-03-15
Guerrero,"Huitzuco de 
los Figueroa",1,1.0,0.0,0.0,2019-03-15
Guerrero,"Taxco de 
Alarcón",2,2.0,0.0,0.0,2019-03-15
Jalisco,"Ixtlahuacán de 
los Membrillos",5,0.0,0.0,5.0,2019-03-15
Jalisco,"San Pedro 
Tlaquepaque",4,3.0,1.0,0.0,2019-03-15
Michoacán,Morelia,1,1.0,0.0,0.0,2019-03-15
Michoacán,Zitácuaro,2,2.0,0.0,0.0,2019-03-15
Morelos,Temixco,1,1.0,0.0,0.0,2019-03-15
Estado de México,Tianguistenco,1,1.0,0.0,0.0,2019-03-15
Nuevo León,Los Ramones,1,1.0,0.0,0.0,2019-03-15
Oaxaca,"Villa de 
Tututepec de 
Melchor 
Ocampo",1,1.0,0.0,0.0,2019-03-15
Puebla,"Chalchicomula 
de Sesma",1,1.0,0.0,0.0,2019-03-15
Puebla,Coxcatlán,1,1.0,0.0,0.0,2019-03-15
Puebla,Jalpan,1,0.0,1.0,0.0,2019-03-15
Puebla,Tehuacán,1,1.0,0.0,0.0,2019-03-15
Quintana Roo,Benito Juárez,1,1.0,0.0,0.0,2019-03-15
Quintana Roo,Solidaridad,6,5.0,1.0,0.0,2019-03-15
Sinaloa,Culiacán,1,1.0,0.0,0.0,2019-03-15
Sonora,Empalme,3,0.0,0.0,3.0,2019-03-15
Tabasco,Cárdenas,1,1.0,0.0,0.0,2019-03-15
Tabasco,Tacotalpa,1,1.0,0.0,0.0,2019-03-15
Tamaulipas,Reynosa,1,1.0,0.0,0.0,2019-03-15
Veracruz,Coatzacoalcos,1,1.0,0.0,0.0,2019-03-15
Veracruz,Córdoba,1,1.0,0.0,0.0,2019-03-15
Veracruz,Minatitlán,1,0.0,0.0,1.0,2019-03-15
Veracruz,Orizaba,1,1.0,0.0,0.0,2019-03-15
Veracruz,Río Blanco,1,1.0,0.0,0.0,2019-03-15
Veracruz,Tierra Blanca,5,5.0,0.0,0.0,2019-03-15
