Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tecate,1.0,1.0,0.0,0.0,2019-03-01
Baja California,Tijuana,1.0,1.0,0.0,0.0,2019-03-01
Chihuahua,Juárez,2.0,1.0,0.0,1.0,2019-03-01
Ciudad de México,Gustavo A. Madero,1.0,1.0,0.0,0.0,2019-03-01
Durango,Durango,1.0,1.0,0.0,0.0,2019-03-01
Estado de México,Zinacantepec,1.0,1.0,0.0,0.0,2019-03-01
Guanajuato,Irapuato,1.0,0.0,1.0,0.0,2019-03-01
Guanajuato,León,2.0,2.0,0.0,0.0,2019-03-01
Guanajuato,Salamanca,1.0,0.0,0.0,1.0,2019-03-01
Guanajuato,Santa Cruz De Juventino Rosas,1.0,1.0,0.0,0.0,2019-03-01
Guanajuato,Valle De Santiago,1.0,1.0,0.0,0.0,2019-03-01
Guerrero,Acapulco De Juárez,2.0,1.0,1.0,0.0,2019-03-01
Hidalgo,Huejutla De Reyes,1.0,0.0,0.0,1.0,2019-03-01
Jalisco,El Salto,1.0,0.0,0.0,1.0,2019-03-01
Jalisco,Guadalajara,2.0,2.0,0.0,0.0,2019-03-01
Jalisco,San Pedro Tlaquepaque,2.0,1.0,0.0,1.0,2019-03-01
Jalisco,Tlajomulco De Zúñiga,1.0,1.0,0.0,0.0,2019-03-01
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2019-03-01
Michoacán,Hidalgo,1.0,1.0,0.0,0.0,2019-03-01
Michoacán,Jacona,1.0,0.0,1.0,0.0,2019-03-01
Michoacán,Morelia,1.0,1.0,0.0,0.0,2019-03-01
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2019-03-01
Michoacán,Zacapu,2.0,2.0,0.0,0.0,2019-03-01
Morelos,Cuernavaca,1.0,0.0,1.0,0.0,2019-03-01
Nuevo León,Guadalupe,1.0,1.0,0.0,0.0,2019-03-01
Puebla,Coxcatlán,1.0,0.0,0.0,1.0,2019-03-01
Puebla,San Martín Texmelucan,2.0,2.0,0.0,0.0,2019-03-01
Quintana Roo,Benito Juárez,1.0,0.0,1.0,0.0,2019-03-01
San Luis Potosí,San Luis Potosí,1.0,1.0,0.0,0.0,2019-03-01
San Luis Potosí,Soledad De Graciano Sánchez,1.0,1.0,0.0,0.0,2019-03-01
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2019-03-01
Sinaloa,Salvador Alvarado,2.0,2.0,0.0,0.0,2019-03-01
