Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,11.0,4.0,3.0,4.0,2019-07-01
Chiapas,Berriozábal,1.0,1.0,0.0,0.0,2019-07-01
Chiapas,San Cristóbal De Las Casas,2.0,1.0,0.0,1.0,2019-07-01
Chihuahua,Chihuahua,1.0,0.0,0.0,1.0,2019-07-01
Chihuahua,Cuauhtémoc,1.0,1.0,0.0,0.0,2019-07-01
Chihuahua,Guachochi,1.0,1.0,0.0,0.0,2019-07-01
Chihuahua,Gómez Farías,1.0,0.0,0.0,1.0,2019-07-01
Chihuahua,Juárez,7.0,6.0,0.0,1.0,2019-07-01
Ciudad de México,Cuauhtémoc,3.0,1.0,1.0,1.0,2019-07-01
Ciudad de México,Tlalpan,1.0,0.0,1.0,0.0,2019-07-01
Colima,Armería,1.0,1.0,0.0,0.0,2019-07-01
Colima,Tecomán,1.0,1.0,0.0,0.0,2019-07-01
Guanajuato,Acámbaro,1.0,1.0,0.0,0.0,2019-07-01
Guanajuato,Celaya,3.0,1.0,0.0,2.0,2019-07-01
Guanajuato,Irapuato,2.0,2.0,0.0,0.0,2019-07-01
Guanajuato,León,4.0,4.0,0.0,0.0,2019-07-01
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2019-07-01
Guanajuato,Salvatierra,1.0,0.0,1.0,0.0,2019-07-01
Guanajuato,Silao De La Victoria,2.0,1.0,1.0,0.0,2019-07-01
Guerrero,Acapulco De Juárez,2.0,2.0,0.0,0.0,2019-07-01
Guerrero,Chilpancingo De Los Bravo,1.0,0.0,1.0,0.0,2019-07-01
Hidalgo,Acatlán,2.0,0.0,0.0,2.0,2019-07-01
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2019-07-01
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2019-07-01
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2019-07-01
Michoacán,Cuitzeo,1.0,1.0,0.0,0.0,2019-07-01
