Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Playas De Rosarito,1.0,1.0,0.0,0.0,2019-11-01
Baja California,Tecate,1.0,1.0,0.0,0.0,2019-11-01
Baja California,Tijuana,4.0,3.0,0.0,1.0,2019-11-01
Chiapas,Tuxtla Gutiérrez,1.0,1.0,0.0,0.0,2019-11-01
Chihuahua,Juárez,3.0,3.0,0.0,0.0,2019-11-01
Ciudad de México,La Magdalena Contreras,1.0,1.0,0.0,0.0,2019-11-01
Coahuila,Castaños,1.0,0.0,1.0,0.0,2019-11-01
Colima,Tecomán,1.0,1.0,0.0,0.0,2019-11-01
Guanajuato,Acámbaro,1.0,1.0,0.0,0.0,2019-11-01
Guanajuato,Irapuato,1.0,0.0,1.0,0.0,2019-11-01
Guanajuato,León,3.0,3.0,0.0,0.0,2019-11-01
Guanajuato,Silao De La Victoria,1.0,1.0,0.0,0.0,2019-11-01
Guerrero,Acapulco De Juárez,1.0,1.0,0.0,0.0,2019-11-01
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2019-11-01
Michoacán,Hidalgo,2.0,2.0,0.0,0.0,2019-11-01
Michoacán,Jacona,2.0,2.0,0.0,0.0,2019-11-01
Michoacán,Sahuayo,1.0,1.0,0.0,0.0,2019-11-01
Michoacán,Tangancícuaro,1.0,1.0,0.0,0.0,2019-11-01
Michoacán,Tingüindín,4.0,4.0,0.0,0.0,2019-11-01
Michoacán,Zamora,2.0,1.0,1.0,0.0,2019-11-01
Morelos,Mazatepec,1.0,0.0,1.0,0.0,2019-11-01
Estado de México,Ecatepec De Morelos,5.0,0.0,2.0,3.0,2019-11-01
Estado de México,Naucalpan De Juárez,2.0,0.0,0.0,2.0,2019-11-01
Nuevo León,Guadalupe,1.0,1.0,0.0,0.0,2019-11-01
Nuevo León,Juárez,1.0,1.0,0.0,0.0,2019-11-01
Oaxaca,Acatlán De Pérez Figueroa,1.0,1.0,0.0,0.0,2019-11-01
