Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Playas De Rosarito,2,2.0,0.0,0.0,2019-11-22
Baja California,Tijuana,1,1.0,0.0,0.0,2019-11-22
Chihuahua,Cuauhtémoc,1,1.0,0.0,0.0,2019-11-22
Chihuahua,Juárez,4,2.0,2.0,0.0,2019-11-22
Ciudad de México,Azcapotzalco,1,0.0,0.0,1.0,2019-11-22
Coahuila,Torreón,1,1.0,0.0,0.0,2019-11-22
Colima,Ixtlahuacán,1,1.0,0.0,0.0,2019-11-22
Guanajuato,Acámbaro,1,1.0,0.0,0.0,2019-11-22
Guanajuato,Apaseo El Grande,2,2.0,0.0,0.0,2019-11-22
Guanajuato,Irapuato,5,5.0,0.0,0.0,2019-11-22
Guanajuato,León,3,2.0,1.0,0.0,2019-11-22
Guanajuato,San Francisco Del Rincón,1,1.0,0.0,0.0,2019-11-22
Guerrero,Chilpancingo De Los Bravo,1,1.0,0.0,0.0,2019-11-22
Guerrero,Iguala De La Independencia,1,1.0,0.0,0.0,2019-11-22
Jalisco,Guadalajara,3,2.0,1.0,0.0,2019-11-22
Jalisco,San Pedro Tlaquepaque,3,3.0,0.0,0.0,2019-11-22
Jalisco,Zapotlanejo,1,0.0,0.0,1.0,2019-11-22
Michoacán,Morelia,1,1.0,0.0,0.0,2019-11-22
Michoacán,Zamora,1,1.0,0.0,0.0,2019-11-22
Morelos,Emiliano Zapata,1,0.0,1.0,0.0,2019-11-22
Estado de México,Tlalnepantla De Baz,4,4.0,0.0,0.0,2019-11-22
Estado de México,Tultitlán,1,1.0,0.0,0.0,2019-11-22
Nuevo León,García,1,1.0,0.0,0.0,2019-11-22
Oaxaca,San Lorenzo Cacaotepec,1,1.0,0.0,0.0,2019-11-22
Oaxaca,San Pedro Ixcatlán,2,0.0,0.0,2.0,2019-11-22
Puebla,Izúcar De Matamoros,1,1.0,0.0,0.0,2019-11-22
Puebla,Los Reyes De Juárez,1,0.0,1.0,0.0,2019-11-22
Sinaloa,Culiacán,1,1.0,0.0,0.0,2019-11-22
Sonora,Cajeme,1,0.0,0.0,1.0,2019-11-22
Sonora,Hermosillo,3,3.0,0.0,0.0,2019-11-22
Tabasco,Huimanguillo,1,1.0,0.0,0.0,2019-11-22
Tabasco,Jalpa De Méndez,1,1.0,0.0,0.0,2019-11-22
Tamaulipas,Llera,1,0.0,1.0,0.0,2019-11-22
Veracruz,Acayucan,1,1.0,0.0,0.0,2019-11-22
Veracruz,Cosautlán De Carvajal,1,1.0,0.0,0.0,2019-11-22
Veracruz,Papantla,1,1.0,0.0,0.0,2019-11-22
Zacatecas,Guadalupe,1,1.0,0.0,0.0,2019-11-22
