Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,2.0,2.0,0.0,0.0,2019-11-10
Chiapas,"Comitán de 
Domínguez",2.0,2.0,0.0,0.0,2019-11-10
Chiapas,"Tuxtla 
Gutiérrez",1.0,1.0,0.0,0.0,2019-11-10
Chihuahua,Chihuahua,1.0,1.0,0.0,0.0,2019-11-10
Chihuahua,"Hidalgo del 
Parral",1.0,0.0,1.0,0.0,2019-11-10
Chihuahua,Juárez,1.0,1.0,0.0,0.0,2019-11-10
Ciudad de México,"Gustavo A. 
Madero",1.0,1.0,0.0,0.0,2019-11-10
Ciudad de México,Tlalpan,1.0,1.0,0.0,0.0,2019-11-10
Ciudad de México,"Venustiano 
Carranza",1.0,1.0,0.0,0.0,2019-11-10
Coahuila,Matamoros,1.0,1.0,0.0,0.0,2019-11-10
Coahuila,Torreón,1.0,1.0,0.0,0.0,2019-11-10
Colima,Colima,1.0,1.0,0.0,0.0,2019-11-10
Colima,Manzanillo,1.0,0.0,0.0,1.0,2019-11-10
Colima,Tecomán,1.0,1.0,0.0,0.0,2019-11-10
Durango,Mezquital,1.0,1.0,0.0,0.0,2019-11-10
Guanajuato,Acámbaro,2.0,2.0,0.0,0.0,2019-11-10
Guanajuato,"Apaseo el 
Grande",2.0,2.0,0.0,0.0,2019-11-10
Guanajuato,Celaya,3.0,2.0,0.0,1.0,2019-11-10
Guanajuato,León,2.0,1.0,1.0,0.0,2019-11-10
Guanajuato,"San Francisco 
del Rincón",1.0,1.0,0.0,0.0,2019-11-10
Guanajuato,"San Miguel de 
Allende",1.0,1.0,0.0,0.0,2019-11-10
Guanajuato,"Silao de la 
Víctoria",1.0,1.0,0.0,0.0,2019-11-10
Guanajuato,"Valle de 
Santiago",2.0,2.0,0.0,0.0,2019-11-10
Guerrero,"Acapulco de 
Juárez",3.0,3.0,0.0,0.0,2019-11-10
Guerrero,"Zihuatanejo de 
Azueta",1.0,0.0,1.0,0.0,2019-11-10
Hidalgo,"Tula de 
Allende",1.0,1.0,0.0,0.0,2019-11-10
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2019-11-10
Jalisco,Tonalá,1.0,1.0,0.0,0.0,2019-11-10
Michoacán,Jacona,1.0,1.0,0.0,0.0,2019-11-10
Michoacán,Morelia,4.0,2.0,2.0,0.0,2019-11-10
Michoacán,"Tangamandapi
o",1.0,1.0,0.0,0.0,2019-11-10
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2019-11-10
Michoacán,Zamora,1.0,1.0,0.0,0.0,2019-11-10
Morelos,Cuernavaca,2.0,0.0,0.0,2.0,2019-11-10
Morelos,Miacatlán,1.0,1.0,0.0,0.0,2019-11-10
Morelos,Nuevo León (2)  Salinas Victoria,2.0,2.0,0.0,0.0,2019-11-10
Estado de México,Chalco,1.0,0.0,1.0,0.0,2019-11-10
Estado de México,La Paz,1.0,1.0,0.0,0.0,2019-11-10
Estado de México,Tecámac,1.0,1.0,0.0,0.0,2019-11-10
Estado de México,Texcoco,1.0,1.0,0.0,0.0,2019-11-10
Estado de México,"Tlalnepantla 
de Baz",1.0,1.0,0.0,0.0,2019-11-10
Estado de México,Tonatico,1.0,1.0,0.0,0.0,2019-11-10
Oaxaca,"San Agustín 
Chayuco",1.0,1.0,0.0,0.0,2019-11-10
Oaxaca,"Santiago 
Pinotepa 
Nacional",2.0,0.0,0.0,2.0,2019-11-10
Oaxaca,"Santo 
Domingo 
Tehuantepec",2.0,1.0,1.0,0.0,2019-11-10
Oaxaca,"Villa Talea de 
Castro",1.0,1.0,0.0,0.0,2019-11-10
Puebla,Puebla,2.0,0.0,0.0,2.0,2019-11-10
Puebla,"San Gabriel 
Chilac",1.0,0.0,0.0,1.0,2019-11-10
San Luis Potosí,"Axtla de 
Terrazas",1.0,1.0,0.0,0.0,2019-11-10
Sonora,Guaymas,1.0,1.0,0.0,0.0,2019-11-10
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2019-11-10
Sonora,"San Luis Río 
Colorado",1.0,1.0,0.0,0.0,2019-11-10
Tabasco,Centro,1.0,0.0,1.0,0.0,2019-11-10
Tabasco,Huimanguillo,2.0,2.0,0.0,0.0,2019-11-10
Veracruz,Coatzacoalcos,2.0,1.0,1.0,0.0,2019-11-10
Veracruz,Papantla,1.0,1.0,0.0,0.0,2019-11-10
