Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Ensenada,1,1,0,0,2019-09-05
Baja California,Tecate,1,1,0,0,2019-09-05
Baja California,Tijuana,4,4,0,0,2019-09-05
Chiapas,Huixtla,1,1,0,0,2019-09-05
Chihuahua,Chihuahua,1,1,0,0,2019-09-05
Chihuahua,Juárez,4,3,0,1,2019-09-05
Ciudad de México,Miguel Hidalgo,1,1,0,0,2019-09-05
Coahuila,General Cepeda,1,0,1,0,2019-09-05
Colima,Cuauhtémoc,1,0,1,0,2019-09-05
Colima,Manzanillo,1,0,0,1,2019-09-05
Guanajuato,Celaya,3,2,1,0,2019-09-05
Guanajuato,Dolores Hidalgo Cuna De La Independencia Nacional,1,1,0,0,2019-09-05
Guanajuato,Salamanca,2,0,2,0,2019-09-05
Guanajuato,Yuriria,1,1,0,0,2019-09-05
Guerrero,Acapulco De Juárez,3,3,0,0,2019-09-05
Guerrero,Cuajinicuilapa,1,1,0,0,2019-09-05
Guerrero,Ometepec,1,1,0,0,2019-09-05
Guerrero,Tepecoacuilco De Trujano,1,1,0,0,2019-09-05
Hidalgo,Pachuca De Soto,1,1,0,0,2019-09-05
Jalisco,Tlajomulco De Zúñiga,1,1,0,0,2019-09-05
Michoacán,Los Reyes,2,2,0,0,2019-09-05
Michoacán,Lázaro Cárdenas,1,1,0,0,2019-09-05
Michoacán,Uruapan,1,1,0,0,2019-09-05
Michoacán,Zamora,1,1,0,0,2019-09-05
Morelos,Yautepec,1,1,0,0,2019-09-05
Estado de México,La Paz,3,1,2,0,2019-09-05
Estado de México,Nicolás Romero,1,1,0,0,2019-09-05
Estado de México,Tlalnepantla De Baz,1,0,0,1,2019-09-05
Oaxaca,San Juan Bautista Tuxtepec,1,0,0,1,2019-09-05
Puebla,Puebla,1,0,0,1,2019-09-05
Quintana Roo,Benito Juárez,1,1,0,0,2019-09-05
Quintana Roo,Othón P. Blanco,1,1,0,0,2019-09-05
Quintana Roo,Solidaridad,1,1,0,0,2019-09-05
San Luis Potosí,Ciudad Valles,1,1,0,0,2019-09-05
San Luis Potosí,San Luis Potosí,2,2,0,0,2019-09-05
Sinaloa,Culiacán,3,3,0,0,2019-09-05
Sinaloa,Guasave,1,1,0,0,2019-09-05
Sonora,Cajeme,1,1,0,0,2019-09-05
Sonora,Guaymas,1,0,1,0,2019-09-05
Sonora,Hermosillo,3,2,1,0,2019-09-05
Tabasco,Tacotalpa,1,1,0,0,2019-09-05
Tamaulipas,Matamoros,1,1,0,0,2019-09-05
Tamaulipas,Nuevo Laredo,8,5,3,0,2019-09-05
Tamaulipas,Tampico,1,0,1,0,2019-09-05
Veracruz,Fortín,1,0,1,0,2019-09-05
Veracruz,Huiloapan De Cuauhtémoc,1,0,0,1,2019-09-05
Veracruz,Tuxpan,1,0,1,0,2019-09-05
Veracruz,Xalapa,1,1,0,0,2019-09-05
Zacatecas,Zacatecas,1,1,0,0,2019-09-05
