Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado
Aguascalientes,Aguascalientes,1.0,0.0,1.0,0.0
Baja California,Tijuana,2.0,2.0,0.0,0.0
Chihuahua,Delicias,1.0,1.0,0.0,0.0
Chihuahua,Juárez,5.0,5.0,0.0,0.0
Ciudad de México,Iztapalapa,2.0,1.0,1.0,0.0
Ciudad de México,"Álvaro 
Obregón",1.0,0.0,0.0,1.0
Colima,Colima,1.0,1.0,0.0,0.0
Colima,Villa de Álvarez,1.0,1.0,0.0,0.0
Guanajuato,Salamanca,1.0,1.0,0.0,0.0
Guanajuato,Salvatierra,2.0,0.0,0.0,2.0
Guanajuato,"Valle de 
Santiago",1.0,1.0,0.0,0.0
Guerrero,"Acapulco de 
Juárez",1.0,0.0,1.0,0.0
Guerrero,"Chilpancingo 
de los Bravo",1.0,0.0,1.0,0.0
Guerrero,"Coyuca de 
Benítez",2.0,0.0,0.0,2.0
Hidalgo,"Pachuca de 
Soto",1.0,1.0,0.0,0.0
Hidalgo,Tlaxcoapan,1.0,0.0,1.0,0.0
Jalisco,Guadalajara,1.0,1.0,0.0,0.0
Jalisco,Zapotlanejo,2.0,1.0,1.0,0.0
Michoacán,Morelia,1.0,1.0,0.0,0.0
Morelos,Tepalcingo,3.0,3.0,0.0,0.0
Morelos,Tetecala,1.0,1.0,0.0,0.0
Ciudad de México,Acolman,2.0,2.0,0.0,0.0
Ciudad de México,Zinacantepec,1.0,1.0,0.0,0.0
Nuevo León,Apodaca,1.0,1.0,0.0,0.0
Nuevo León,Juárez,1.0,1.0,0.0,0.0
Nuevo León,Monterrey,1.0,1.0,0.0,0.0
Oaxaca,"Oaxaca de 
Juárez",1.0,1.0,0.0,0.0
Puebla,"San Martín 
Texmelucan",1.0,1.0,0.0,0.0
Puebla,Tecamachalco,1.0,1.0,0.0,0.0
San Luis Potosí,Huehuetlán,1.0,1.0,0.0,0.0
San Luis Potosí,San Luis Potosí,1.0,1.0,0.0,0.0
Sinaloa,Rosario,2.0,2.0,0.0,0.0
Sonora,"San Luis Río 
Colorado",1.0,1.0,0.0,0.0
Tabasco,Huimanguillo,1.0,1.0,0.0,0.0
Veracruz,Acayucan,2.0,2.0,0.0,0.0
Veracruz,"Martínez de la 
Torre",1.0,1.0,0.0,0.0
Zacatecas,Loreto,1.0,1.0,0.0,0.0
