Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Aguascalientes,Aguascalientes,1.0,1.0,0.0,0.0,2020-04-18
Baja California,Ensenada,3.0,2.0,1.0,0.0,2020-04-18
Baja California,Tijuana,5.0,4.0,1.0,0.0,2020-04-18
Chiapas,Tapachula,1.0,0.0,0.0,1.0,2020-04-18
Chiapas,Tuxtla Gutiérrez,1.0,1.0,0.0,0.0,2020-04-18
Chihuahua,Cuauhtémoc,1.0,0.0,0.0,1.0,2020-04-18
Chihuahua,Juárez,2.0,1.0,1.0,0.0,2020-04-18
Ciudad de México,Iztapalapa,1.0,1.0,0.0,0.0,2020-04-18
Ciudad de México,Tlalpan,1.0,1.0,0.0,0.0,2020-04-18
Ciudad de México,"Venustiano 
Carranza",1.0,1.0,0.0,0.0,2020-04-18
Colima,Colima,1.0,1.0,0.0,0.0,2020-04-18
Colima,Manzanillo,1.0,0.0,0.0,1.0,2020-04-18
Guanajuato,Apaseo el Alto,1.0,0.0,1.0,0.0,2020-04-18
Guanajuato,Celaya,2.0,2.0,0.0,0.0,2020-04-18
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2020-04-18
Guanajuato,Villagrán,1.0,1.0,0.0,0.0,2020-04-18
Guerrero,"Acapulco de 
Juárez",2.0,1.0,1.0,0.0,2020-04-18
Guerrero,"Chilapa de 
Álvarez",1.0,1.0,0.0,0.0,2020-04-18
Guerrero,Olinalá,1.0,0.0,1.0,0.0,2020-04-18
Guerrero,"Taxco de 
Alarcón",1.0,1.0,0.0,0.0,2020-04-18
Jalisco,Poncitlán,1.0,0.0,1.0,0.0,2020-04-18
Jalisco,"San Pedro 
Tlaquepaque",1.0,1.0,0.0,0.0,2020-04-18
Jalisco,"Tlajomulco de 
Zúñiga",2.0,1.0,0.0,1.0,2020-04-18
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2020-04-18
Michoacán,Churumuco,2.0,2.0,0.0,0.0,2020-04-18
Michoacán,"Lázaro 
Cárdenas",1.0,1.0,0.0,0.0,2020-04-18
Michoacán,Morelia,1.0,0.0,1.0,0.0,2020-04-18
Michoacán,Uruapan,1.0,0.0,1.0,0.0,2020-04-18
Michoacán,Zamora,3.0,3.0,0.0,0.0,2020-04-18
Tabasco,Centro,1.0,1.0,0.0,0.0,2020-04-18
Tamaulipas,Matamoros,4.0,4.0,0.0,0.0,2020-04-18
Veracruz,Agua Dulce,1.0,1.0,0.0,0.0,2020-04-18
Veracruz,Minatitlán,2.0,1.0,0.0,1.0,2020-04-18
Veracruz,Tantoyuca,1.0,1.0,0.0,0.0,2020-04-18
