Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
"Baja 
California 
(1)",Tijuana,1,-,1,-
"Ciudad de 
México (2)",Cuauhtémoc,1,1,-,-
,"Gustavo A. 
Madero",1,-,1,-
"Coahuila 
de 
Zaragoza 
(1)","Piedras 
Negras",1,1,-,-
"Guanajuato 
(12)",Irapuato,1,-,-,1
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,Jerécuaro,4,4,-,-
,León,1,1,-,-
,Tarimoro,2,2,-,-
,,1,1,-,-
"Guerrero 
(5)","Chilpancingo 
de los Bravo",1,1,-,-
,"Iguala de la 
Independenci
a",1,1,-,-
,Zirándaro,3,3,-,-
,Hidalgo (2)  San Salvador,2,2,-,-
Jalisco (6),Guadalajara,1,1,-,-
,"Lagos de 
Moreno",1,1,-,-
,"Tlajomulco de 
Zúñiga",1,1,-,-
,Zapopan,1,1,-,-
,,2,2,-,-
México (2),La Paz,1,1,-,-
,"Nezahualcóyo
tl",1,1,-,-
"Michoacán 
de 
Ocampo 
(4)",Morelia,1,-,1,-
,,2,1,1,-
,,1,-,1,-
Morelos (5),Axochiapan,1,1,-,-
,Miacatlán,3,3,-,-
,Xochitepec,1,1,-,-
"Nuevo 
León (2)",Apodaca,1,1,-,-
,Guadalupe,1,1,-,-
Oaxaca (3),"San Pedro 
Mixtepec (22)",1,1,-,-
,"Santiago 
Pinotepa 
Nacional",2,2,-,-
Puebla (2),Puebla,1,-,1,-
,"San Pedro 
Cholula",1,1,-,-
"Quintana 
Roo (3)",Benito Juárez,1,1,-,-
,,1,-,1,-
,"Felipe Carrillo 
Puerto",1,1,-,-
Sinaloa (1),"Salvador 
Alvarado",1,1,-,-
Sonora (2),Cajeme,2,2,-,-
Tabasco (3),Centro,1,1,-,-
,Cunduacán,1,1,-,-
,Macuspana,1,1,-,-
"Veracruz 
de Ignacio 
de la Llave 
(5)",Coatepec,1,-,1,-
,"Coatzacoalco
s",1,1,-,-
,"Juan 
Rodríguez 
Clara",1,1,-,-
,"Rafael 
Delgado",1,1,-,-
Tihuatlán,1,1,-,-,La Opinión
Totales,61,52,8,1,
