Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,6,5.0,1.0,0.0,2020-01-03
Campeche,Candelaria,1,0.0,1.0,0.0,2020-01-03
Chihuahua,Guachochi,1,1.0,0.0,0.0,2020-01-03
Chihuahua,Hidalgo Del Parral,1,1.0,0.0,0.0,2020-01-03
Ciudad de México,Gustavo A. Madero,1,1.0,0.0,0.0,2020-01-03
Ciudad de México,Iztapalapa,1,1.0,0.0,0.0,2020-01-03
Ciudad de México,Venustiano Carranza,2,2.0,0.0,0.0,2020-01-03
Guanajuato,Acámbaro,1,0.0,1.0,0.0,2020-01-03
Guanajuato,Apaseo El Grande,2,2.0,0.0,0.0,2020-01-03
Guanajuato,Apaseo El Alto,1,1.0,0.0,0.0,2020-01-03
Guanajuato,Dolores Hidalgo Cuna De La Independencia Nacional,1,1.0,0.0,0.0,2020-01-03
Guanajuato,Irapuato,1,0.0,0.0,1.0,2020-01-03
Guanajuato,León,2,1.0,1.0,0.0,2020-01-03
Guanajuato,Purísima Del Rincón,2,2.0,0.0,0.0,2020-01-03
Guanajuato,Salamanca,6,4.0,2.0,0.0,2020-01-03
Guanajuato,San Francisco Del Rincón,7,3.0,4.0,0.0,2020-01-03
Guanajuato,San Miguel De Allende,1,1.0,0.0,0.0,2020-01-03
Guanajuato,Yuriria,3,3.0,0.0,0.0,2020-01-03
Guerrero,Acapulco De Juárez,3,3.0,0.0,0.0,2020-01-03
Guerrero,Chilpancingo De Los Bravo,1,1.0,0.0,0.0,2020-01-03
Guerrero,Coyuca De Benítez,1,1.0,0.0,0.0,2020-01-03
Guerrero,Técpan De Galeana,1,1.0,0.0,0.0,2020-01-03
Hidalgo,Ixmiquilpan,1,1.0,0.0,0.0,2020-01-03
Jalisco,Guadalajara,1,0.0,1.0,0.0,2020-01-03
Jalisco,Lagos De Moreno,3,3.0,0.0,0.0,2020-01-03
Jalisco,Tlajomulco De Zúñiga,1,0.0,1.0,0.0,2020-01-03
Michoacán,Lázaro Cárdenas,1,1.0,0.0,0.0,2020-01-03
Michoacán,Quiroga,1,1.0,0.0,0.0,2020-01-03
Estado de México,Valle De Chalco Solidaridad,1,0.0,1.0,0.0,2020-01-03
Nuevo León,Juárez,1,0.0,0.0,1.0,2020-01-03
Oaxaca,Matías Romero Avendaño,1,1.0,0.0,0.0,2020-01-03
Oaxaca,San Juan Mazatlán,2,2.0,0.0,0.0,2020-01-03
Oaxaca,Santiago Jamiltepec,1,0.0,1.0,0.0,2020-01-03
Oaxaca,Santo Domingo Tehuantepec,1,0.0,1.0,0.0,2020-01-03
Puebla,San Martín Texmelucan,2,2.0,0.0,0.0,2020-01-03
Puebla,Soltepec,2,1.0,1.0,0.0,2020-01-03
Puebla,Tepeaca,1,1.0,0.0,0.0,2020-01-03
Quintana Roo,Benito Juárez,1,1.0,0.0,0.0,2020-01-03
Sonora,Guaymas,2,2.0,0.0,0.0,2020-01-03
Sonora,San Luis Río Colorado,1,1.0,0.0,0.0,2020-01-03
Tamaulipas,Victoria,3,3.0,0.0,0.0,2020-01-03
Veracruz,Ixhuatlán De Madero,2,0.0,2.0,0.0,2020-01-03
Veracruz,Martínez De La Torre,2,2.0,0.0,0.0,2020-01-03
Zacatecas,Calera,1,1.0,0.0,0.0,2020-01-03
