Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Aguascalientes,Cosío,1.0,1.0,0.0,0.0,2020-05-17
Baja California,Ensenada,1.0,1.0,0.0,0.0,2020-05-17
Baja California,Tijuana,2.0,2.0,0.0,0.0,2020-05-17
Baja California Sur,Los Cabos,1.0,0.0,0.0,1.0,2020-05-17
Chiapas,Tapachula,1.0,1.0,0.0,0.0,2020-05-17
Chihuahua,Juárez,9.0,1.0,1.0,7.0,2020-05-17
Ciudad de México,"Gustavo A. 
Madero",1.0,1.0,0.0,0.0,2020-05-17
Ciudad de México,Iztapalapa,1.0,1.0,0.0,0.0,2020-05-17
Ciudad de México,Tláhuac,1.0,1.0,0.0,0.0,2020-05-17
Coahuila,Torreón,1.0,1.0,0.0,0.0,2020-05-17
Colima,Armería,1.0,1.0,0.0,0.0,2020-05-17
Guanajuato,Celaya,1.0,1.0,0.0,0.0,2020-05-17
Guanajuato,Irapuato,2.0,1.0,1.0,0.0,2020-05-17
Guanajuato,León,1.0,1.0,0.0,0.0,2020-05-17
Guanajuato,Salamanca,2.0,2.0,0.0,0.0,2020-05-17
Guerrero,"Acapulco 
de Juárez",1.0,1.0,0.0,0.0,2020-05-17
Guerrero,"Chilpancin
go de los 
Bravo",1.0,0.0,1.0,0.0,2020-05-17
Jalisco,Zapotlanej,1.0,1.0,0.0,0.0,2020-05-17
Jalisco,o,1.0,1.0,0.0,0.0,2020-05-17
Michoacán,"Indaparape
o",1.0,1.0,0.0,0.0,2020-05-17
Michoacán,Morelia,2.0,2.0,0.0,0.0,2020-05-17
Michoacán,"Tangancícu
aro",1.0,1.0,0.0,0.0,2020-05-17
Michoacán,Uruapan,4.0,4.0,0.0,0.0,2020-05-17
Michoacán,Zamora,1.0,1.0,0.0,0.0,2020-05-17
Estado de México,"Ecatepec 
de Morelos",1.0,0.0,0.0,1.0,2020-05-17
Estado de México,Toluca,1.0,1.0,0.0,0.0,2020-05-17
Estado de México,Xalatlaco,1.0,1.0,0.0,0.0,2020-05-17
Estado de México,Xonacatlán,1.0,1.0,0.0,0.0,2020-05-17
Nuevo León,Guadalupe,1.0,1.0,0.0,0.0,2020-05-17
Nuevo León,Monterrey,2.0,0.0,1.0,1.0,2020-05-17
Nuevo León,Santiago,1.0,0.0,0.0,1.0,2020-05-17
Puebla,Puebla,1.0,0.0,0.0,1.0,2020-05-17
Puebla,"Tecamacha
lco",2.0,1.0,1.0,0.0,2020-05-17
Quintana Roo,"Othón P. 
Blanco",1.0,1.0,0.0,0.0,2020-05-17
Quintana Roo,Tulum,2.0,1.0,1.0,0.0,2020-05-17
Sinaloa,Ahome,1.0,1.0,0.0,0.0,2020-05-17
Sinaloa,Angostura,1.0,1.0,0.0,0.0,2020-05-17
Sinaloa,Choix,2.0,0.0,0.0,2.0,2020-05-17
Sinaloa,Culiacán,2.0,2.0,0.0,0.0,2020-05-17
Sonora,Cajeme,2.0,1.0,1.0,0.0,2020-05-17
Veracruz,Acayucan,1.0,1.0,0.0,0.0,2020-05-17
Zacatecas,Fresnillo,1.0,1.0,0.0,0.0,2020-05-17
