Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,2.0,2.0,0.0,0.0,2020-02-01
Chihuahua,Chihuahua,4.0,4.0,0.0,0.0,2020-02-01
Coahuila,Saltillo,1.0,1.0,0.0,0.0,2020-02-01
Colima,Colima,2.0,1.0,1.0,0.0,2020-02-01
Colima,Manzanillo,1.0,1.0,0.0,0.0,2020-02-01
Guanajuato,Apaseo El Grande,3.0,2.0,1.0,0.0,2020-02-01
Guanajuato,Celaya,1.0,1.0,0.0,0.0,2020-02-01
Guanajuato,Irapuato,7.0,6.0,0.0,1.0,2020-02-01
Guanajuato,Salamanca,4.0,2.0,0.0,2.0,2020-02-01
Guanajuato,Silao De La Victoria,1.0,0.0,1.0,0.0,2020-02-01
Guanajuato,Tarimoro,1.0,1.0,0.0,0.0,2020-02-01
Guerrero,Zihuatanejo De Azueta,1.0,1.0,0.0,0.0,2020-02-01
Guerrero,Benito Juárez,1.0,1.0,0.0,0.0,2020-02-01
Guerrero,Zihuatanejo De Azueta,1.0,1.0,0.0,0.0,2020-02-01
Hidalgo,Pachuca De Soto,1.0,1.0,0.0,0.0,2020-02-01
Jalisco,Guadalajara,2.0,1.0,0.0,1.0,2020-02-01
Michoacán,Morelia,4.0,3.0,1.0,0.0,2020-02-01
Michoacán,Ocampo,1.0,1.0,0.0,0.0,2020-02-01
Morelos,Cuernavaca,3.0,2.0,1.0,0.0,2020-02-01
Morelos,Tlaltizapán De Zapata,1.0,1.0,0.0,0.0,2020-02-01
Estado de México,La Paz,1.0,1.0,0.0,0.0,2020-02-01
Estado de México,Metepec,2.0,2.0,0.0,0.0,2020-02-01
Estado de México,Naucalpan De Juárez,3.0,3.0,0.0,0.0,2020-02-01
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2020-02-01
Estado de México,Villa Victoria,1.0,1.0,0.0,0.0,2020-02-01
Nuevo León,Monterrey,2.0,1.0,0.0,1.0,2020-02-01
San Luis Potosí,San Luis Potosí,2.0,2.0,0.0,0.0,2020-02-01
Sinaloa,Mazatlán,1.0,1.0,0.0,0.0,2020-02-01
Tabasco,Balancán,2.0,1.0,1.0,0.0,2020-02-01
Tabasco,Cárdenas,1.0,0.0,1.0,0.0,2020-02-01
Tamaulipas,Reynosa,1.0,1.0,0.0,0.0,2020-02-01
Veracruz,Paso Del Macho,1.0,1.0,0.0,0.0,2020-02-01
Veracruz,Soconusco,1.0,1.0,0.0,0.0,2020-02-01
Chihuahua,Chihuahua,3.0,3.0,0.0,0.0,2020-02-02
Chihuahua,Juárez,2.0,2.0,0.0,0.0,2020-02-02
Colima,Manzanillo,2.0,2.0,0.0,0.0,2020-02-02
Guanajuato,Acámbaro,2.0,2.0,0.0,0.0,2020-02-02
Guanajuato,Dolores Hidalgo Cuna De La Independencia Nacional,1.0,1.0,0.0,0.0,2020-02-02
Guanajuato,Irapuato,2.0,2.0,0.0,0.0,2020-02-02
Guanajuato,León,1.0,1.0,0.0,0.0,2020-02-02
Guanajuato,Salamanca,5.0,1.0,0.0,4.0,2020-02-02
Guerrero,Atoyac De Álvarez,2.0,2.0,0.0,0.0,2020-02-02
Guerrero,Chilpancingo De Los Bravo,2.0,2.0,0.0,0.0,2020-02-02
Hidalgo,Tula De Allende,1.0,1.0,0.0,0.0,2020-02-02
Michoacán,Buenavista,2.0,1.0,0.0,1.0,2020-02-02
Michoacán,Jacona,1.0,0.0,1.0,0.0,2020-02-02
Michoacán,Morelia,3.0,3.0,0.0,0.0,2020-02-02
Michoacán,Uruapan,1.0,0.0,0.0,1.0,2020-02-02
