Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Mexicali,1.0,0.0,1.0,0.0,2020-08-01
Baja California,Tijuana,5.0,5.0,0.0,0.0,2020-08-01
Chihuahua,Juárez,6.0,5.0,1.0,0.0,2020-08-01
Ciudad de México,Azcapotzalco,1.0,1.0,0.0,0.0,2020-08-01
Ciudad de México,Venustiano Carranza,1.0,1.0,0.0,0.0,2020-08-01
Guanajuato,Celaya,1.0,0.0,1.0,0.0,2020-08-01
Guanajuato,Comonfort,2.0,2.0,0.0,0.0,2020-08-01
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2020-08-01
Guanajuato,León,3.0,2.0,0.0,1.0,2020-08-01
Guanajuato,Salamanca,2.0,2.0,0.0,0.0,2020-08-01
Guerrero,Acapulco De Juárez,1.0,1.0,0.0,0.0,2020-08-01
Jalisco,Guadalajara,2.0,1.0,1.0,0.0,2020-08-01
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2020-08-01
Jalisco,Tlajomulco De Zúñiga,1.0,1.0,0.0,0.0,2020-08-01
Coahuila,Nogales,1.0,1.0,0.0,0.0,2020-08-01
Coahuila,Xalapa,2.0,1.0,1.0,0.0,2020-08-01
Michoacán,Morelia,2.0,1.0,1.0,0.0,2020-08-01
Morelos,Ayala,1.0,1.0,0.0,0.0,2020-08-01
Morelos,Cuernavaca,2.0,1.0,0.0,1.0,2020-08-01
Estado de México,Almoloya De Juárez,1.0,0.0,1.0,0.0,2020-08-01
Estado de México,Chalco,1.0,0.0,1.0,0.0,2020-08-01
Nuevo León,Monterrey,1.0,0.0,1.0,0.0,2020-08-01
Oaxaca,San Pedro Mixtepec,1.0,1.0,0.0,0.0,2020-08-01
Puebla,Puebla,2.0,0.0,0.0,2.0,2020-08-01
Puebla,Tochtepec,1.0,0.0,0.0,1.0,2020-08-01
Quintana Roo,Benito Juárez,2.0,2.0,0.0,0.0,2020-08-01
San Luis Potosí,San Luis Potosí,3.0,1.0,2.0,0.0,2020-08-01
Sinaloa,Ahome,2.0,0.0,0.0,2.0,2020-08-01
Sinaloa,Culiacán,3.0,3.0,0.0,0.0,2020-08-01
Sinaloa,Mazatlán,1.0,1.0,0.0,0.0,2020-08-01
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2020-08-01
Tabasco,Comalcalco,1.0,0.0,0.0,1.0,2020-08-01
Tabasco,Cunduacán,1.0,0.0,1.0,0.0,2020-08-01
Tamaulipas,Victoria,1.0,1.0,0.0,0.0,2020-08-01
Veracruz,Catemaco,1.0,1.0,0.0,0.0,2020-08-01
Veracruz,Nogales,1.0,1.0,0.0,0.0,2020-08-01
Zacatecas,Fresnillo,2.0,1.0,1.0,0.0,2020-08-01
Aguascalientes,Aguascalientes,1.0,1.0,0.0,0.0,2020-08-02
Baja California,Tecate,1.0,1.0,0.0,0.0,2020-08-02
Baja California,Tijuana,5.0,3.0,1.0,1.0,2020-08-02
Chiapas,Comitán De Domínguez,1.0,1.0,0.0,0.0,2020-08-02
Chihuahua,Juárez,7.0,6.0,0.0,1.0,2020-08-02
Colima,Manzanillo,1.0,0.0,1.0,0.0,2020-08-02
Durango,Poanas,1.0,1.0,0.0,0.0,2020-08-02
Guanajuato,Celaya,1.0,1.0,0.0,0.0,2020-08-02
Guanajuato,Cortazar,1.0,1.0,0.0,0.0,2020-08-02
Guanajuato,Jaral Del Progreso,4.0,4.0,0.0,0.0,2020-08-02
Guanajuato,León,4.0,1.0,2.0,1.0,2020-08-02
Guanajuato,Salamanca,2.0,2.0,0.0,0.0,2020-08-02
Guanajuato,Yuriria,1.0,1.0,0.0,0.0,2020-08-02
Guerrero,Acapulco De Juárez,3.0,3.0,0.0,0.0,2020-08-02
Guerrero,Chilpancingo De Los Bravo,1.0,1.0,0.0,0.0,2020-08-02
Guerrero,Iguala De La Independencia,2.0,2.0,0.0,0.0,2020-08-02
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2020-08-02
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2020-08-02
Michoacán,José Sixto Verduzco,4.0,4.0,0.0,0.0,2020-08-02
Michoacán,Morelia,1.0,0.0,0.0,1.0,2020-08-02
Estado de México,Tultitlán,1.0,1.0,0.0,0.0,2020-08-02
Oaxaca,Mazatlán Villa De Flores,1.0,0.0,1.0,0.0,2020-08-02
Oaxaca,San Juan Colorado,1.0,1.0,0.0,0.0,2020-08-02
Oaxaca,Santa Cruz Xoxocotlán,1.0,1.0,0.0,0.0,2020-08-02
Puebla,Palmar De Bravo,1.0,1.0,0.0,0.0,2020-08-02
Puebla,Puebla,1.0,1.0,0.0,0.0,2020-08-02
Quintana Roo,Benito Juárez,4.0,3.0,0.0,1.0,2020-08-02
San Luis Potosí,San Luis Potosí,1.0,1.0,0.0,0.0,2020-08-02
San Luis Potosí,Santa Catarina,1.0,1.0,0.0,0.0,2020-08-02
Sinaloa,Ahome,1.0,1.0,0.0,0.0,2020-08-02
Sinaloa,Badiraguato,2.0,2.0,0.0,0.0,2020-08-02
Sinaloa,Choix,1.0,1.0,0.0,0.0,2020-08-02
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2020-08-02
Sonora,Pitiquito,1.0,1.0,0.0,0.0,2020-08-02
Tabasco,Centro,1.0,1.0,0.0,0.0,2020-08-02
Tlaxcala,San Pablo Del Monte,1.0,1.0,0.0,0.0,2020-08-02
Veracruz,Acayucan,1.0,1.0,0.0,0.0,2020-08-02
Veracruz,Coatzacoalcos,1.0,0.0,0.0,1.0,2020-08-02
