Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,2,2,0,0,2019-12-06
Chiapas,Frontera Comalapa,1,1,0,0,2019-12-06
Chihuahua,Juárez,5,3,1,1,2019-12-06
Chihuahua,Madera,1,0,0,1,2019-12-06
Colima,Colima,1,1,0,0,2019-12-06
Colima,Manzanillo,1,1,0,0,2019-12-06
Guanajuato,Celaya,3,2,1,0,2019-12-06
Guanajuato,Irapuato,1,0,0,1,2019-12-06
Guanajuato,Pénjamo,2,2,0,0,2019-12-06
Guanajuato,Salamanca,3,1,1,1,2019-12-06
Guanajuato,Yuriria,1,1,0,0,2019-12-06
Guerrero,Acapulco De Juárez,1,1,0,0,2019-12-06
Jalisco,Guadalajara,1,1,0,0,2019-12-06
Jalisco,Tlajomulco De Zúñiga,1,1,0,0,2019-12-06
Jalisco,Zapopan,1,1,0,0,2019-12-06
Estado de México,Nezahualcóyotl,2,1,1,0,2019-12-06
Michoacán,Jiquilpan,5,5,0,0,2019-12-06
Michoacán,Uruapan,2,2,0,0,2019-12-06
Michoacán,Zamora,1,1,0,0,2019-12-06
Nuevo León,Cerralvo,1,1,0,0,2019-12-06
Nuevo León,Escobedo,1,1,0,0,2019-12-06
Nuevo León,Guadalupe,1,1,0,0,2019-12-06
Nuevo León,Los Ramones,3,2,1,0,2019-12-06
Oaxaca,Salina Cruz,1,1,0,0,2019-12-06
Puebla,San Andrés Cholula,1,1,0,0,2019-12-06
Puebla,Tehuacán,4,3,1,0,2019-12-06
Querétaro,Querétaro,1,1,0,0,2019-12-06
Quintana Roo,Benito Juárez,1,0,0,1,2019-12-06
San Luis Potosí,San Luis Potosí,1,1,0,0,2019-12-06
Sonora,Empalme,3,3,0,0,2019-12-06
Tamaulipas,Reynosa,1,1,0,0,2019-12-06
Veracruz,Acayucan,1,1,0,0,2019-12-06
Veracruz,Cazones De Herrera,1,1,0,0,2019-12-06
Veracruz,Martínez De La Torre,5,4,1,0,2019-12-06
Veracruz,Tuxpan,2,2,0,0,2019-12-06
