Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,5,,,,2019-01-19
Chiapas,Cintalapa,1,,,,2019-01-19
Chihuahua,Carichí,3,,,,2019-01-19
Chihuahua,Chihuahua,1,,,,2019-01-19
Chihuahua,Juárez,1,,,,2019-01-19
Chihuahua,La Cruz,1,,,,2019-01-19
Chihuahua,Rosales,1,,,,2019-01-19
Ciudad de México,Gustavo A. Madero,1,,,,2019-01-19
Ciudad de México,Iztapalapa,2,,,,2019-01-19
Ciudad de México,La Magdalena Contreras,3,,,,2019-01-19
Coahuila,Torreón,1,,,,2019-01-19
Colima,Manzanillo,1,,,,2019-01-19
Estado de México,Amecameca,1,,,,2019-01-19
Estado de México,Nezahualcóyotl,1,,,,2019-01-19
Estado de México,Toluca,1,,,,2019-01-19
Guanajuato,Celaya,1,,,,2019-01-19
Guanajuato,Jaral Del Progreso,1,,,,2019-01-19
Guanajuato,León,1,,,,2019-01-19
Guanajuato,Pénjamo,1,,,,2019-01-19
Guanajuato,Purísima Del Rincón,3,,,,2019-01-19
Guanajuato,Valle De Santiago,1,,,,2019-01-19
Guerrero,Acapulco De Juárez,2,,,,2019-01-19
Guerrero,Chilpancingo De Los Bravo,2,,,,2019-01-19
Guerrero,Zihuatanejo De Azueta,1,,,,2019-01-19
Hidalgo,Alfajayucan,1,,,,2019-01-19
Hidalgo,Pachuca De Soto,2,,,,2019-01-19
Jalisco,Guadalajara,1,,,,2019-01-19
Jalisco,Puerto Vallarta,3,,,,2019-01-19
Jalisco,San Pedro Tlaquepaque,1,,,,2019-01-19
Jalisco,Zapotlán El Grande,2,,,,2019-01-19
Michoacán,Coalcomán De Vázquez Pallares,2,,,,2019-01-19
Morelos,Cuautla,1,,,,2019-01-19
Morelos,Emiliano Zapata,6,,,,2019-01-19
Morelos,Temixco,3,,,,2019-01-19
Nuevo León,Monterrey,1,,,,2019-01-19
Nuevo León,Apodaca,2,,,,2019-01-19
Oaxaca,San Pedro Mixtepec,1,,,,2019-01-19
Oaxaca,Santa María Tonameca,1,,,,2019-01-19
Puebla,Tehuacán,1,,,,2019-01-19
Quintana Roo,Benito Juárez,3,,,,2019-01-19
Quintana Roo,Lázaro Cárdenas,1,,,,2019-01-19
Sinaloa,Concordia,1,,,,2019-01-19
Sinaloa,Culiacán,1,,,,2019-01-19
Sonora,Cajeme,1,,,,2019-01-19
Tabasco,Nacajuca,1,,,,2019-01-19
Tlaxcala,Natívitas,1,,,,2019-01-19
Zacatecas,Loreto,1,,,,2019-01-19
