Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,4,1,1,2,02/03/19
Chiapas,San Cristóbal De Las Casas,1,0,1,0,02/03/19
Chihuahua,Chihuahua,1,0,1,0,02/03/19
Chihuahua,Coronado,1,1,0,0,02/03/19
Chihuahua,Juárez,4,4,0,0,02/03/19
Coahuila,Torreón,1,1,0,0,02/03/19
Estado de México,Ixtapaluca,1,1,0,0,02/03/19
Estado de México,Nezahualcóyotl,3,2,1,0,02/03/19
Estado de México,Tultitlán,1,0,1,0,02/03/19
Guanajuato,Celaya,2,2,0,0,02/03/19
Guanajuato,León,1,1,0,0,02/03/19
Guanajuato,Salamanca,2,2,0,0,02/03/19
Guanajuato,Santa Cruz De Juventino Rosas,1,1,0,0,02/03/19
Guerrero,Acapulco De Juárez,1,1,0,0,02/03/19
Guerrero,Taxco De Alarcón,1,0,0,1,02/03/19
Hidalgo,Tepeapulco,1,1,0,0,02/03/19
Hidalgo,Tizayuca,1,1,0,0,02/03/19
Jalisco,Guadalajara,1,1,0,0,02/03/19
Jalisco,San Pedro Tlaquepaque,1,1,0,0,02/03/19
Jalisco,Tonalá,1,1,0,0,02/03/19
Michoacán,Buenavista,2,2,0,0,02/03/19
Michoacán,Jacona,1,1,0,0,02/03/19
Michoacán,Uruapan,2,2,0,0,02/03/19
Morelos,Huitzilac,2,2,0,0,02/03/19
Morelos,Puente De Ixtla,1,1,0,0,02/03/19
Oaxaca,San Juan Bautista Tuxtepec,2,2,0,0,02/03/19
Puebla,Ahuazotepec,1,1,0,0,02/03/19
Puebla,Atempan,1,1,0,0,02/03/19
Quintana Roo,Benito Juárez,4,1,0,3,02/03/19
Quintana Roo,Solidaridad,1,1,0,0,02/03/19
Sinaloa,Culiacán,2,2,0,0,02/03/19
Sonora,San Luis Río Colorado,4,0,0,4,02/03/19
Tabasco,Macuspana,1,1,0,0,02/03/19
Tamaulipas,El Mante,1,0,0,1,02/03/19
Tamaulipas,Victoria,4,0,0,4,02/03/19
Veracruz,Emiliano Zapata,1,0,1,0,02/03/19
Veracruz,Ozuluama De Mascareñas,1,1,0,0,02/03/19
Veracruz,Poza Rica De Hidalgo,2,2,0,0,02/03/19
Veracruz,Veracruz,1,1,0,0,02/03/19
Zacatecas,Fresnillo,1,1,0,0,02/03/19
