Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,2.0,2.0,0.0,0.0,2019-05-06
Chiapas,Tapachula,1.0,0.0,1.0,0.0,2019-05-06
Chiapas,Zinacantán,1.0,1.0,0.0,0.0,2019-05-06
Chihuahua,Chihuahua,1.0,0.0,1.0,0.0,2019-05-06
Chihuahua,Cuauhtémoc,1.0,0.0,1.0,0.0,2019-05-06
Chihuahua,Juárez,4.0,3.0,1.0,0.0,2019-05-06
Ciudad de México,Cuauhtémoc,1.0,1.0,0.0,0.0,2019-05-06
Ciudad de México,Iztapalapa,2.0,2.0,0.0,0.0,2019-05-06
Ciudad de México,Miguel Hidalgo,1.0,1.0,0.0,0.0,2019-05-06
Ciudad de México,Tlalpan,1.0,1.0,0.0,0.0,2019-05-06
Coahuila,Torreón,1.0,1.0,0.0,0.0,2019-05-06
Guanajuato,Abasolo,1.0,1.0,0.0,0.0,2019-05-06
Guanajuato,Celaya,2.0,1.0,0.0,1.0,2019-05-06
Guanajuato,Cortazar,1.0,1.0,0.0,0.0,2019-05-06
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2019-05-06
Guanajuato,Tarandacuao,1.0,0.0,1.0,0.0,2019-05-06
Guanajuato,Tarimoro,1.0,1.0,0.0,0.0,2019-05-06
Guanajuato,Valle De Santiago,1.0,1.0,0.0,0.0,2019-05-06
Guerrero,Zihuatanejo De Azueta,1.0,1.0,0.0,0.0,2019-05-06
Jalisco,Guadalajara,2.0,1.0,0.0,1.0,2019-05-06
Jalisco,Tlajomulco De Zúñiga,5.0,1.0,0.0,4.0,2019-05-06
Michoacán,Morelia,2.0,1.0,1.0,0.0,2019-05-06
Michoacán,Uruapan,4.0,3.0,1.0,0.0,2019-05-06
Michoacán,Zamora,1.0,1.0,0.0,0.0,2019-05-06
Morelos,Cuernavaca,2.0,2.0,0.0,0.0,2019-05-06
Estado de México,Ecatepec De Morelos,1.0,1.0,0.0,0.0,2019-05-06
Estado de México,Toluca,1.0,1.0,0.0,0.0,2019-05-06
Nuevo León,Monterrey,1.0,1.0,0.0,0.0,2019-05-06
Oaxaca,Putla Villa De Guerrero,1.0,1.0,0.0,0.0,2019-05-06
Oaxaca,San Juan Bautista Tuxtepec,1.0,1.0,0.0,0.0,2019-05-06
Puebla,Puebla,1.0,1.0,0.0,0.0,2019-05-06
Puebla,Tianguismanalco,1.0,1.0,0.0,0.0,2019-05-06
Querétaro,Querétaro,1.0,1.0,0.0,0.0,2019-05-06
Quintana Roo,Benito Juárez,2.0,2.0,0.0,0.0,2019-05-06
San Luis Potosí,San Luis Potosí,1.0,1.0,0.0,0.0,2019-05-06
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2019-05-06
Sonora,Hermosillo,2.0,2.0,0.0,0.0,2019-05-06
Tabasco,Centla,1.0,1.0,0.0,0.0,2019-05-06
Tabasco,Centro,2.0,2.0,0.0,0.0,2019-05-06
Tabasco,Jalapa,1.0,1.0,0.0,0.0,2019-05-06
Tabasco,Nacajuca,1.0,1.0,0.0,0.0,2019-05-06
Tamaulipas,Reynosa,1.0,1.0,0.0,0.0,2019-05-06
Veracruz,Coatzacoalcos,1.0,1.0,0.0,0.0,2019-05-06
Veracruz,Veracruz,1.0,1.0,0.0,0.0,2019-05-06
