Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,7,,,,2019-01-01
Chiapas,Ocosingo,1,,,,2019-01-01
Chihuahua,Chihuahua,1,,,,2019-01-01
Ciudad de México,Cuauhtémoc,1,,,,2019-01-01
Ciudad de México,Gustavo A. Madero,3,,,,2019-01-01
Ciudad de México,Iztacalco,2,,,,2019-01-01
Ciudad de México,Miguel Hidalgo,1,,,,2019-01-01
Ciudad de México,Álvaro Obregón,1,,,,2019-01-01
Coahuila,Saltillo,1,,,,2019-01-01
Durango,Lerdo,1,,,,2019-01-01
Estado de México,Chalco,1,,,,2019-01-01
Estado de México,Naucalpan De Juárez,1,,,,2019-01-01
Guanajuato,Celaya,1,,,,2019-01-01
Guanajuato,Salamanca,1,,,,2019-01-01
Guanajuato,Silao De La Victoria,1,,,,2019-01-01
Guanajuato,Villagrán,1,,,,2019-01-01
Guerrero,Acapulco De Juárez,1,,,,2019-01-01
Guerrero,Chilpancingo De Los Bravo,2,,,,2019-01-01
Jalisco,El Salto,1,,,,2019-01-01
Jalisco,Guadalajara,1,,,,2019-01-01
Jalisco,San Pedro Tlaquepaque,1,,,,2019-01-01
Jalisco,Zapopan,1,,,,2019-01-01
Michoacán,Jacona,1,,,,2019-01-01
Michoacán,Morelia,3,,,,2019-01-01
Michoacán,Tarímbaro,1,,,,2019-01-01
Nuevo León,Monterrey,1,,,,2019-01-01
Nuevo León,Santa Catarina,1,,,,2019-01-01
Oaxaca,Chahuites,2,,,,2019-01-01
Oaxaca,Heroica Ciudad De Tlaxiaco,1,,,,2019-01-01
Oaxaca,Matías Romero Avendaño,1,,,,2019-01-01
Puebla,Puebla,1,,,,2019-01-01
Quintana Roo,Tulum,1,,,,2019-01-01
San Luis Potosí,Moctezuma,1,,,,2019-01-01
Sinaloa,Culiacán,1,,,,2019-01-01
Sonora,Cajeme,1,,,,2019-01-01
Sonora,Hermosillo,1,,,,2019-01-01
Veracruz,Atzalan,4,,,,2019-01-01
Veracruz,Córdoba,2,,,,2019-01-01
Veracruz,Poza Rica De Hidalgo,1,,,,2019-01-01
Zacatecas,Fresnillo,5,,,,2019-01-01
Baja California,Tijuana,1,,,,2019-01-02
Campeche,Campeche,1,,,,2019-01-02
Chiapas,Palenque,1,,,,2019-01-02
Chihuahua,Chihuahua,5,,,,2019-01-02
Ciudad de México,Cuauhtémoc,2,,,,2019-01-02
Ciudad de México,Iztapalapa,1,,,,2019-01-02
Coahuila,San Pedro,1,,,,2019-01-02
Colima,Armería,1,,,,2019-01-02
Colima,Colima,1,,,,2019-01-02
Colima,Tecomán,1,,,,2019-01-02
Estado de México,Cuautitlán Izcalli,1,,,,2019-01-02
Estado de México,La Paz,1,,,,2019-01-02
Estado de México,Naucalpan De Juárez,1,,,,2019-01-02
Guanajuato,Abasolo,1,,,,2019-01-02
Guanajuato,Irapuato,4,,,,2019-01-02
Guanajuato,Pénjamo,3,,,,2019-01-02
Guanajuato,Salamanca,4,,,,2019-01-02
Guanajuato,Salvatierra,1,,,,2019-01-02
Guerrero,Acapulco De Juárez,2,,,,2019-01-02
Guerrero,Copanatoyac,1,,,,2019-01-02
Jalisco,Lagos De Moreno,2,,,,2019-01-02
Jalisco,San Pedro Tlaquepaque,1,,,,2019-01-02
Jalisco,Tlajomulco De Zúñiga,2,,,,2019-01-02
Michoacán,Morelia,1,,,,2019-01-02
Nuevo León,Apodaca,1,,,,2019-01-02
Oaxaca,Heroica Ciudad De Tlaxiaco,1,,,,2019-01-02
Oaxaca,San Lucas Ojitlán,2,,,,2019-01-02
Puebla,Huejotzingo,1,,,,2019-01-02
Puebla,Puebla,1,,,,2019-01-02
Puebla,Tecamachalco,1,,,,2019-01-02
Querétaro,San Juan Del Río,1,,,,2019-01-02
Quintana Roo,Benito Juárez,2,,,,2019-01-02
Sinaloa,El Fuerte,1,,,,2019-01-02
Tabasco,Centro,1,,,,2019-01-02
Tamaulipas,Victoria,2,,,,2019-01-02
Tlaxcala,Atlangatepec,1,,,,2019-01-02
Veracruz,Boca Del Río,1,,,,2019-01-02
Veracruz,Veracruz,1,,,,2019-01-02
Veracruz,Xalapa,1,,,,2019-01-02
Yucatán,Mérida,1,,,,2019-01-02
Zacatecas,Fresnillo,1,,,,2019-01-02
Baja California,Tijuana,8,,,,2019-01-03
Chihuahua,Chihuahua,1,,,,2019-01-03
Chihuahua,Juárez,4,,,,2019-01-03
Ciudad de México,Benito Juárez,1,,,,2019-01-03
Ciudad de México,Iztapalapa,1,,,,2019-01-03
Ciudad de México,Xochimilco,1,,,,2019-01-03
Colima,Manzanillo,1,,,,2019-01-03
Estado de México,Ecatepec De Morelos,2,,,,2019-01-03
Estado de México,Lerma,1,,,,2019-01-03
Estado de México,Nezahualcóyotl,1,,,,2019-01-03
Estado de México,Tianguistenco,1,,,,2019-01-03
Estado de México,Zinacantepec,1,,,,2019-01-03
Guanajuato,Acámbaro,1,,,,2019-01-03
Guanajuato,Celaya,2,,,,2019-01-03
Guanajuato,Irapuato,1,,,,2019-01-03
Guanajuato,Jaral Del Progreso,1,,,,2019-01-03
Guanajuato,León,1,,,,2019-01-03
Guanajuato,Pénjamo,5,,,,2019-01-03
Guanajuato,Salamanca,2,,,,2019-01-03
Guanajuato,Tarimoro,3,,,,2019-01-03
Guanajuato,Valle De Santiago,6,,,,2019-01-03
Guerrero,Acapulco De Juárez,1,,,,2019-01-03
