Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,8.0,8.0,0.0,0.0,2019-02-01
Baja California Sur,La Paz,1.0,1.0,0.0,0.0,2019-02-01
Chiapas,San Cristóbal De Las Casas,1.0,1.0,0.0,0.0,2019-02-01
Chihuahua,Chihuahua,2.0,2.0,0.0,0.0,2019-02-01
Chihuahua,Hidalgo Del Parral,3.0,3.0,0.0,0.0,2019-02-01
Chihuahua,Juárez,1.0,1.0,0.0,0.0,2019-02-01
Ciudad de México,Cuauhtémoc,1.0,0.0,0.0,1.0,2019-02-01
Ciudad de México,Iztapalapa,2.0,2.0,0.0,0.0,2019-02-01
Coahuila,Torreón,1.0,1.0,0.0,0.0,2019-02-01
Colima,Manzanillo,3.0,0.0,0.0,3.0,2019-02-01
Estado de México,Chalco,2.0,0.0,1.0,1.0,2019-02-01
Estado de México,Ixtapan De La Sal,2.0,2.0,0.0,0.0,2019-02-01
Estado de México,Nicolás Romero,1.0,1.0,0.0,0.0,2019-02-01
Estado de México,San Mateo Atenco,1.0,1.0,0.0,0.0,2019-02-01
Estado de México,Tecámac,1.0,1.0,0.0,0.0,2019-02-01
Guanajuato,León,2.0,2.0,0.0,0.0,2019-02-01
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2019-02-01
Guanajuato,Silao De La Victoria,3.0,2.0,1.0,0.0,2019-02-01
Guanajuato,Valle De Santiago,2.0,2.0,0.0,0.0,2019-02-01
Guerrero,Marquelia,1.0,1.0,0.0,0.0,2019-02-01
Guerrero,Pungarabato,1.0,1.0,0.0,0.0,2019-02-01
Guerrero,Tlapa De Comonfort,2.0,1.0,0.0,1.0,2019-02-01
Hidalgo,Tulancingo De Bravo,1.0,1.0,0.0,0.0,2019-02-01
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2019-02-01
Jalisco,Lagos De Moreno,2.0,2.0,0.0,0.0,2019-02-01
Jalisco,San Pedro Tlaquepaque,3.0,2.0,1.0,0.0,2019-02-01
Jalisco,Tlajomulco De Zúñiga,1.0,1.0,0.0,0.0,2019-02-01
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2019-02-01
Michoacán,Tangamandapio,2.0,1.0,1.0,0.0,2019-02-01
Michoacán,Uruapan,4.0,4.0,0.0,0.0,2019-02-01
Michoacán,Zamora,1.0,1.0,0.0,0.0,2019-02-01
Michoacán,Ziracuaretiro,2.0,2.0,0.0,0.0,2019-02-01
Nuevo León,Cadereyta Jiménez,1.0,1.0,0.0,0.0,2019-02-01
Nuevo León,Salinas Victoria,3.0,0.0,3.0,0.0,2019-02-01
Oaxaca,Santa Lucía Del Camino,1.0,1.0,0.0,0.0,2019-02-01
Puebla,Tehuacán,1.0,1.0,0.0,0.0,2019-02-01
Puebla,Xicotepec,1.0,1.0,0.0,0.0,2019-02-01
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2019-02-01
Quintana Roo,Solidaridad,1.0,1.0,0.0,0.0,2019-02-01
Sonora,Altar,1.0,1.0,0.0,0.0,2019-02-01
Sonora,Cajeme,2.0,0.0,0.0,2.0,2019-02-01
Sonora,San Luis Río Colorado,3.0,2.0,0.0,1.0,2019-02-01
Tabasco,Huimanguillo,3.0,3.0,0.0,0.0,2019-02-01
Tlaxcala,Tzompantepec,1.0,1.0,0.0,0.0,2019-02-01
Veracruz,Córdoba,1.0,1.0,0.0,0.0,2019-02-01
Zacatecas,Villa González Ortega,1.0,0.0,1.0,0.0,2019-02-01
Baja California,Mexicali,1.0,1.0,0.0,0.0,2019-02-02
Baja California,Tijuana,10.0,6.0,1.0,3.0,2019-02-02
Chiapas,Cacahoatán,1.0,1.0,0.0,0.0,2019-02-02
Chihuahua,Juárez,1.0,0.0,0.0,1.0,2019-02-02
Ciudad de México,Gustavo A. Madero,1.0,1.0,0.0,0.0,2019-02-02
Ciudad de México,Miguel Hidalgo,1.0,1.0,0.0,0.0,2019-02-02
Ciudad de México,Álvaro Obregón,1.0,1.0,0.0,0.0,2019-02-02
Colima,Tecomán,1.0,0.0,0.0,1.0,2019-02-02
Estado de México,Chicoloapan,1.0,0.0,0.0,1.0,2019-02-02
Estado de México,Juchitepec,1.0,1.0,0.0,0.0,2019-02-02
Estado de México,Ozumba,1.0,0.0,1.0,0.0,2019-02-02
Estado de México,Zinacantepec,1.0,0.0,1.0,0.0,2019-02-02
Guanajuato,Irapuato,5.0,5.0,0.0,0.0,2019-02-02
Guanajuato,León,1.0,1.0,0.0,0.0,2019-02-02
Guanajuato,Salamanca,3.0,2.0,1.0,0.0,2019-02-02
Guerrero,Acapulco De Juárez,5.0,4.0,1.0,0.0,2019-02-02
Guerrero,Chilpancingo De Los Bravo,1.0,1.0,0.0,0.0,2019-02-02
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2019-02-02
Jalisco,San Pedro Tlaquepaque,1.0,0.0,1.0,0.0,2019-02-02
Nuevo León,Apodaca,1.0,0.0,0.0,1.0,2019-02-02
Nuevo León,Salinas Victoria,1.0,1.0,0.0,0.0,2019-02-02
Oaxaca,El Barrio De La Soledad,1.0,1.0,0.0,0.0,2019-02-02
Oaxaca,Zaragoza,1.0,1.0,0.0,0.0,2019-02-02
Puebla,San Matías Tlalancaleca,1.0,1.0,0.0,0.0,2019-02-02
Puebla,Venustiano Carranza,3.0,3.0,0.0,0.0,2019-02-02
Querétaro,Querétaro,1.0,1.0,0.0,0.0,2019-02-02
Quintana Roo,Solidaridad,2.0,1.0,0.0,1.0,2019-02-02
San Luis Potosí,Soledad De Graciano Sánchez,1.0,1.0,0.0,0.0,2019-02-02
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2019-02-02
Tabasco,Cárdenas,1.0,1.0,0.0,0.0,2019-02-02
Tabasco,Huimanguillo,3.0,3.0,0.0,0.0,2019-02-02
Tamaulipas,Miguel Alemán,2.0,2.0,0.0,0.0,2019-02-02
Veracruz,Acula,2.0,2.0,0.0,0.0,2019-02-02
Veracruz,Coatzintla,1.0,1.0,0.0,0.0,2019-02-02
Veracruz,Cosamaloapan De Carpio,2.0,2.0,0.0,0.0,2019-02-02
Veracruz,Tihuatlán,3.0,0.0,0.0,3.0,2019-02-02
Veracruz,Zozocolco De Hidalgo,1.0,0.0,1.0,0.0,2019-02-02
Zacatecas,Valparaíso,1.0,0.0,1.0,0.0,2019-02-02
Baja California,Tecate,1.0,1.0,0.0,0.0,2019-02-03
Baja California,Tijuana,1.0,1.0,0.0,0.0,2019-02-03
