Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,4.0,2.0,2.0,0.0,2019-08-01
Chiapas,Tapachula,1.0,1.0,0.0,0.0,2019-08-01
Chiapas,Tuxtla Chico,1.0,0.0,1.0,0.0,2019-08-01
Chihuahua,Juárez,4.0,3.0,1.0,0.0,2019-08-01
Chihuahua,Temósachic,1.0,1.0,0.0,0.0,2019-08-01
Ciudad de México,Cuauhtémoc,1.0,0.0,0.0,1.0,2019-08-01
Ciudad de México,Iztapalapa,1.0,1.0,0.0,0.0,2019-08-01
Ciudad de México,Tlalpan,1.0,1.0,0.0,0.0,2019-08-01
Ciudad de México,Venustiano Carranza,1.0,1.0,0.0,0.0,2019-08-01
Coahuila,Saltillo,2.0,2.0,0.0,0.0,2019-08-01
Durango,Tamazula,5.0,0.0,0.0,5.0,2019-08-01
Guanajuato,León,1.0,1.0,0.0,0.0,2019-08-01
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2019-08-01
Guanajuato,San Francisco Del Rincón,1.0,1.0,0.0,0.0,2019-08-01
Guerrero,Acapulco De Juárez,4.0,4.0,0.0,0.0,2019-08-01
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2019-08-01
Jalisco,Tonalá,3.0,2.0,1.0,0.0,2019-08-01
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2019-08-01
Michoacán,Hidalgo,1.0,1.0,0.0,0.0,2019-08-01
Michoacán,Morelia,3.0,1.0,1.0,1.0,2019-08-01
Michoacán,Uruapan,7.0,3.0,0.0,4.0,2019-08-01
Morelos,Amacuzac,1.0,1.0,0.0,0.0,2019-08-01
Morelos,Cuernavaca,1.0,0.0,0.0,1.0,2019-08-01
Morelos,Jiutepec,1.0,1.0,0.0,0.0,2019-08-01
Estado de México,Temoaya,1.0,1.0,0.0,0.0,2019-08-01
Nayarit,San Blas,1.0,0.0,1.0,0.0,2019-08-01
Nuevo León,Cadereyta Jiménez,1.0,1.0,0.0,0.0,2019-08-01
Puebla,Esperanza,1.0,1.0,0.0,0.0,2019-08-01
Puebla,Huaquechula,2.0,2.0,0.0,0.0,2019-08-01
Puebla,Tecamachalco,2.0,0.0,0.0,2.0,2019-08-01
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2019-08-01
Tabasco,Comalcalco,1.0,0.0,1.0,0.0,2019-08-01
Tabasco,Jalpa De Méndez,1.0,1.0,0.0,0.0,2019-08-01
Veracruz,Coatzacoalcos,1.0,1.0,0.0,0.0,2019-08-01
Veracruz,Huatusco,1.0,0.0,1.0,0.0,2019-08-01
Veracruz,San Juan Evangelista,2.0,2.0,0.0,0.0,2019-08-01
Veracruz,Veracruz,1.0,1.0,0.0,0.0,2019-08-01
Veracruz,Xalapa,1.0,1.0,0.0,0.0,2019-08-01
Veracruz,Álamo Temapache,1.0,0.0,1.0,0.0,2019-08-01
Zacatecas,Pinos,1.0,1.0,0.0,0.0,2019-08-01
Zacatecas,Pánuco,2.0,2.0,0.0,0.0,2019-08-01
Zacatecas,Valparaíso,2.0,0.0,0.0,2.0,2019-08-01
Baja California,Tijuana,9.0,8.0,1.0,0.0,2019-08-02
Baja California Sur,La Paz,2.0,2.0,0.0,0.0,2019-08-02
Chihuahua,Juárez,1.0,1.0,0.0,0.0,2019-08-02
Chihuahua,Madera,3.0,3.0,0.0,0.0,2019-08-02
Guanajuato,Celaya,2.0,0.0,0.0,2.0,2019-08-02
Guanajuato,Irapuato,2.0,1.0,1.0,0.0,2019-08-02
Guanajuato,León,2.0,2.0,0.0,0.0,2019-08-02
Guanajuato,Salamanca,2.0,1.0,0.0,1.0,2019-08-02
Guanajuato,Santa Cruz De Juventino Rosas,1.0,1.0,0.0,0.0,2019-08-02
Guanajuato,Valle De Santiago,5.0,5.0,0.0,0.0,2019-08-02
Guerrero,Acapulco De Juárez,3.0,2.0,1.0,0.0,2019-08-02
Guerrero,Chilpancingo De Los Bravo,1.0,0.0,0.0,1.0,2019-08-02
Guerrero,Taxco De Alarcón,1.0,1.0,0.0,0.0,2019-08-02
Guerrero,Zihuatanejo De Azueta,1.0,1.0,0.0,0.0,2019-08-02
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2019-08-02
Jalisco,Tepatitlán De Morelos,2.0,2.0,0.0,0.0,2019-08-02
Jalisco,Tlajomulco De Zúñiga,1.0,1.0,0.0,0.0,2019-08-02
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2019-08-02
Michoacán,Jacona,1.0,1.0,0.0,0.0,2019-08-02
Michoacán,Morelia,1.0,1.0,0.0,0.0,2019-08-02
Michoacán,Sahuayo,1.0,1.0,0.0,0.0,2019-08-02
Morelos,Puente De Ixtla,1.0,0.0,0.0,1.0,2019-08-02
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2019-08-02
Estado de México,Tultitlán,1.0,0.0,1.0,0.0,2019-08-02
Nuevo León,Apodaca,1.0,1.0,0.0,0.0,2019-08-02
Nuevo León,Cadereyta Jiménez,1.0,1.0,0.0,0.0,2019-08-02
Oaxaca,San Pedro Tapanatepec,4.0,4.0,0.0,0.0,2019-08-02
Puebla,Tehuacán,1.0,1.0,0.0,0.0,2019-08-02
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2019-08-02
Sinaloa,Culiacán,5.0,5.0,0.0,0.0,2019-08-02
Sonora,Cajeme,1.0,1.0,0.0,0.0,2019-08-02
Sonora,Hermosillo,3.0,3.0,0.0,0.0,2019-08-02
Tabasco,Huimanguillo,1.0,1.0,0.0,0.0,2019-08-02
Tlaxcala,Apizaco,1.0,1.0,0.0,0.0,2019-08-02
Veracruz,Álamo Temapache,1.0,1.0,0.0,0.0,2019-08-02
Veracruz,Manlio Fabio Altamirano,1.0,1.0,0.0,0.0,2019-08-02
Veracruz,Minatitlán,1.0,0.0,1.0,0.0,2019-08-02
Veracruz,Tuxpan,1.0,0.0,1.0,0.0,2019-08-02
