Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,9.0,6.0,0.0,3.0,2019-10-01
Baja California Sur,La Paz,1.0,1.0,0.0,0.0,2019-10-01
Chiapas,Comitán De Domínguez,1.0,1.0,0.0,0.0,2019-10-01
Chihuahua,Bocoyna,2.0,2.0,0.0,0.0,2019-10-01
Chihuahua,Casas Grandes,1.0,1.0,0.0,0.0,2019-10-01
Chihuahua,Cuauhtémoc,2.0,2.0,0.0,0.0,2019-10-01
Ciudad de México,Gustavo A. Madero,1.0,1.0,0.0,0.0,2019-10-01
Guanajuato,Apaseo El Grande,2.0,2.0,0.0,0.0,2019-10-01
Guanajuato,Celaya,6.0,3.0,2.0,1.0,2019-10-01
Guanajuato,León,2.0,1.0,1.0,0.0,2019-10-01
Guanajuato,Purísima Del Rincón,1.0,1.0,0.0,0.0,2019-10-01
Guanajuato,Pénjamo,2.0,1.0,1.0,0.0,2019-10-01
Guanajuato,Salamanca,2.0,1.0,0.0,1.0,2019-10-01
Guanajuato,Valle De Santiago,1.0,1.0,0.0,0.0,2019-10-01
Guerrero,Acapulco De Juárez,1.0,1.0,0.0,0.0,2019-10-01
Hidalgo,Tizayuca,1.0,1.0,0.0,0.0,2019-10-01
Jalisco,Encarnación De Díaz,3.0,0.0,3.0,0.0,2019-10-01
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2019-10-01
Jalisco,Lagos De Moreno,2.0,0.0,1.0,1.0,2019-10-01
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2019-10-01
Michoacán,Jacona,3.0,3.0,0.0,0.0,2019-10-01
Michoacán,Morelia,1.0,1.0,0.0,0.0,2019-10-01
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2019-10-01
Morelos,Cuernavaca,1.0,1.0,0.0,0.0,2019-10-01
Estado de México,Ecatepec De Morelos,2.0,2.0,0.0,0.0,2019-10-01
Nuevo León,García,1.0,1.0,0.0,0.0,2019-10-01
Nuevo León,Escobedo,1.0,1.0,0.0,0.0,2019-10-01
Nuevo León,San Nicolás De Los Garza,1.0,1.0,0.0,0.0,2019-10-01
Oaxaca,Zaragoza,1.0,1.0,0.0,0.0,2019-10-01
Oaxaca,Oaxaca De Juárez,2.0,0.0,0.0,2.0,2019-10-01
Oaxaca,San Jacinto Amilpas,1.0,1.0,0.0,0.0,2019-10-01
Oaxaca,San Juan Bautista Tuxtepec,2.0,2.0,0.0,0.0,2019-10-01
Puebla,Huaquechula,1.0,0.0,1.0,0.0,2019-10-01
Puebla,Puebla,3.0,3.0,0.0,0.0,2019-10-01
Puebla,Tehuacán,1.0,1.0,0.0,0.0,2019-10-01
Querétaro,Querétaro,1.0,1.0,0.0,0.0,2019-10-01
Quintana Roo,Benito Juárez,4.0,3.0,0.0,1.0,2019-10-01
Quintana Roo,Tulum,1.0,1.0,0.0,0.0,2019-10-01
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2019-10-01
Tabasco,Centro,1.0,1.0,0.0,0.0,2019-10-01
Tamaulipas,Gustavo Díaz Ordaz,2.0,2.0,0.0,0.0,2019-10-01
Tamaulipas,Reynosa,1.0,1.0,0.0,0.0,2019-10-01
Tlaxcala,Panotla,2.0,1.0,0.0,1.0,2019-10-01
Veracruz,Chinampa De Gorostiza,3.0,3.0,0.0,0.0,2019-10-01
Veracruz,Córdoba,1.0,0.0,1.0,0.0,2019-10-01
Veracruz,Emiliano Zapata,1.0,1.0,0.0,0.0,2019-10-01
Veracruz,Tihuatlán,1.0,1.0,0.0,0.0,2019-10-01
Zacatecas,Valparaíso,3.0,3.0,0.0,0.0,2019-10-01
Baja California,Tijuana,5.0,4.0,0.0,1.0,2019-10-02
Chiapas,Rincón Chamula San Pedro,2.0,2.0,0.0,0.0,2019-10-02
Chiapas,San Cristóbal De Las Casas,1.0,1.0,0.0,0.0,2019-10-02
Chihuahua,Chihuahua,2.0,1.0,1.0,0.0,2019-10-02
Chihuahua,Cuauhtémoc,1.0,1.0,0.0,0.0,2019-10-02
Ciudad de México,Cuauhtémoc,1.0,1.0,0.0,0.0,2019-10-02
Colima,Manzanillo,3.0,2.0,1.0,0.0,2019-10-02
Guanajuato,Celaya,1.0,1.0,0.0,0.0,2019-10-02
Guanajuato,Comonfort,1.0,1.0,0.0,0.0,2019-10-02
Guanajuato,Irapuato,2.0,2.0,0.0,0.0,2019-10-02
Guanajuato,Pénjamo,3.0,3.0,0.0,0.0,2019-10-02
Guanajuato,Salamanca,2.0,1.0,0.0,1.0,2019-10-02
Guanajuato,San Miguel De Allende,1.0,1.0,0.0,0.0,2019-10-02
Guanajuato,Valle De Santiago,1.0,1.0,0.0,0.0,2019-10-02
Guerrero,Chilpancingo De Los Bravo,1.0,1.0,0.0,0.0,2019-10-02
Guerrero,Iguala De La Independencia,3.0,3.0,0.0,0.0,2019-10-02
Guerrero,Juan R. Escudero,2.0,2.0,0.0,0.0,2019-10-02
Guerrero,Taxco De Alarcón,1.0,1.0,0.0,0.0,2019-10-02
Hidalgo,Pachuca De Soto,1.0,0.0,1.0,0.0,2019-10-02
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2019-10-02
Jalisco,Puerto Vallarta,1.0,1.0,0.0,0.0,2019-10-02
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2019-10-02
Jalisco,Tlajomulco De Zúñiga,1.0,0.0,0.0,1.0,2019-10-02
Jalisco,Zapopan,2.0,2.0,0.0,0.0,2019-10-02
Michoacán,Chilchota,3.0,3.0,0.0,0.0,2019-10-02
Michoacán,Cotija,1.0,1.0,0.0,0.0,2019-10-02
Michoacán,Morelia,1.0,1.0,0.0,0.0,2019-10-02
Michoacán,Sahuayo,1.0,1.0,0.0,0.0,2019-10-02
Michoacán,Uruapan,2.0,2.0,0.0,0.0,2019-10-02
Michoacán,Zamora,1.0,1.0,0.0,0.0,2019-10-02
Michoacán,Zitácuaro,1.0,1.0,0.0,0.0,2019-10-02
Morelos,Amacuzac,1.0,1.0,0.0,0.0,2019-10-02
Morelos,Cuernavaca,1.0,0.0,0.0,1.0,2019-10-02
Morelos,Tetecala,2.0,0.0,0.0,2.0,2019-10-02
Morelos,Zacatepec,1.0,1.0,0.0,0.0,2019-10-02
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2019-10-02
Nuevo León,García,1.0,1.0,0.0,0.0,2019-10-02
Nuevo León,San Nicolás De Los Garza,1.0,1.0,0.0,0.0,2019-10-02
Oaxaca,San Juan Bautista Tuxtepec,3.0,2.0,1.0,0.0,2019-10-02
Puebla,Atlixco,1.0,1.0,0.0,0.0,2019-10-02
Puebla,Tehuacán,2.0,2.0,0.0,0.0,2019-10-02
Quintana Roo,Bacalar,1.0,1.0,0.0,0.0,2019-10-02
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2019-10-02
Sinaloa,Navolato,2.0,2.0,0.0,0.0,2019-10-02
Tabasco,Centro,1.0,1.0,0.0,0.0,2019-10-02
Tamaulipas,Matamoros,1.0,1.0,0.0,0.0,2019-10-02
Tlaxcala,Hueyotlipan,1.0,1.0,0.0,0.0,2019-10-02
Tlaxcala,Tepeyanco,1.0,1.0,0.0,0.0,2019-10-02
Veracruz,Cosoleacaque,1.0,1.0,0.0,0.0,2019-10-02
Veracruz,Medellín De Bravo,1.0,1.0,0.0,0.0,2019-10-02
Veracruz,Yanga,1.0,1.0,0.0,0.0,2019-10-02
Zacatecas,Villa De Cos,1.0,1.0,0.0,0.0,2019-10-02
Baja California,Tijuana,5.0,4.0,1.0,0.0,2019-10-03
Chihuahua,Bocoyna,4.0,0.0,0.0,4.0,2019-10-03
Chihuahua,Chihuahua,1.0,1.0,0.0,0.0,2019-10-03
Chihuahua,Juárez,5.0,3.0,1.0,1.0,2019-10-03
Ciudad de México,La Magdalena Contreras,1.0,1.0,0.0,0.0,2019-10-03
Colima,Colima,1.0,1.0,0.0,0.0,2019-10-03
Guanajuato,Acámbaro,1.0,1.0,0.0,0.0,2019-10-03
Guanajuato,Apaseo El Grande,1.0,1.0,0.0,0.0,2019-10-03
Guanajuato,Apaseo El Alto,1.0,0.0,1.0,0.0,2019-10-03
Guanajuato,Celaya,2.0,2.0,0.0,0.0,2019-10-03
Guanajuato,Cortazar,1.0,1.0,0.0,0.0,2019-10-03
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2019-10-03
Guanajuato,Pénjamo,2.0,2.0,0.0,0.0,2019-10-03
Guanajuato,Salamanca,4.0,3.0,1.0,0.0,2019-10-03
Guanajuato,San Francisco Nuxaño,1.0,1.0,0.0,0.0,2019-10-03
Guanajuato,San José Iturbide,1.0,1.0,0.0,0.0,2019-10-03
Guanajuato,San Miguel De Allende,2.0,0.0,0.0,2.0,2019-10-03
Guanajuato,Valle De Santiago,1.0,1.0,0.0,0.0,2019-10-03
Guanajuato,Purísima Del Rincón,1.0,1.0,0.0,0.0,2019-10-03
Guerrero,Acapulco De Juárez,1.0,0.0,0.0,1.0,2019-10-03
Guerrero,Ayutla De Los Libres,1.0,1.0,0.0,0.0,2019-10-03
Jalisco,El Salto,1.0,1.0,0.0,0.0,2019-10-03
Jalisco,San Pedro Tlaquepaque,3.0,3.0,0.0,0.0,2019-10-03
Jalisco,Tlajomulco De Zúñiga,1.0,1.0,0.0,0.0,2019-10-03
Jalisco,Tonalá,1.0,1.0,0.0,0.0,2019-10-03
Jalisco,Zapopan,2.0,2.0,0.0,0.0,2019-10-03
Michoacán,Jacona,1.0,1.0,0.0,0.0,2019-10-03
Michoacán,Morelia,1.0,0.0,0.0,1.0,2019-10-03
Michoacán,Sahuayo,1.0,1.0,0.0,0.0,2019-10-03
Michoacán,Tarímbaro,2.0,1.0,1.0,0.0,2019-10-03
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2019-10-03
Michoacán,Zamora,1.0,1.0,0.0,0.0,2019-10-03
Morelos,Cuernavaca,1.0,1.0,0.0,0.0,2019-10-03
Estado de México,Ecatepec De Morelos,1.0,1.0,0.0,0.0,2019-10-03
Estado de México,Naucalpan De Juárez,3.0,1.0,2.0,0.0,2019-10-03
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2019-10-03
Oaxaca,Acatlán De Pérez Figueroa,1.0,1.0,0.0,0.0,2019-10-03
Oaxaca,Asunción Ixtaltepec,1.0,1.0,0.0,0.0,2019-10-03
Oaxaca,San Martín Itunyoso,2.0,0.0,2.0,0.0,2019-10-03
