Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,1.0,1.0,0.0,0.0,2019-12-01
Baja California Sur,La Paz,1.0,1.0,0.0,0.0,2019-12-01
Chiapas,Tuxtla Gutiérrez,1.0,1.0,0.0,0.0,2019-12-01
Chihuahua,Juárez,1.0,0.0,0.0,1.0,2019-12-01
Ciudad de México,Gustavo A. Madero,2.0,2.0,0.0,0.0,2019-12-01
Ciudad de México,Xochimilco,1.0,1.0,0.0,0.0,2019-12-01
Coahuila,Villa Unión,6.0,0.0,0.0,6.0,2019-12-01
Colima,Manzanillo,1.0,0.0,1.0,0.0,2019-12-01
Colima,Tecomán,1.0,1.0,0.0,0.0,2019-12-01
Guanajuato,Apaseo El Grande,1.0,1.0,0.0,0.0,2019-12-01
Guanajuato,Apaseo El Alto,1.0,1.0,0.0,0.0,2019-12-01
Guanajuato,Celaya,4.0,4.0,0.0,0.0,2019-12-01
Guanajuato,Cortazar,2.0,1.0,1.0,0.0,2019-12-01
Guanajuato,Irapuato,3.0,1.0,1.0,1.0,2019-12-01
Guanajuato,Salamanca,5.0,4.0,1.0,0.0,2019-12-01
Guerrero,Chilpancingo De Los Bravo,3.0,3.0,0.0,0.0,2019-12-01
Guerrero,Coyuca De Benítez,1.0,1.0,0.0,0.0,2019-12-01
Guerrero,Zihuatanejo De Azueta,1.0,1.0,0.0,0.0,2019-12-01
Hidalgo,Atotonilco El Grande,1.0,0.0,1.0,0.0,2019-12-01
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2019-12-01
Jalisco,San Pedro Tlaquepaque,1.0,0.0,0.0,1.0,2019-12-01
Jalisco,Tonalá,1.0,1.0,0.0,0.0,2019-12-01
Michoacán,Uruapan,5.0,4.0,1.0,0.0,2019-12-01
Michoacán,Ziracuaretiro,2.0,2.0,0.0,0.0,2019-12-01
Morelos,Miacatlán,1.0,1.0,0.0,0.0,2019-12-01
Morelos,Ocuituco,1.0,1.0,0.0,0.0,2019-12-01
Estado de México,Chalco,1.0,1.0,0.0,0.0,2019-12-01
Estado de México,La Paz,1.0,1.0,0.0,0.0,2019-12-01
Estado de México,Nezahualcóyotl,2.0,2.0,0.0,0.0,2019-12-01
Estado de México,Valle De Chalco Solidaridad,3.0,3.0,0.0,0.0,2019-12-01
Nuevo León,Monterrey,2.0,2.0,0.0,0.0,2019-12-01
Oaxaca,San Juan Lalana,3.0,0.0,0.0,3.0,2019-12-01
Oaxaca,Santa María Chimalapa,1.0,0.0,0.0,1.0,2019-12-01
Oaxaca,Santo Domingo Tehuantepec,1.0,0.0,1.0,0.0,2019-12-01
Puebla,Puebla,2.0,1.0,0.0,1.0,2019-12-01
Puebla,Tehuacán,1.0,1.0,0.0,0.0,2019-12-01
Quintana Roo,Tulum,1.0,1.0,0.0,0.0,2019-12-01
San Luis Potosí,Matehuala,1.0,0.0,1.0,0.0,2019-12-01
Sonora,Benito Juárez,1.0,1.0,0.0,0.0,2019-12-01
Tabasco,Jonuta,1.0,1.0,0.0,0.0,2019-12-01
Veracruz,Álamo Temapache,2.0,1.0,1.0,0.0,2019-12-01
Veracruz,Xalapa,2.0,2.0,0.0,0.0,2019-12-01
Baja California,Tijuana,6.0,3.0,2.0,1.0,2019-12-02
Chihuahua,Hidalgo Del Parral,1.0,1.0,0.0,0.0,2019-12-02
Chihuahua,Juárez,1.0,1.0,0.0,0.0,2019-12-02
Ciudad de México,Coyoacán,1.0,1.0,0.0,0.0,2019-12-02
Ciudad de México,Gustavo A. Madero,1.0,1.0,0.0,0.0,2019-12-02
Ciudad de México,Iztacalco,3.0,1.0,0.0,2.0,2019-12-02
Ciudad de México,Álvaro Obregón,2.0,1.0,1.0,0.0,2019-12-02
Coahuila,Torreón,1.0,0.0,1.0,0.0,2019-12-02
Coahuila,Villa Unión,2.0,0.0,0.0,2.0,2019-12-02
Guanajuato,Acámbaro,2.0,0.0,0.0,2.0,2019-12-02
Guanajuato,Irapuato,5.0,4.0,1.0,0.0,2019-12-02
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2019-12-02
Guerrero,Acapulco De Juárez,1.0,1.0,0.0,0.0,2019-12-02
Guerrero,Iguala De La Independencia,1.0,1.0,0.0,0.0,2019-12-02
Guerrero,Leonardo Bravo,5.0,2.0,1.0,2.0,2019-12-02
Guerrero,Zihuatanejo De Azueta,2.0,2.0,0.0,0.0,2019-12-02
Hidalgo,Atitalaquia,1.0,1.0,0.0,0.0,2019-12-02
Hidalgo,Epazoyucan,1.0,1.0,0.0,0.0,2019-12-02
Hidalgo,Mineral Del Chico,1.0,1.0,0.0,0.0,2019-12-02
Hidalgo,Pachuca De Soto,1.0,1.0,0.0,0.0,2019-12-02
Jalisco,Encarnación De Díaz,1.0,0.0,1.0,0.0,2019-12-02
Jalisco,Lagos De Moreno,1.0,1.0,0.0,0.0,2019-12-02
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2019-12-02
Michoacán,Uruapan,1.0,0.0,0.0,1.0,2019-12-02
Michoacán,Zamora,2.0,2.0,0.0,0.0,2019-12-02
Morelos,Tetecala,1.0,1.0,0.0,0.0,2019-12-02
Morelos,Tlaltizapán De Zapata,1.0,1.0,0.0,0.0,2019-12-02
Estado de México,Nezahualcóyotl,1.0,0.0,1.0,0.0,2019-12-02
Estado de México,Texcaltitlán,3.0,3.0,0.0,0.0,2019-12-02
Estado de México,Valle De Chalco Solidaridad,1.0,1.0,0.0,0.0,2019-12-02
Oaxaca,El Espinal,1.0,1.0,0.0,0.0,2019-12-02
Oaxaca,Zaragoza,1.0,1.0,0.0,0.0,2019-12-02
Oaxaca,Oaxaca De Juárez,2.0,2.0,0.0,0.0,2019-12-02
Oaxaca,San Juan Lalana,1.0,1.0,0.0,0.0,2019-12-02
Oaxaca,Santo Domingo Tehuantepec,1.0,0.0,1.0,0.0,2019-12-02
Puebla,Acatzingo,1.0,1.0,0.0,0.0,2019-12-02
Puebla,Atlixco,1.0,1.0,0.0,0.0,2019-12-02
Puebla,San Pedro Cholula,1.0,0.0,0.0,1.0,2019-12-02
Querétaro,El Marqués,1.0,0.0,0.0,1.0,2019-12-02
Querétaro,Querétaro,2.0,2.0,0.0,0.0,2019-12-02
San Luis Potosí,San Luis Potosí,3.0,3.0,0.0,0.0,2019-12-02
Sinaloa,Mazatlán,2.0,2.0,0.0,0.0,2019-12-02
Sonora,Guaymas,1.0,1.0,0.0,0.0,2019-12-02
Tabasco,Cárdenas,1.0,1.0,0.0,0.0,2019-12-02
Tlaxcala,Zacatelco,1.0,1.0,0.0,0.0,2019-12-02
Veracruz,Atzalan,1.0,0.0,0.0,1.0,2019-12-02
Veracruz,Coatzacoalcos,1.0,0.0,1.0,0.0,2019-12-02
Veracruz,Fortín,1.0,1.0,0.0,0.0,2019-12-02
Veracruz,Pánuco,1.0,1.0,0.0,0.0,2019-12-02
Veracruz,Sayula De Alemán,1.0,1.0,0.0,0.0,2019-12-02
Veracruz,Tihuatlán,1.0,0.0,1.0,0.0,2019-12-02
Zacatecas,Calera,1.0,1.0,0.0,0.0,2019-12-02
