Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,2,2.0,0.0,0.0,2019-11-24
Chihuahua,Chihuahua,4,4.0,0.0,0.0,2019-11-24
Colima,Manzanillo,1,1.0,0.0,0.0,2019-11-24
Guanajuato,Abasolo,4,3.0,1.0,0.0,2019-11-24
Guanajuato,Apaseo El Alto,1,1.0,0.0,0.0,2019-11-24
Guanajuato,Irapuato,3,2.0,0.0,1.0,2019-11-24
Guanajuato,León,1,0.0,0.0,1.0,2019-11-24
Guerrero,Acapulco De Juárez,1,1.0,0.0,0.0,2019-11-24
Guerrero,Chilpancingo De Los Bravo,2,2.0,0.0,0.0,2019-11-24
Guerrero,Iguala De La Independencia,1,1.0,0.0,0.0,2019-11-24
Guerrero,San Marcos,2,2.0,0.0,0.0,2019-11-24
Jalisco,Lagos De Moreno,8,0.0,0.0,8.0,2019-11-24
Jalisco,Tlajomulco De Zúñiga,4,0.0,0.0,4.0,2019-11-24
Jalisco,Tonalá,1,1.0,0.0,0.0,2019-11-24
Michoacán,Tarímbaro,1,1.0,0.0,0.0,2019-11-24
Michoacán,Uruapan,1,1.0,0.0,0.0,2019-11-24
Morelos,Cuernavaca,1,1.0,0.0,0.0,2019-11-24
Morelos,Emiliano Zapata,1,0.0,1.0,0.0,2019-11-24
Morelos,Yautepec,1,0.0,1.0,0.0,2019-11-24
Estado de México,Ixtapaluca,2,1.0,1.0,0.0,2019-11-24
Estado de México,Tecámac,2,2.0,0.0,0.0,2019-11-24
Nuevo León,Apodaca,1,0.0,0.0,1.0,2019-11-24
Nuevo León,Monterrey,2,0.0,0.0,2.0,2019-11-24
Oaxaca,Zaragoza,1,1.0,0.0,0.0,2019-11-24
Oaxaca,Oaxaca De Juárez,2,1.0,0.0,1.0,2019-11-24
Oaxaca,San Juan Bautista Tuxtepec,1,1.0,0.0,0.0,2019-11-24
Puebla,Tecamachalco,1,0.0,0.0,1.0,2019-11-24
Quintana Roo,Benito Juárez,1,1.0,0.0,0.0,2019-11-24
Quintana Roo,Tulum,1,1.0,0.0,0.0,2019-11-24
San Luis Potosí,Ebano,1,1.0,0.0,0.0,2019-11-24
San Luis Potosí,Mexquitic De Carmona,2,0.0,0.0,2.0,2019-11-24
San Luis Potosí,San Luis Potosí,1,0.0,0.0,1.0,2019-11-24
San Luis Potosí,Soledad De Graciano Sánchez,1,1.0,0.0,0.0,2019-11-24
Sinaloa,Ahome,5,0.0,0.0,5.0,2019-11-24
Sinaloa,Culiacán,2,1.0,0.0,1.0,2019-11-24
Sinaloa,Mocorito,1,1.0,0.0,0.0,2019-11-24
Sonora,Cajeme,1,1.0,0.0,0.0,2019-11-24
Sonora,Hermosillo,1,0.0,1.0,0.0,2019-11-24
Sonora,San Luis Río Colorado,2,0.0,0.0,2.0,2019-11-24
Tabasco,Huimanguillo,1,1.0,0.0,0.0,2019-11-24
Tamaulipas,Nuevo Laredo,2,2.0,0.0,0.0,2019-11-24
Tamaulipas,Reynosa,3,0.0,0.0,3.0,2019-11-24
Veracruz,Álamo Temapache,1,1.0,0.0,0.0,2019-11-24
Veracruz,Carrillo Puerto,1,1.0,0.0,0.0,2019-11-24
Veracruz,Coatzacoalcos,1,1.0,0.0,0.0,2019-11-24
Veracruz,Paso De Ovejas,1,1.0,0.0,0.0,2019-11-24
Veracruz,Soconusco,1,1.0,0.0,0.0,2019-11-24
Veracruz,Tihuatlán,1,1.0,0.0,0.0,2019-11-24
