Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Aguascalientes,Aguascalientes,1,1,0,0,2019-09-22
Aguascalientes,Calvillo,1,1,0,0,2019-09-22
Baja California,Ensenada,1,1,0,0,2019-09-22
Baja California,Playas De Rosarito,1,1,0,0,2019-09-22
Baja California,Tijuana,7,5,1,1,2019-09-22
Chiapas,Frontera Comalapa,1,1,0,0,2019-09-22
Chiapas,Suchiate,1,1,0,0,2019-09-22
Chihuahua,Chihuahua,2,2,0,0,2019-09-22
Chihuahua,Juárez,7,7,0,0,2019-09-22
Ciudad de México,Cuauhtémoc,1,1,0,0,2019-09-22
Colima,Ixtlahuacán,1,1,0,0,2019-09-22
Colima,Tecomán,2,2,0,0,2019-09-22
Guanajuato,Huanímaro,1,1,0,0,2019-09-22
Guanajuato,Irapuato,1,1,0,0,2019-09-22
Guanajuato,León,1,1,0,0,2019-09-22
Guanajuato,Salamanca,1,1,0,0,2019-09-22
Guanajuato,San Miguel De Allende,1,1,0,0,2019-09-22
Guerrero,Acapulco De Juárez,1,1,0,0,2019-09-22
Guerrero,Coyuca De Benítez,1,1,0,0,2019-09-22
Guerrero,Juárez,1,0,0,1,2019-09-22
Hidalgo,Huehuetla,3,0,0,3,2019-09-22
Hidalgo,Ixmiquilpan,2,2,0,0,2019-09-22
Jalisco,Lagos De Moreno,1,0,1,0,2019-09-22
Michoacán,Morelia,1,1,0,0,2019-09-22
Michoacán,Sahuayo,1,1,0,0,2019-09-22
Michoacán,Tangamandapio,1,1,0,0,2019-09-22
Michoacán,Zamora,1,1,0,0,2019-09-22
Morelos,Cuernavaca,2,2,0,0,2019-09-22
Morelos,Jiutepec,1,1,0,0,2019-09-22
Estado de México,Atizapán De Zaragoza,1,0,0,1,2019-09-22
Estado de México,Jilotepec,1,1,0,0,2019-09-22
Estado de México,Metepec,1,1,0,0,2019-09-22
Nuevo León,Carmen,1,1,0,0,2019-09-22
Nuevo León,Guadalupe,1,1,0,0,2019-09-22
Nuevo León,Monterrey,1,1,0,0,2019-09-22
Nuevo León,Salinas Victoria,1,1,0,0,2019-09-22
Oaxaca,Salina Cruz,2,0,0,2,2019-09-22
Oaxaca,San Juan Bautista Tuxtepec,2,0,0,2,2019-09-22
Oaxaca,San Juan Evangelista Analco,1,1,0,0,2019-09-22
Puebla,Cañada Morelos,1,0,1,0,2019-09-22
Puebla,Chalchicomula De Sesma,1,1,0,0,2019-09-22
Puebla,Puebla,4,4,0,0,2019-09-22
Puebla,Tecamachalco,1,1,0,0,2019-09-22
Quintana Roo,Benito Juárez,1,0,0,1,2019-09-22
Quintana Roo,Solidaridad,1,1,0,0,2019-09-22
San Luis Potosí,San Luis Potosí,1,0,0,1,2019-09-22
Sinaloa,Culiacán,1,0,1,0,2019-09-22
Tabasco,Huimanguillo,1,1,0,0,2019-09-22
Tlaxcala,Tlaxcala,1,0,1,0,2019-09-22
Veracruz,Espinal,1,1,0,0,2019-09-22
Veracruz,Pánuco,1,0,1,0,2019-09-22
Veracruz,San Juan Evangelista,1,1,0,0,2019-09-22
Veracruz,Soconusco,1,1,0,0,2019-09-22
