Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,13.0,9.0,3.0,1.0,2020-04-22
Chihuahua,Chihuahua,3.0,3.0,0.0,0.0,2020-04-22
Chihuahua,Cuauhtémoc,1.0,1.0,0.0,0.0,2020-04-22
Chihuahua,Juárez,2.0,1.0,0.0,1.0,2020-04-22
Ciudad de México,Gustavo A. Madero,1.0,1.0,0.0,0.0,2020-04-22
Coahuila,Piedras Negras,2.0,2.0,0.0,0.0,2020-04-22
Coahuila,Saltillo,1.0,0.0,0.0,1.0,2020-04-22
Colima,Manzanillo,3.0,1.0,2.0,0.0,2020-04-22
Guanajuato,Acámbaro,2.0,0.0,0.0,2.0,2020-04-22
Hidalgo,Chapantongo,1.0,1.0,0.0,0.0,2020-04-22
Hidalgo,Tepeji Del Río De Ocampo,1.0,1.0,0.0,0.0,2020-04-22
Michoacán,Pátzcuaro,1.0,1.0,0.0,0.0,2020-04-22
Michoacán,Tangamandapio,2.0,2.0,0.0,0.0,2020-04-22
Michoacán,Tarímbaro,1.0,1.0,0.0,0.0,2020-04-22
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2020-04-22
Michoacán,Zamora,1.0,1.0,0.0,0.0,2020-04-22
Michoacán,Álvaro Obregón,1.0,1.0,0.0,0.0,2020-04-22
Morelos,Cuautla,1.0,1.0,0.0,0.0,2020-04-22
Morelos,Tepoztlán,1.0,1.0,0.0,0.0,2020-04-22
Morelos,Yautepec,1.0,1.0,0.0,0.0,2020-04-22
Estado de México,Almoloya De Juárez,1.0,1.0,0.0,0.0,2020-04-22
Estado de México,Atizapán De Zaragoza,1.0,1.0,0.0,0.0,2020-04-22
Estado de México,Chimalhuacán,1.0,1.0,0.0,0.0,2020-04-22
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2020-04-22
Nuevo León,Pesquería,1.0,1.0,0.0,0.0,2020-04-22
Oaxaca,Tlacolula De Matamoros,1.0,1.0,0.0,0.0,2020-04-22
Puebla,Puebla,4.0,3.0,0.0,1.0,2020-04-22
Puebla,Tecamachalco,2.0,2.0,0.0,0.0,2020-04-22
Querétaro,Querétaro,1.0,1.0,0.0,0.0,2020-04-22
Quintana Roo,Othón P. Blanco,1.0,1.0,0.0,0.0,2020-04-22
Quintana Roo,Tulum,1.0,1.0,0.0,0.0,2020-04-22
San Luis Potosí,San Luis Potosí,2.0,2.0,0.0,0.0,2020-04-22
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2020-04-22
Sinaloa,El Fuerte,1.0,1.0,0.0,0.0,2020-04-22
Sinaloa,Mazatlán,1.0,1.0,0.0,0.0,2020-04-22
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2020-04-22
Sonora,Nogales,2.0,2.0,0.0,0.0,2020-04-22
Tabasco,Centro,2.0,0.0,2.0,0.0,2020-04-22
Tabasco,Cárdenas,1.0,1.0,0.0,0.0,2020-04-22
Tamaulipas,El Mante,2.0,2.0,0.0,0.0,2020-04-22
Tamaulipas,Hidalgo,1.0,1.0,0.0,0.0,2020-04-22
Tamaulipas,Nuevo Laredo,1.0,1.0,0.0,0.0,2020-04-22
Tamaulipas,Tula,1.0,1.0,0.0,0.0,2020-04-22
Veracruz,Benito Juárez,1.0,1.0,0.0,0.0,2020-04-22
Veracruz,Coatepec,1.0,0.0,1.0,0.0,2020-04-22
Veracruz,Isla,1.0,1.0,0.0,0.0,2020-04-22
Veracruz,Nanchital De Lázaro Cárdenas Del Río,1.0,1.0,0.0,0.0,2020-04-22
Veracruz,Santiago Tuxtla,1.0,1.0,0.0,0.0,2020-04-22
Veracruz,Tierra Blanca,1.0,1.0,0.0,0.0,2020-04-22
Veracruz,Tlalixcoyan,1.0,1.0,0.0,0.0,2020-04-22
Veracruz,Tlalnelhuayocan,1.0,1.0,0.0,0.0,2020-04-22
Zacatecas,Calera,1.0,1.0,0.0,0.0,2020-04-22
Zacatecas,Zacatecas,1.0,1.0,0.0,0.0,2020-04-22
