Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,9,7,1,1,14/07/20
Campeche,Campeche,1,1,0,0,14/07/20
Chihuahua,Chihuahua,1,1,0,0,14/07/20
Chihuahua,Julimes,1,1,0,0,14/07/20
Chihuahua,Juárez,2,1,1,0,14/07/20
Ciudad de México,Miguel Hidalgo,1,1,0,0,14/07/20
Ciudad de México,Tlalpan,2,0,0,2,14/07/20
Coahuila,Saltillo,1,1,0,0,14/07/20
Durango,Tepehuanes,1,0,1,0,14/07/20
Guanajuato,Comonfort,1,1,0,0,14/07/20
Guanajuato,Cortazar,1,0,0,1,14/07/20
Guanajuato,León,6,6,0,0,14/07/20
Guanajuato,San Francisco Del Rincón,4,4,0,0,14/07/20
Guanajuato,Yuriria,1,1,0,0,14/07/20
Guanajuato,Acámbaro,1,1,0,0,14/07/20
Guanajuato,Apaseo El Alto,1,1,0,0,14/07/20
Guanajuato,Celaya,2,2,0,0,14/07/20
Jalisco,San Pedro Tlaquepaque,2,1,1,0,14/07/20
Jalisco,Tonalá,1,1,0,0,14/07/20
Jalisco,Zapopan,1,1,0,0,14/07/20
Morelos,Emiliano Zapata,1,1,0,0,14/07/20
Estado de México,Chicoloapan,1,1,0,0,14/07/20
Estado de México,Ixtapaluca,1,0,1,0,14/07/20
Estado de México,Nezahualcóyotl,1,1,0,0,14/07/20
Estado de México,Toluca,4,4,0,0,14/07/20
Puebla,Izúcar De Matamoros,1,1,0,0,14/07/20
Querétaro,San Juan Del Río,2,2,0,0,14/07/20
San Luis Potosí,San Luis Potosí,2,1,1,0,14/07/20
Sinaloa,Culiacán,4,4,0,0,14/07/20
Sinaloa,Navolato,1,1,0,0,14/07/20
Sinaloa,Choix,1,1,0,0,14/07/20
Sonora,Guaymas,3,3,0,0,14/07/20
Sonora,Hermosillo,1,1,0,0,14/07/20
Tabasco,Centro,1,1,0,0,14/07/20
Tabasco,Huimanguillo,1,1,0,0,14/07/20
Veracruz,Agua Dulce,1,1,0,0,14/07/20
Zacatecas,Calera,1,1,0,0,14/07/20
Zacatecas,Río Grande,3,3,0,0,14/07/20
