Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,11,8.0,2.0,1.0,2020-06-09
Chihuahua,Juárez,3,3.0,0.0,0.0,2020-06-09
Ciudad de México,Cuajimalpa De Morelos,1,1.0,0.0,0.0,2020-06-09
Ciudad de México,Gustavo A. Madero,1,1.0,0.0,0.0,2020-06-09
Guanajuato,Guanajuato,1,1.0,0.0,0.0,2020-06-09
Guanajuato,Irapuato,4,1.0,0.0,3.0,2020-06-09
Guanajuato,León,2,2.0,0.0,0.0,2020-06-09
Guanajuato,Santa Cruz De Juventino Rosas,2,2.0,0.0,0.0,2020-06-09
Guanajuato,Valle De Santiago,1,1.0,0.0,0.0,2020-06-09
Guanajuato,Villagrán,1,1.0,0.0,0.0,2020-06-09
Guerrero,Acapulco De Juárez,1,1.0,0.0,0.0,2020-06-09
Guerrero,Xalpatláhuac,1,0.0,0.0,1.0,2020-06-09
Jalisco,Guadalajara,2,2.0,0.0,0.0,2020-06-09
Jalisco,Tlajomulco De Zúñiga,2,2.0,0.0,0.0,2020-06-09
Jalisco,Tonalá,1,0.0,0.0,1.0,2020-06-09
Michoacán,Zamora,1,1.0,0.0,0.0,2020-06-09
Morelos,Jiutepec,2,2.0,0.0,0.0,2020-06-09
Morelos,Tlaquiltenango,1,1.0,0.0,0.0,2020-06-09
Morelos,Yecapixtla,3,0.0,0.0,3.0,2020-06-09
Estado de México,Coacalco De Berriozábal,1,1.0,0.0,0.0,2020-06-09
Estado de México,Ecatepec De Morelos,1,1.0,0.0,0.0,2020-06-09
Estado de México,La Paz,2,2.0,0.0,0.0,2020-06-09
Estado de México,Tecámac,1,1.0,0.0,0.0,2020-06-09
Estado de México,Tlalnepantla De Baz,2,1.0,1.0,0.0,2020-06-09
Estado de México,Valle De Chalco Solidaridad,1,1.0,0.0,0.0,2020-06-09
Nuevo León,Dr. Belisario Domínguez,1,0.0,0.0,1.0,2020-06-09
Nuevo León,García,1,1.0,0.0,0.0,2020-06-09
Nuevo León,Monterrey,3,1.0,0.0,2.0,2020-06-09
Nuevo León,Santa Catarina,1,1.0,0.0,0.0,2020-06-09
Oaxaca,San Juan Bautista Tuxtepec,1,1.0,0.0,0.0,2020-06-09
Puebla,Puebla,2,2.0,0.0,0.0,2020-06-09
Quintana Roo,Benito Juárez,1,0.0,0.0,1.0,2020-06-09
San Luis Potosí,Villa De Reyes,2,0.0,0.0,2.0,2020-06-09
Sinaloa,Culiacán,2,2.0,0.0,0.0,2020-06-09
Sonora,Cajeme,1,1.0,0.0,0.0,2020-06-09
Sonora,Guaymas,5,5.0,0.0,0.0,2020-06-09
Tamaulipas,Ciudad Madero,1,1.0,0.0,0.0,2020-06-09
Tlaxcala,Teolocholco,1,1.0,0.0,0.0,2020-06-09
Veracruz,Martínez De La Torre,1,1.0,0.0,0.0,2020-06-09
Veracruz,Veracruz,1,1.0,0.0,0.0,2020-06-09
Zacatecas,Calera,1,1.0,0.0,0.0,2020-06-09
Zacatecas,Río Grande,2,2.0,0.0,0.0,2020-06-09
