Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,3.0,2.0,0.0,1.0,2020-03-01
Chihuahua,Hidalgo Del Parral,1.0,1.0,0.0,0.0,2020-03-01
Chihuahua,Juárez,3.0,2.0,1.0,0.0,2020-03-01
Ciudad de México,Cuauhtémoc,1.0,1.0,0.0,0.0,2020-03-01
Guanajuato,Acámbaro,1.0,0.0,0.0,1.0,2020-03-01
Guanajuato,Allende,2.0,2.0,0.0,0.0,2020-03-01
Guanajuato,Apaseo El Alto,3.0,3.0,0.0,0.0,2020-03-01
Guanajuato,Dolores Hidalgo Cuna De La Independencia Nacional,1.0,1.0,0.0,0.0,2020-03-01
Guanajuato,Guanajuato,1.0,1.0,0.0,0.0,2020-03-01
Guanajuato,León,3.0,3.0,0.0,0.0,2020-03-01
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2020-03-01
Guanajuato,Salvatierra,1.0,0.0,0.0,1.0,2020-03-01
Guanajuato,San Francisco Del Rincón,1.0,1.0,0.0,0.0,2020-03-01
Guanajuato,San Miguel De Allende,1.0,1.0,0.0,0.0,2020-03-01
Guerrero,Acapulco De Juárez,4.0,4.0,0.0,0.0,2020-03-01
Guerrero,Chilpancingo De Los Bravo,6.0,4.0,2.0,0.0,2020-03-01
Guerrero,Cocula,1.0,1.0,0.0,0.0,2020-03-01
Hidalgo,Pachuca De Soto,2.0,2.0,0.0,0.0,2020-03-01
Jalisco,San Pedro Tlaquepaque,1.0,0.0,1.0,0.0,2020-03-01
Michoacán,Jacona,1.0,1.0,0.0,0.0,2020-03-01
Michoacán,Morelia,3.0,2.0,1.0,0.0,2020-03-01
Michoacán,Uruapan,1.0,0.0,1.0,0.0,2020-03-01
Michoacán,Álvaro Obregón,1.0,1.0,0.0,0.0,2020-03-01
Estado de México,Toluca,1.0,1.0,0.0,0.0,2020-03-01
Oaxaca,Santo Domingo Petapa,1.0,1.0,0.0,0.0,2020-03-01
Puebla,Atlixco,1.0,1.0,0.0,0.0,2020-03-01
Puebla,Huauchinango,1.0,1.0,0.0,0.0,2020-03-01
Puebla,Puebla,1.0,1.0,0.0,0.0,2020-03-01
Querétaro,Huimilpan,1.0,1.0,0.0,0.0,2020-03-01
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2020-03-01
Sinaloa,Culiacán,2.0,2.0,0.0,0.0,2020-03-01
Sonora,Empalme,1.0,1.0,0.0,0.0,2020-03-01
Sonora,Hermosillo,3.0,3.0,0.0,0.0,2020-03-01
Veracruz,Filomeno Mata,2.0,2.0,0.0,0.0,2020-03-01
Veracruz,Minatitlán,1.0,1.0,0.0,0.0,2020-03-01
Zacatecas,Fresnillo,2.0,2.0,0.0,0.0,2020-03-01
Baja California,Tijuana,3.0,3.0,0.0,0.0,2020-03-02
Campeche,Carmen,1.0,0.0,0.0,1.0,2020-03-02
Chihuahua,Guerrero,1.0,1.0,0.0,0.0,2020-03-02
Chihuahua,Juárez,6.0,6.0,0.0,0.0,2020-03-02
Colima,Manzanillo,1.0,1.0,0.0,0.0,2020-03-02
Guanajuato,Acámbaro,1.0,0.0,0.0,1.0,2020-03-02
Guanajuato,Apaseo El Alto,2.0,2.0,0.0,0.0,2020-03-02
Guanajuato,Celaya,2.0,2.0,0.0,0.0,2020-03-02
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2020-03-02
Guanajuato,León,1.0,0.0,1.0,0.0,2020-03-02
Guanajuato,San Francisco Del Rincón,1.0,1.0,0.0,0.0,2020-03-02
Guanajuato,Villagrán,1.0,1.0,0.0,0.0,2020-03-02
Guerrero,Chilapa De Álvarez,1.0,1.0,0.0,0.0,2020-03-02
Guerrero,Iguala De La Independencia,7.0,1.0,0.0,6.0,2020-03-02
Guerrero,Zihuatanejo De Azueta,1.0,1.0,0.0,0.0,2020-03-02
Hidalgo,Tecozautla,1.0,1.0,0.0,0.0,2020-03-02
Hidalgo,Tizayuca,1.0,1.0,0.0,0.0,2020-03-02
Jalisco,El Salto,2.0,2.0,0.0,0.0,2020-03-02
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2020-03-02
Jalisco,Juanacatlán,1.0,0.0,0.0,1.0,2020-03-02
Jalisco,Tlajomulco De Zúñiga,1.0,1.0,0.0,0.0,2020-03-02
Estado de México,Ecatepec De Morelos,1.0,0.0,1.0,0.0,2020-03-02
Estado de México,Tejupilco,1.0,0.0,1.0,0.0,2020-03-02
Estado de México,Tlalnepantla De Baz,2.0,1.0,1.0,0.0,2020-03-02
Michoacán,Morelia,2.0,2.0,0.0,0.0,2020-03-02
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2020-03-02
Michoacán,Zamora,1.0,1.0,0.0,0.0,2020-03-02
Morelos,Cuernavaca,1.0,1.0,0.0,0.0,2020-03-02
Morelos,Emiliano Zapata,2.0,2.0,0.0,0.0,2020-03-02
Morelos,Jiutepec,2.0,0.0,0.0,2.0,2020-03-02
Morelos,Tetecala,1.0,0.0,1.0,0.0,2020-03-02
Oaxaca,Heroica Ciudad De Huajuapan De León,1.0,0.0,1.0,0.0,2020-03-02
Oaxaca,Oaxaca De Juárez,1.0,0.0,1.0,0.0,2020-03-02
Oaxaca,Putla Villa De Guerrero,1.0,1.0,0.0,0.0,2020-03-02
Oaxaca,San Pedro Mixtepec,1.0,1.0,0.0,0.0,2020-03-02
Puebla,Amozoc,5.0,5.0,0.0,0.0,2020-03-02
