Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,2.0,2.0,0.0,0.0,2020-04-01
Chihuahua,Chihuahua,1.0,1.0,0.0,0.0,2020-04-01
Chihuahua,Juárez,2.0,1.0,0.0,1.0,2020-04-01
Ciudad de México,Cuauhtémoc,1.0,0.0,1.0,0.0,2020-04-01
Ciudad de México,Tlalpan,1.0,0.0,1.0,0.0,2020-04-01
Ciudad de México,Álvaro Obregón,1.0,1.0,0.0,0.0,2020-04-01
Colima,Manzanillo,4.0,4.0,0.0,0.0,2020-04-01
Colima,Tecomán,1.0,0.0,0.0,1.0,2020-04-01
Guanajuato,Apaseo El Grande,1.0,0.0,1.0,0.0,2020-04-01
Guanajuato,León,1.0,0.0,1.0,0.0,2020-04-01
Guanajuato,San Francisco Del Rincón,1.0,1.0,0.0,0.0,2020-04-01
Guanajuato,San Miguel De Allende,1.0,1.0,0.0,0.0,2020-04-01
Guerrero,Acapulco De Juárez,4.0,3.0,1.0,0.0,2020-04-01
Guerrero,Taxco De Alarcón,4.0,4.0,0.0,0.0,2020-04-01
Guerrero,Huitzuco De Los Figueroa,2.0,2.0,0.0,0.0,2020-04-01
Guerrero,Taxco De Alarcón,4.0,4.0,0.0,0.0,2020-04-01
Hidalgo,Santiago Tulantepec De Lugo Guerrero,1.0,1.0,0.0,0.0,2020-04-01
Jalisco,El Salto,1.0,1.0,0.0,0.0,2020-04-01
Jalisco,Guadalajara,6.0,4.0,2.0,0.0,2020-04-01
Jalisco,Tonalá,1.0,1.0,0.0,0.0,2020-04-01
Jalisco,Zacoalco De Torres,1.0,0.0,0.0,1.0,2020-04-01
Michoacán,Morelia,1.0,1.0,0.0,0.0,2020-04-01
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2020-04-01
Michoacán,Zamora,2.0,2.0,0.0,0.0,2020-04-01
Morelos,Tlaltizapán De Zapata,1.0,1.0,0.0,0.0,2020-04-01
Morelos,Yautepec,1.0,1.0,0.0,0.0,2020-04-01
Estado de México,Chimalhuacán,2.0,1.0,1.0,0.0,2020-04-01
Estado de México,Ecatepec De Morelos,1.0,1.0,0.0,0.0,2020-04-01
Estado de México,La Paz,1.0,1.0,0.0,0.0,2020-04-01
Estado de México,Naucalpan De Juárez,1.0,0.0,1.0,0.0,2020-04-01
Estado de México,Nicolás Romero,1.0,1.0,0.0,0.0,2020-04-01
Oaxaca,San Juan Bautista Tuxtepec,1.0,0.0,0.0,1.0,2020-04-01
Oaxaca,Salina Cruz,1.0,1.0,0.0,0.0,2020-04-01
Oaxaca,San Juan Ñumí,1.0,0.0,0.0,1.0,2020-04-01
Puebla,San Martín Texmelucan,1.0,1.0,0.0,0.0,2020-04-01
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2020-04-01
San Luis Potosí,Villa Hidalgo,4.0,4.0,0.0,0.0,2020-04-01
Sinaloa,Rosario,1.0,1.0,0.0,0.0,2020-04-01
Sonora,Guaymas,1.0,1.0,0.0,0.0,2020-04-01
Tabasco,Centro,1.0,1.0,0.0,0.0,2020-04-01
Tabasco,Tenosique,2.0,0.0,0.0,2.0,2020-04-01
Veracruz,Tezonapa,1.0,0.0,0.0,1.0,2020-04-01
Veracruz,Tihuatlán,1.0,0.0,1.0,0.0,2020-04-01
Zacatecas,Fresnillo,3.0,3.0,0.0,0.0,2020-04-01
Zacatecas,Guadalupe,2.0,2.0,0.0,0.0,2020-04-01
Zacatecas,Villa De Cos,1.0,1.0,0.0,0.0,2020-04-01
Baja California,Ensenada,2.0,1.0,0.0,1.0,2020-04-02
Baja California,Tijuana,7.0,4.0,2.0,1.0,2020-04-02
Chihuahua,Cuauhtémoc,1.0,1.0,0.0,0.0,2020-04-02
Chihuahua,Juárez,4.0,3.0,1.0,0.0,2020-04-02
Ciudad de México,Iztapalapa,3.0,3.0,0.0,0.0,2020-04-02
Ciudad de México,Álvaro Obregón,1.0,0.0,0.0,1.0,2020-04-02
Coahuila,Torreón,1.0,0.0,0.0,1.0,2020-04-02
Colima,Manzanillo,2.0,1.0,0.0,1.0,2020-04-02
Guanajuato,Apaseo El Grande,4.0,3.0,1.0,0.0,2020-04-02
Guanajuato,Celaya,1.0,1.0,0.0,0.0,2020-04-02
Guanajuato,Irapuato,2.0,2.0,0.0,0.0,2020-04-02
Guanajuato,León,5.0,1.0,0.0,4.0,2020-04-02
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2020-04-02
Guerrero,Acapulco De Juárez,1.0,0.0,1.0,0.0,2020-04-02
Guerrero,Huitzuco De Los Figueroa,2.0,2.0,0.0,0.0,2020-04-02
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2020-04-02
Michoacán,Ario,1.0,1.0,0.0,0.0,2020-04-02
Michoacán,Jacona,1.0,1.0,0.0,0.0,2020-04-02
Michoacán,Tarímbaro,1.0,1.0,0.0,0.0,2020-04-02
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2020-04-02
Michoacán,Zitácuaro,1.0,1.0,0.0,0.0,2020-04-02
Morelos,Atlatlahucan,1.0,1.0,0.0,0.0,2020-04-02
Morelos,Jiutepec,1.0,1.0,0.0,0.0,2020-04-02
Estado de México,Ixtapan De La Sal,2.0,2.0,0.0,0.0,2020-04-02
Nuevo León,Monterrey,1.0,1.0,0.0,0.0,2020-04-02
Nuevo León,San Nicolás De Los Garza,1.0,1.0,0.0,0.0,2020-04-02
Oaxaca,Zaragoza,1.0,1.0,0.0,0.0,2020-04-02
Oaxaca,Oaxaca De Juárez,1.0,1.0,0.0,0.0,2020-04-02
Puebla,Izúcar De Matamoros,1.0,1.0,0.0,0.0,2020-04-02
Quintana Roo,Tulum,1.0,1.0,0.0,0.0,2020-04-02
San Luis Potosí,Ciudad Valles,1.0,0.0,1.0,0.0,2020-04-02
Sinaloa,Choix,2.0,2.0,0.0,0.0,2020-04-02
Veracruz,Córdoba,1.0,1.0,0.0,0.0,2020-04-02
Veracruz,Las Choapas,2.0,2.0,0.0,0.0,2020-04-02
Veracruz,Sayula De Alemán,2.0,0.0,2.0,0.0,2020-04-02
Zacatecas,Guadalupe,2.0,2.0,0.0,0.0,2020-04-02
Zacatecas,Nochistlán De Mejía,2.0,2.0,0.0,0.0,2020-04-02
Zacatecas,Zacatecas,1.0,1.0,0.0,0.0,2020-04-02
Baja California,Ensenada,3.0,2.0,1.0,0.0,2020-04-03
Baja California,Mexicali,2.0,2.0,0.0,0.0,2020-04-03
Baja California,Tecate,1.0,1.0,0.0,0.0,2020-04-03
Baja California,Tijuana,5.0,4.0,1.0,0.0,2020-04-03
Baja California,La Paz,2.0,1.0,1.0,0.0,2020-04-03
Baja California,Mulegé,2.0,0.0,2.0,0.0,2020-04-03
Chiapas,Las Margaritas,1.0,0.0,1.0,0.0,2020-04-03
Chihuahua,Hidalgo Del Parral,1.0,1.0,0.0,0.0,2020-04-03
Chihuahua,Juárez,6.0,3.0,3.0,0.0,2020-04-03
Ciudad de México,Cuauhtémoc,1.0,1.0,0.0,0.0,2020-04-03
Ciudad de México,Iztacalco,1.0,1.0,0.0,0.0,2020-04-03
Durango,Gómez Palacio,1.0,1.0,0.0,0.0,2020-04-03
Colima,Manzanillo,1.0,0.0,0.0,1.0,2020-04-03
Guanajuato,Apaseo El Grande,1.0,0.0,1.0,0.0,2020-04-03
Guanajuato,Celaya,3.0,3.0,0.0,0.0,2020-04-03
Guanajuato,Cortazar,1.0,1.0,0.0,0.0,2020-04-03
Guanajuato,Guanajuato,2.0,2.0,0.0,0.0,2020-04-03
Guanajuato,León,3.0,3.0,0.0,0.0,2020-04-03
Guanajuato,Pénjamo,1.0,1.0,0.0,0.0,2020-04-03
Guanajuato,Salamanca,2.0,2.0,0.0,0.0,2020-04-03
Guanajuato,Salvatierra,1.0,1.0,0.0,0.0,2020-04-03
Guerrero,Acapulco De Juárez,1.0,1.0,0.0,0.0,2020-04-03
Guerrero,Benito Juárez,1.0,0.0,1.0,0.0,2020-04-03
Guerrero,Huitzuco De Los Figueroa,1.0,1.0,0.0,0.0,2020-04-03
Guerrero,Zihuatanejo De Azueta,2.0,2.0,0.0,0.0,2020-04-03
Jalisco,El Salto,4.0,3.0,1.0,0.0,2020-04-03
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2020-04-03
Jalisco,Tonalá,2.0,2.0,0.0,0.0,2020-04-03
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2020-04-03
Michoacán,Lázaro Cárdenas,1.0,1.0,0.0,0.0,2020-04-03
Michoacán,Quiroga,1.0,1.0,0.0,0.0,2020-04-03
Michoacán,Tarímbaro,1.0,1.0,0.0,0.0,2020-04-03
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2020-04-03
Michoacán,Zamora,1.0,1.0,0.0,0.0,2020-04-03
Estado de México,Cuautitlán,1.0,0.0,1.0,0.0,2020-04-03
Estado de México,Ecatepec De Morelos,1.0,0.0,1.0,0.0,2020-04-03
Estado de México,Naucalpan De Juárez,1.0,1.0,0.0,0.0,2020-04-03
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2020-04-03
Nuevo León,San Nicolás De Los Garza,1.0,0.0,1.0,0.0,2020-04-03
Oaxaca,Santo Domingo Tehuantepec,2.0,1.0,1.0,0.0,2020-04-03
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2020-04-03
Quintana Roo,Solidaridad,2.0,1.0,0.0,1.0,2020-04-03
San Luis Potosí,Rioverde,1.0,1.0,0.0,0.0,2020-04-03
Sonora,Cajeme,1.0,1.0,0.0,0.0,2020-04-03
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2020-04-03
Sonora,Nogales,1.0,0.0,1.0,0.0,2020-04-03
Tamaulipas,Matamoros,1.0,1.0,0.0,0.0,2020-04-03
Veracruz,Cosoleacaque,2.0,2.0,0.0,0.0,2020-04-03
Veracruz,Minatitlán,2.0,2.0,0.0,0.0,2020-04-03
Veracruz,Papantla,5.0,0.0,3.0,2.0,2020-04-03
Veracruz,Álamo Temapache,2.0,2.0,0.0,0.0,2020-04-03
Zacatecas,Guadalupe,2.0,2.0,0.0,0.0,2020-04-03
Baja California,Tijuana,3.0,3.0,0.0,0.0,2020-04-04
Chihuahua,Cuauhtémoc,1.0,1.0,0.0,0.0,2020-04-04
Chihuahua,Madera,19.0,0.0,0.0,19.0,2020-04-04
Ciudad de México,Cuauhtémoc,1.0,1.0,0.0,0.0,2020-04-04
Ciudad de México,Iztacalco,1.0,1.0,0.0,0.0,2020-04-04
Ciudad de México,Miguel Hidalgo,1.0,1.0,0.0,0.0,2020-04-04
Guanajuato,Apaseo El Alto,1.0,0.0,0.0,1.0,2020-04-04
Guanajuato,Celaya,3.0,2.0,1.0,0.0,2020-04-04
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2020-04-04
Guanajuato,León,6.0,6.0,0.0,0.0,2020-04-04
Guanajuato,Purísima Del Rincón,1.0,0.0,1.0,0.0,2020-04-04
Guanajuato,Salamanca,1.0,0.0,1.0,0.0,2020-04-04
Guerrero,Ometepec,1.0,1.0,0.0,0.0,2020-04-04
Jalisco,Guadalajara,3.0,1.0,0.0,2.0,2020-04-04
Jalisco,San Pedro Tlaquepaque,3.0,1.0,0.0,2.0,2020-04-04
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2020-04-04
Michoacán,Gabriel Zamora,1.0,1.0,0.0,0.0,2020-04-04
Michoacán,Jacona,2.0,2.0,0.0,0.0,2020-04-04
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2020-04-04
Morelos,Cuernavaca,1.0,1.0,0.0,0.0,2020-04-04
Estado de México,Chicoloapan,1.0,0.0,0.0,1.0,2020-04-04
Nuevo León,Cadereyta Jiménez,1.0,1.0,0.0,0.0,2020-04-04
Nuevo León,García,1.0,1.0,0.0,0.0,2020-04-04
Nuevo León,Guadalupe,1.0,1.0,0.0,0.0,2020-04-04
Oaxaca,San Juan Bautista Tuxtepec,1.0,1.0,0.0,0.0,2020-04-04
Puebla,Esperanza,1.0,1.0,0.0,0.0,2020-04-04
Querétaro,San Juan Del Río,1.0,1.0,0.0,0.0,2020-04-04
Querétaro,Tequisquiapan,2.0,2.0,0.0,0.0,2020-04-04
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2020-04-04
Veracruz,Cosoleacaque,2.0,2.0,0.0,0.0,2020-04-04
Veracruz,Huatusco,1.0,1.0,0.0,0.0,2020-04-04
Zacatecas,General Pánfilo Natera,2.0,2.0,0.0,0.0,2020-04-04
Baja California,Mexicali,1.0,1.0,0.0,0.0,2020-04-05
Chihuahua,Juárez,5.0,4.0,1.0,0.0,2020-04-05
Colima,Armería,1.0,1.0,0.0,0.0,2020-04-05
Durango,Durango,2.0,1.0,1.0,0.0,2020-04-05
Durango,Súchil,1.0,1.0,0.0,0.0,2020-04-05
