Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,9.0,6.0,2.0,1.0,2020-05-01
Chihuahua,Juárez,11.0,6.0,1.0,4.0,2020-05-01
Chihuahua,Madera,1.0,1.0,0.0,0.0,2020-05-01
Ciudad de México,Iztapalapa,2.0,1.0,1.0,0.0,2020-05-01
Ciudad de México,Tlalpan,1.0,1.0,0.0,0.0,2020-05-01
Ciudad de México,Tláhuac,2.0,0.0,1.0,1.0,2020-05-01
Guanajuato,Acámbaro,1.0,1.0,0.0,0.0,2020-05-01
Guanajuato,Apaseo El Alto,1.0,1.0,0.0,0.0,2020-05-01
Guanajuato,Celaya,1.0,1.0,0.0,0.0,2020-05-01
Guanajuato,León,2.0,1.0,0.0,1.0,2020-05-01
Guanajuato,Salamanca,2.0,2.0,0.0,0.0,2020-05-01
Guanajuato,Santiago Maravatío,1.0,1.0,0.0,0.0,2020-05-01
Guerrero,Acapulco De Juárez,1.0,1.0,0.0,0.0,2020-05-01
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2020-05-01
Jalisco,Tlajomulco De Zúñiga,7.0,7.0,0.0,0.0,2020-05-01
Jalisco,Zapopan,1.0,0.0,1.0,0.0,2020-05-01
Michoacán,Uruapan,3.0,2.0,0.0,1.0,2020-05-01
Estado de México,Coacalco De Berriozábal,1.0,1.0,0.0,0.0,2020-05-01
Estado de México,Cuautitlán Izcalli,1.0,1.0,0.0,0.0,2020-05-01
Nuevo León,Escobedo,1.0,1.0,0.0,0.0,2020-05-01
Oaxaca,Santa Lucía Del Camino,2.0,2.0,0.0,0.0,2020-05-01
Querétaro,Querétaro,1.0,1.0,0.0,0.0,2020-05-01
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2020-05-01
San Luis Potosí,Villa De Reyes,1.0,1.0,0.0,0.0,2020-05-01
Sinaloa,Culiacán,2.0,2.0,0.0,0.0,2020-05-01
Veracruz,Martínez De La Torre,1.0,1.0,0.0,0.0,2020-05-01
Baja California,Ensenada,3.0,2.0,1.0,0.0,2020-05-02
Baja California,Tijuana,4.0,4.0,0.0,0.0,2020-05-02
Chihuahua,Juárez,4.0,4.0,0.0,0.0,2020-05-02
Ciudad de México,Cuauhtémoc,2.0,1.0,1.0,0.0,2020-05-02
Ciudad de México,Gustavo A. Madero,1.0,0.0,1.0,0.0,2020-05-02
Colima,Armería,1.0,1.0,0.0,0.0,2020-05-02
Guanajuato,Apaseo El Alto,2.0,1.0,1.0,0.0,2020-05-02
Guanajuato,Celaya,6.0,5.0,0.0,1.0,2020-05-02
Guanajuato,Irapuato,4.0,4.0,0.0,0.0,2020-05-02
Guanajuato,León,3.0,3.0,0.0,0.0,2020-05-02
Guanajuato,Moroleón,7.0,7.0,0.0,0.0,2020-05-02
Guanajuato,Valle De Santiago,1.0,0.0,1.0,0.0,2020-05-02
Guerrero,Acapulco De Juárez,1.0,0.0,1.0,0.0,2020-05-02
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2020-05-02
Estado de México,Temascaltepec,1.0,1.0,0.0,0.0,2020-05-02
Michoacán,Zamora,1.0,1.0,0.0,0.0,2020-05-02
Michoacán,Ziracuaretiro,1.0,1.0,0.0,0.0,2020-05-02
Nuevo León,Juárez,1.0,0.0,1.0,0.0,2020-05-02
Oaxaca,Matías Romero Avendaño,1.0,1.0,0.0,0.0,2020-05-02
Oaxaca,Oaxaca De Juárez,1.0,1.0,0.0,0.0,2020-05-02
Oaxaca,San Juan Bautista Tuxtepec,1.0,1.0,0.0,0.0,2020-05-02
Oaxaca,San Lorenzo Albarradas,1.0,1.0,0.0,0.0,2020-05-02
Puebla,Tlacotepec De Benito Juárez,1.0,1.0,0.0,0.0,2020-05-02
San Luis Potosí,Tamuín,1.0,1.0,0.0,0.0,2020-05-02
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2020-05-02
Sinaloa,Mazatlán,1.0,1.0,0.0,0.0,2020-05-02
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2020-05-02
Tamaulipas,Matamoros,1.0,1.0,0.0,0.0,2020-05-02
Veracruz,Catemaco,1.0,1.0,0.0,0.0,2020-05-02
Zacatecas,Fresnillo,4.0,2.0,2.0,0.0,2020-05-02
Zacatecas,Sain Alto,3.0,0.0,3.0,0.0,2020-05-02
Veracruz,Córdoba,1.0,1.0,0.0,0.0,2020-05-02
Aguascalientes,Aguascalientes,1.0,1.0,0.0,0.0,2020-05-03
Baja California,Mexicali,2.0,2.0,0.0,0.0,2020-05-03
Baja California,Tijuana,1.0,1.0,0.0,0.0,2020-05-03
Chihuahua,Juárez,2.0,2.0,0.0,0.0,2020-05-03
Chihuahua,Nuevo Casas Grandes,1.0,1.0,0.0,0.0,2020-05-03
Ciudad de México,Iztapalapa,1.0,0.0,1.0,0.0,2020-05-03
Durango,Lerdo,1.0,1.0,0.0,0.0,2020-05-03
Guanajuato,Apaseo El Alto,5.0,4.0,1.0,0.0,2020-05-03
Guanajuato,Celaya,3.0,3.0,0.0,0.0,2020-05-03
Guanajuato,Irapuato,2.0,2.0,0.0,0.0,2020-05-03
Guanajuato,Pénjamo,1.0,1.0,0.0,0.0,2020-05-03
Guanajuato,Salamanca,3.0,3.0,0.0,0.0,2020-05-03
Guanajuato,Salvatierra,2.0,2.0,0.0,0.0,2020-05-03
Guerrero,Acapulco De Juárez,2.0,2.0,0.0,0.0,2020-05-03
Guerrero,Chilpancingo De Los Bravo,1.0,1.0,0.0,0.0,2020-05-03
Jalisco,Guadalajara,11.0,10.0,1.0,0.0,2020-05-03
Jalisco,Tlajomulco De Zúñiga,3.0,2.0,1.0,0.0,2020-05-03
Jalisco,Zapopan,2.0,1.0,1.0,0.0,2020-05-03
