Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,7.0,6.0,1.0,0.0,2020-07-01
Chiapas,Tapachula,2.0,2.0,0.0,0.0,2020-07-01
Chihuahua,Hidalgo Del Parral,1.0,1.0,0.0,0.0,2020-07-01
Chihuahua,Juárez,6.0,2.0,4.0,0.0,2020-07-01
Chihuahua,Temósachic,1.0,1.0,0.0,0.0,2020-07-01
Ciudad de México,Iztapalapa,3.0,2.0,1.0,0.0,2020-07-01
Colima,Coquimatlán,1.0,1.0,0.0,0.0,2020-07-01
Guanajuato,Irapuato,24.0,24.0,0.0,0.0,2020-07-01
Guanajuato,León,1.0,0.0,0.0,1.0,2020-07-01
Guanajuato,Moroleón,1.0,1.0,0.0,0.0,2020-07-01
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2020-07-01
Guerrero,Acapulco De Juárez,2.0,2.0,0.0,0.0,2020-07-01
Guerrero,Copanatoyac,8.0,0.0,0.0,8.0,2020-07-01
Guerrero,Iguala De La Independencia,2.0,1.0,1.0,0.0,2020-07-01
Jalisco,Tlajomulco De Zúñiga,1.0,1.0,0.0,0.0,2020-07-01
Michoacán,Apatzingán,1.0,1.0,0.0,0.0,2020-07-01
Michoacán,Morelia,2.0,2.0,0.0,0.0,2020-07-01
Michoacán,Zamora,1.0,1.0,0.0,0.0,2020-07-01
Morelos,Jojutla,1.0,0.0,1.0,0.0,2020-07-01
Morelos,Xochitepec,4.0,4.0,0.0,0.0,2020-07-01
Morelos,Yautepec,1.0,1.0,0.0,0.0,2020-07-01
Estado de México,Ecatepec De Morelos,1.0,1.0,0.0,0.0,2020-07-01
Estado de México,Tultepec,1.0,1.0,0.0,0.0,2020-07-01
Nuevo León,Pesquería,1.0,1.0,0.0,0.0,2020-07-01
Oaxaca,Putla Villa De Guerrero,1.0,1.0,0.0,0.0,2020-07-01
Oaxaca,San Felipe Jalapa De Díaz,2.0,0.0,0.0,2.0,2020-07-01
San Luis Potosí,Cerritos,1.0,1.0,0.0,0.0,2020-07-01
San Luis Potosí,Ciudad Valles,1.0,1.0,0.0,0.0,2020-07-01
San Luis Potosí,San Luis Potosí,2.0,2.0,0.0,0.0,2020-07-01
Puebla,Acajete,1.0,1.0,0.0,0.0,2020-07-01
Puebla,Huauchinango,3.0,2.0,1.0,0.0,2020-07-01
Puebla,Puebla,1.0,1.0,0.0,0.0,2020-07-01
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2020-07-01
San Luis Potosí,Cerritos,1.0,1.0,0.0,0.0,2020-07-01
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2020-07-01
Sonora,Empalme,4.0,4.0,0.0,0.0,2020-07-01
Sonora,Guaymas,1.0,1.0,0.0,0.0,2020-07-01
Sonora,Nogales,2.0,2.0,0.0,0.0,2020-07-01
Tamaulipas,El Mante,4.0,4.0,0.0,0.0,2020-07-01
Tamaulipas,Río Bravo,2.0,2.0,0.0,0.0,2020-07-01
Veracruz,Córdoba,1.0,1.0,0.0,0.0,2020-07-01
Veracruz,Emiliano Zapata,1.0,0.0,1.0,0.0,2020-07-01
Veracruz,Huiloapan De Cuauhtémoc,1.0,1.0,0.0,0.0,2020-07-01
Veracruz,Martínez De La Torre,1.0,1.0,0.0,0.0,2020-07-01
Veracruz,Veracruz,2.0,2.0,0.0,0.0,2020-07-01
Zacatecas,Fresnillo,2.0,0.0,0.0,2.0,2020-07-01
Zacatecas,Río Grande,1.0,0.0,1.0,0.0,2020-07-01
Baja California,Tijuana,4.0,3.0,1.0,0.0,2020-07-02
Chihuahua,Hidalgo Del Parral,4.0,4.0,0.0,0.0,2020-07-02
Chihuahua,Juárez,2.0,2.0,0.0,0.0,2020-07-02
Guanajuato,Acámbaro,1.0,1.0,0.0,0.0,2020-07-02
Guanajuato,Apaseo El Alto,2.0,2.0,0.0,0.0,2020-07-02
Guanajuato,Cortazar,1.0,1.0,0.0,0.0,2020-07-02
Guanajuato,Irapuato,4.0,4.0,0.0,0.0,2020-07-02
Guanajuato,León,2.0,2.0,0.0,0.0,2020-07-02
Guanajuato,Salamanca,2.0,2.0,0.0,0.0,2020-07-02
Guanajuato,Salvatierra,1.0,1.0,0.0,0.0,2020-07-02
Guanajuato,Uriangato,1.0,1.0,0.0,0.0,2020-07-02
Guerrero,Chilpancingo De Los Bravo,1.0,1.0,0.0,0.0,2020-07-02
Guerrero,Iguala De La Independencia,4.0,3.0,1.0,0.0,2020-07-02
Estado de México,Nezahualcóyotl,2.0,2.0,0.0,0.0,2020-07-02
Jalisco,San Pedro Tlaquepaque,3.0,2.0,0.0,1.0,2020-07-02
Jalisco,Tlajomulco De Zúñiga,1.0,1.0,0.0,0.0,2020-07-02
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2020-07-02
Michoacán,Aquila,2.0,2.0,0.0,0.0,2020-07-02
Michoacán,Queréndaro,2.0,1.0,1.0,0.0,2020-07-02
