Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,1.0,1.0,0.0,0.0,2020-01-01
Chihuahua,Delicias,1.0,1.0,0.0,0.0,2020-01-01
Chihuahua,Juárez,4.0,4.0,0.0,0.0,2020-01-01
Coahuila,Torreón,1.0,1.0,0.0,0.0,2020-01-01
Guanajuato,León,3.0,3.0,0.0,0.0,2020-01-01
Guanajuato,Salvatierra,3.0,0.0,0.0,3.0,2020-01-01
Guerrero,Acapulco De Juárez,3.0,3.0,0.0,0.0,2020-01-01
Hidalgo,Progreso De Obregón,1.0,1.0,0.0,0.0,2020-01-01
Hidalgo,Tepeji Del Río De Ocampo,1.0,1.0,0.0,0.0,2020-01-01
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2020-01-01
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2020-01-01
Michoacán,Jacona,1.0,1.0,0.0,0.0,2020-01-01
Michoacán,Tarímbaro,1.0,1.0,0.0,0.0,2020-01-01
Michoacán,Uruapan,5.0,5.0,0.0,0.0,2020-01-01
Morelos,Jiutepec,1.0,1.0,0.0,0.0,2020-01-01
Estado de México,Villa Guerrero,2.0,2.0,0.0,0.0,2020-01-01
Nuevo León,Apodaca,1.0,1.0,0.0,0.0,2020-01-01
Nuevo León,Monterrey,1.0,1.0,0.0,0.0,2020-01-01
Oaxaca,Chahuites,1.0,1.0,0.0,0.0,2020-01-01
Oaxaca,Salina Cruz,1.0,0.0,1.0,0.0,2020-01-01
Puebla,Chietla,1.0,1.0,0.0,0.0,2020-01-01
Quintana Roo,Othón P. Blanco,1.0,1.0,0.0,0.0,2020-01-01
San Luis Potosí,Aquismón,1.0,0.0,1.0,0.0,2020-01-01
San Luis Potosí,Soledad De Graciano Sánchez,1.0,1.0,0.0,0.0,2020-01-01
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2020-01-01
Sonora,Cajeme,2.0,2.0,0.0,0.0,2020-01-01
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2020-01-01
Tabasco,Paraíso,1.0,1.0,0.0,0.0,2020-01-01
Tamaulipas,Miguel Alemán,6.0,6.0,0.0,0.0,2020-01-01
Tamaulipas,Nuevo Laredo,3.0,3.0,0.0,0.0,2020-01-01
Veracruz,Agua Dulce,1.0,1.0,0.0,0.0,2020-01-01
Veracruz,Hueyapan De Ocampo,1.0,1.0,0.0,0.0,2020-01-01
Zacatecas,Fresnillo,1.0,1.0,0.0,0.0,2020-01-01
Baja California,Tijuana,6.0,6.0,0.0,0.0,2020-01-02
Chihuahua,Chihuahua,2.0,1.0,0.0,1.0,2020-01-02
