Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,5.0,3.0,2.0,0.0,2020-12-08
Chihuahua,Bocoyna,2.0,2.0,0.0,0.0,2020-12-08
Chihuahua,Chihuahua,2.0,2.0,0.0,0.0,2020-12-08
Chihuahua,Juárez,6.0,5.0,0.0,1.0,2020-12-08
Ciudad de México,"La Magdalena 
Contreras",2.0,1.0,1.0,0.0,2020-12-08
Colima,Armería,1.0,1.0,0.0,0.0,2020-12-08
Colima,Villa de Álvarez,1.0,0.0,0.0,1.0,2020-12-08
Durango,Lerdo,1.0,1.0,0.0,0.0,2020-12-08
Guanajuato,Irapuato,2.0,2.0,0.0,0.0,2020-12-08
Guanajuato,León,1.0,1.0,0.0,0.0,2020-12-08
Guanajuato,"Valle de 
Santiago",2.0,1.0,0.0,1.0,2020-12-08
Guerrero,"Iguala de la 
Independencia",1.0,1.0,0.0,0.0,2020-12-08
Guerrero,Juchitán,1.0,1.0,0.0,0.0,2020-12-08
Guerrero,"Valle de 
Santiago",1.0,1.0,0.0,0.0,2020-12-08
Jalisco,Zapopan,2.0,2.0,0.0,0.0,2020-12-08
Michoacán,Morelia,1.0,1.0,0.0,0.0,2020-12-08
Michoacán,Zamora,2.0,2.0,0.0,0.0,2020-12-08
Michoacán,Ziracuaretiro,1.0,1.0,0.0,0.0,2020-12-08
Michoacán,Zitácuaro,2.0,2.0,0.0,0.0,2020-12-08
Morelos,Jiutepec,1.0,1.0,0.0,0.0,2020-12-08
Morelos,Miacatlán,1.0,1.0,0.0,0.0,2020-12-08
Estado de México,"Ecatepec de 
Morelos",1.0,1.0,0.0,0.0,2020-12-08
Estado de México,"Tlalnepantla 
de Baz",1.0,1.0,0.0,0.0,2020-12-08
Estado de México,Tultepec,2.0,2.0,0.0,0.0,2020-12-08
Nuevo León,"San Pedro 
Garza García",2.0,2.0,0.0,0.0,2020-12-08
Oaxaca,"San Antonio 
de la Cal",1.0,1.0,0.0,0.0,2020-12-08
Oaxaca,"Santiago 
Juxtlahuaca",1.0,0.0,1.0,0.0,2020-12-08
Puebla,"Francisco Z. 
Mena",1.0,1.0,0.0,0.0,2020-12-08
Quintana Roo,"Othón P. 
Blanco",1.0,0.0,1.0,0.0,2020-12-08
San Luis Potosí,El Naranjo,1.0,1.0,0.0,0.0,2020-12-08
Sonora,Cajeme,1.0,1.0,0.0,0.0,2020-12-08
Sonora,Hermosillo,3.0,1.0,1.0,1.0,2020-12-08
Sonora,Nogales,1.0,1.0,0.0,0.0,2020-12-08
Tlaxcala,Hueyotlipan,1.0,0.0,1.0,0.0,2020-12-08
Veracruz,Acayucan,1.0,1.0,0.0,0.0,2020-12-08
Veracruz,Agua Dulce,1.0,0.0,1.0,0.0,2020-12-08
Veracruz,Jáltipan,1.0,0.0,0.0,1.0,2020-12-08
Veracruz,La Perla,1.0,1.0,0.0,0.0,2020-12-08
Veracruz,Nogales,1.0,1.0,0.0,0.0,2020-12-08
Yucatán,Oxkutzcab,1.0,1.0,0.0,0.0,2020-12-08
Zacatecas,Fresnillo,1.0,1.0,0.0,0.0,2020-12-08
Zacatecas,Jerez,2.0,2.0,0.0,0.0,2020-12-08
Zacatecas,Zacatecas,1.0,1.0,0.0,0.0,2020-12-08
