Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,2.0,2.0,0.0,0.0,2020-11-29
Chiapas,"Tuxtla 
Gutiérrez",1.0,0.0,1.0,0.0,2020-11-29
Chihuahua,Juárez,3.0,3.0,0.0,0.0,2020-11-29
Coahuila,Torreón,1.0,1.0,0.0,0.0,2020-11-29
Colima,Manzanillo,3.0,2.0,0.0,1.0,2020-11-29
Colima,"Villa de 
Álvarez",1.0,1.0,0.0,0.0,2020-11-29
Durango,Durango,2.0,2.0,0.0,0.0,2020-11-29
Guanajuato,Celaya,1.0,1.0,0.0,0.0,2020-11-29
Guanajuato,Cortázar,1.0,1.0,0.0,0.0,2020-11-29
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2020-11-29
Guanajuato,Uriangato,1.0,1.0,0.0,0.0,2020-11-29
Guerrero,"Acapulco de 
Juárez",2.0,2.0,0.0,0.0,2020-11-29
Hidalgo,"Cuautepec de 
Hinojosa",1.0,1.0,0.0,0.0,2020-11-29
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2020-11-29
Jalisco,"San Pedro 
Tlaquepaque",1.0,1.0,0.0,0.0,2020-11-29
Jalisco,Zapopan,2.0,2.0,0.0,0.0,2020-11-29
Michoacán,Morelia,1.0,1.0,0.0,0.0,2020-11-29
Michoacán,Uruapan,2.0,2.0,0.0,0.0,2020-11-29
Morelos,Cuernavaca,2.0,2.0,0.0,0.0,2020-11-29
Morelos,"Emiliano 
Zapata",1.0,1.0,0.0,0.0,2020-11-29
Morelos,Jojutla,1.0,1.0,0.0,0.0,2020-11-29
Morelos,"Tlaltizapán de 
Zapata",1.0,1.0,0.0,0.0,2020-11-29
Estado de México,Chalco,1.0,1.0,0.0,0.0,2020-11-29
Estado de México,Zinacantepec,1.0,1.0,0.0,0.0,2020-11-29
Nuevo León,Linares,1.0,1.0,0.0,0.0,2020-11-29
Nuevo León,Monterrey,2.0,2.0,0.0,0.0,2020-11-29
Oaxaca,"Heroica 
Ciudad de 
Juchitán de 
Zaragoza",1.0,1.0,0.0,0.0,2020-11-29
Oaxaca,"Oaxaca de 
Juárez",2.0,1.0,1.0,0.0,2020-11-29
Oaxaca,"San Felipe 
Jalapa de Díaz",1.0,0.0,1.0,0.0,2020-11-29
Puebla,Chietla,1.0,1.0,0.0,0.0,2020-11-29
Puebla,Cuautlancingo,1.0,1.0,0.0,0.0,2020-11-29
Puebla,Ocoyucan,1.0,1.0,0.0,0.0,2020-11-29
Puebla,Puebla,1.0,1.0,0.0,0.0,2020-11-29
Querétaro,El Marqués,1.0,0.0,0.0,1.0,2020-11-29
Quintana Roo,Benito Juárez,5.0,0.0,2.0,3.0,2020-11-29
San Luis Potosí,"San Luis 
Potosí",1.0,1.0,0.0,0.0,2020-11-29
San Luis Potosí,Villa de Reyes,1.0,1.0,0.0,0.0,2020-11-29
Sonora,Caborca,2.0,1.0,0.0,1.0,2020-11-29
Sonora,Cajeme,2.0,2.0,0.0,0.0,2020-11-29
Veracruz,Cosoleacaque,1.0,1.0,0.0,0.0,2020-11-29
Veracruz,Isla,1.0,1.0,0.0,0.0,2020-11-29
Veracruz,José Azueta,1.0,1.0,0.0,0.0,2020-11-29
Zacatecas,Fresnillo,1.0,1.0,0.0,0.0,2020-11-29
Zacatecas,Guadalupe,2.0,2.0,0.0,0.0,2020-11-29
Zacatecas,Zacatecas,1.0,1.0,0.0,0.0,2020-11-29
