Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,3.0,2.0,1.0,0.0,2020-10-29
Chihuahua,Buenaventura,4.0,4.0,0.0,0.0,2020-10-29
Chihuahua,Juárez,1.0,1.0,0.0,0.0,2020-10-29
Chihuahua,Maguarichi,1.0,1.0,0.0,0.0,2020-10-29
Ciudad de México,Cuauhtémoc,1.0,0.0,1.0,0.0,2020-10-29
Guanajuato,Celaya,2.0,2.0,0.0,0.0,2020-10-29
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2020-10-29
Guanajuato,León,1.0,1.0,0.0,0.0,2020-10-29
Guanajuato,Salvatierra,2.0,0.0,0.0,2.0,2020-10-29
Guanajuato,"Santa Cruz de 
Juventino 
Rosas",3.0,0.0,0.0,3.0,2020-10-29
Guerrero,Azoyú,2.0,0.0,0.0,2.0,2020-10-29
Guerrero,Copalillo,1.0,1.0,0.0,0.0,2020-10-29
Guerrero,"Taxco de 
Alarcón",1.0,1.0,0.0,0.0,2020-10-29
Hidalgo,Ixmiquilpan,2.0,1.0,1.0,0.0,2020-10-29
Jalisco,Guadalajara,2.0,2.0,0.0,0.0,2020-10-29
Jalisco,"Tlajomulco de 
Zúñiga",1.0,1.0,0.0,0.0,2020-10-29
Jalisco,Tonalá,1.0,1.0,0.0,0.0,2020-10-29
Michoacán,Jacona,1.0,1.0,0.0,0.0,2020-10-29
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2020-10-29
Michoacán,Zamora,2.0,1.0,1.0,0.0,2020-10-29
Morelos,Huitzilac,1.0,1.0,0.0,0.0,2020-10-29
Morelos,Jiutepec,1.0,1.0,0.0,0.0,2020-10-29
Estado de México,"Ecatepec de 
Morelos",1.0,1.0,0.0,0.0,2020-10-29
Estado de México,Zinacantepec,1.0,1.0,0.0,0.0,2020-10-29
Puebla,"Cañada 
Morelos",1.0,1.0,0.0,0.0,2020-10-29
Querétaro,Colón,1.0,1.0,0.0,0.0,2020-10-29
Quintana Roo,Benito Juárez,3.0,3.0,0.0,0.0,2020-10-29
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2020-10-29
Sonora,Caborca,3.0,3.0,0.0,0.0,2020-10-29
Sonora,Hermosillo,1.0,0.0,1.0,0.0,2020-10-29
Tamaulipas,Nuevo Laredo,10.0,10.0,0.0,0.0,2020-10-29
Tamaulipas,Reynosa,3.0,3.0,0.0,0.0,2020-10-29
