Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Mexicali,1.0,0.0,1.0,0.0,2020-09-12
Baja California,Tijuana,4.0,4.0,0.0,0.0,2020-09-12
Chihuahua,Juárez,2.0,2.0,0.0,0.0,2020-09-12
Ciudad de México,Tlalpan,1.0,1.0,0.0,0.0,2020-09-12
Ciudad de México,"Venustiano 
Carranza",2.0,2.0,0.0,0.0,2020-09-12
Coahuila,Ocampo,1.0,1.0,0.0,0.0,2020-09-12
Guanajuato,Celaya,4.0,3.0,1.0,0.0,2020-09-12
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2020-09-12
Guanajuato,"Jaral del 
Progreso",1.0,1.0,0.0,0.0,2020-09-12
Guanajuato,León,3.0,2.0,1.0,0.0,2020-09-12
Guanajuato,Salamanca,2.0,2.0,0.0,0.0,2020-09-12
Guanajuato,Salvatierra,2.0,2.0,0.0,0.0,2020-09-12
Guerrero,"Acapulco de 
Juárez",2.0,2.0,0.0,0.0,2020-09-12
Jalisco,Guadalajara,3.0,3.0,0.0,0.0,2020-09-12
Jalisco,"San Pedro 
Tlaquepaque",1.0,0.0,1.0,0.0,2020-09-12
Michoacán,Zamora,1.0,1.0,0.0,0.0,2020-09-12
Morelos,Cuernavaca,1.0,1.0,0.0,0.0,2020-09-12
Morelos,"Emiliano 
Zapata",2.0,2.0,0.0,0.0,2020-09-12
Morelos,Jiutepec,1.0,0.0,0.0,1.0,2020-09-12
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2020-09-12
Oaxaca,"San Juan 
Teposcolula",1.0,0.0,1.0,0.0,2020-09-12
Puebla,Puebla,1.0,1.0,0.0,0.0,2020-09-12
Quintana Roo,Benito Juárez,2.0,2.0,0.0,0.0,2020-09-12
San Luis Potosí,Matehuala,2.0,2.0,0.0,0.0,2020-09-12
San Luis Potosí,San Luis Potosí,1.0,1.0,0.0,0.0,2020-09-12
San Luis Potosí,"Soledad de 
Graciano 
Sánchez",2.0,0.0,0.0,2.0,2020-09-12
Sinaloa,Choix,1.0,1.0,0.0,0.0,2020-09-12
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2020-09-12
Sonora,Cajeme,1.0,1.0,0.0,0.0,2020-09-12
Sonora,Hermosillo,1.0,0.0,0.0,1.0,2020-09-12
Tamaulipas,Matamoros,1.0,1.0,0.0,0.0,2020-09-12
Tlaxcala,"San Pablo del 
Monte",1.0,1.0,0.0,0.0,2020-09-12
Tlaxcala,Tlaxcala,2.0,2.0,0.0,0.0,2020-09-12
Veracruz,"Cazones de 
Herrera",1.0,1.0,0.0,0.0,2020-09-12
Veracruz,"Nanchital de 
Lázaro 
Cárdenas del 
Río",1.0,1.0,0.0,0.0,2020-09-12
Veracruz,Papantla,2.0,2.0,0.0,0.0,2020-09-12
Veracruz,Tierra Blanca,2.0,2.0,0.0,0.0,2020-09-12
Zacatecas,Guadalupe,1.0,1.0,0.0,0.0,2020-09-12
