Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Ensenada,5,3.0,1.0,1.0,2021-01-13
Baja California,Tijuana,8,5.0,1.0,2.0,2021-01-13
Chiapas,Suchiate,2,2.0,0.0,0.0,2021-01-13
Chihuahua,Chihuahua,1,1.0,0.0,0.0,2021-01-13
Chihuahua,Juárez,2,1.0,1.0,0.0,2021-01-13
Ciudad de México,Iztapalapa,1,1.0,0.0,0.0,2021-01-13
Ciudad de México,Tlalpan,1,1.0,0.0,0.0,2021-01-13
Guanajuato,Celaya,7,4.0,0.0,3.0,2021-01-13
Guanajuato,Cortazar,1,1.0,0.0,0.0,2021-01-13
Guanajuato,Irapuato,1,0.0,0.0,1.0,2021-01-13
Guanajuato,León,2,2.0,0.0,0.0,2021-01-13
Guanajuato,San Francisco Del Rincón,1,1.0,0.0,0.0,2021-01-13
Guanajuato,Valle De Santiago,2,1.0,1.0,0.0,2021-01-13
Guerrero,Chilpancingo De Los Bravo,1,0.0,1.0,0.0,2021-01-13
Jalisco,Puerto Vallarta,1,0.0,1.0,0.0,2021-01-13
Jalisco,Tlajomulco De Zúñiga,8,0.0,0.0,8.0,2021-01-13
Jalisco,Zapopan,1,1.0,0.0,0.0,2021-01-13
Michoacán,Chilchota,1,0.0,0.0,1.0,2021-01-13
Michoacán,Jacona,2,2.0,0.0,0.0,2021-01-13
Michoacán,Múgica,1,1.0,0.0,0.0,2021-01-13
Morelos,Cuautla,1,1.0,0.0,0.0,2021-01-13
Morelos,Jiutepec,1,1.0,0.0,0.0,2021-01-13
Morelos,Miacatlán,1,1.0,0.0,0.0,2021-01-13
Morelos,Temixco,1,0.0,1.0,0.0,2021-01-13
Estado de México,Coyotepec,1,0.0,1.0,0.0,2021-01-13
Nuevo León,San Nicolás De Los Garza,1,1.0,0.0,0.0,2021-01-13
Puebla,Puebla,2,0.0,2.0,0.0,2021-01-13
Quintana Roo,Benito Juárez,1,1.0,0.0,0.0,2021-01-13
San Luis Potosí,Soledad De Graciano Sánchez,1,1.0,0.0,0.0,2021-01-13
Sonora,Cajeme,2,2.0,0.0,0.0,2021-01-13
Sonora,Guaymas,2,1.0,0.0,1.0,2021-01-13
Sonora,Hermosillo,1,1.0,0.0,0.0,2021-01-13
Tamaulipas,Reynosa,1,0.0,0.0,1.0,2021-01-13
Veracruz,Chinameca,1,1.0,0.0,0.0,2021-01-13
Veracruz,Córdoba,1,1.0,0.0,0.0,2021-01-13
Veracruz,Fresnillo,1,1.0,0.0,0.0,2021-01-13
Veracruz,Jáltipan,1,1.0,0.0,0.0,2021-01-13
Zacatecas,Fresnillo,7,5.0,2.0,0.0,2021-01-13
Zacatecas,Vetagrande,1,1.0,0.0,0.0,2021-01-13
Zacatecas,Zacatecas,5,5.0,0.0,0.0,2021-01-13
