Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Tijuana,5.0,4.0,0.0,1.0,2021-03-31
Chiapas,Acapetahua,1.0,1.0,0.0,0.0,2021-03-31
Chihuahua,Chihuahua,1.0,0.0,1.0,0.0,2021-03-31
Chihuahua,Guachochi,2.0,1.0,1.0,0.0,2021-03-31
Chihuahua,Jiménez,1.0,1.0,0.0,0.0,2021-03-31
Chihuahua,Madera,4.0,4.0,0.0,0.0,2021-03-31
Ciudad de México,Azcapotzalco,1.0,1.0,0.0,0.0,2021-03-31
Guanajuato,Celaya,4.0,3.0,1.0,0.0,2021-03-31
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2021-03-31
Guanajuato,Santa Cruz De Juventino Rosas,1.0,1.0,0.0,0.0,2021-03-31
Guanajuato,Silao De La Victoria,7.0,7.0,0.0,0.0,2021-03-31
Guanajuato,Valle De Santiago,2.0,2.0,0.0,0.0,2021-03-31
Guerrero,Acapulco De Juárez,1.0,1.0,0.0,0.0,2021-03-31
Guerrero,Iguala De La Independencia,1.0,1.0,0.0,0.0,2021-03-31
Jalisco,Guadalajara,1.0,1.0,0.0,0.0,2021-03-31
Jalisco,Lagos De Moreno,1.0,1.0,0.0,0.0,2021-03-31
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2021-03-31
Jalisco,Zapopan,1.0,1.0,0.0,0.0,2021-03-31
Michoacán,Aguililla,7.0,7.0,0.0,0.0,2021-03-31
Michoacán,Copándaro,1.0,1.0,0.0,0.0,2021-03-31
Michoacán,Jacona,1.0,1.0,0.0,0.0,2021-03-31
Michoacán,Álvaro Obregón,1.0,1.0,0.0,0.0,2021-03-31
Morelos,Cuernavaca,3.0,3.0,0.0,0.0,2021-03-31
Estado de México,Ixtlahuaca,1.0,1.0,0.0,0.0,2021-03-31
Nuevo León,Ciénega De Flores,1.0,1.0,0.0,0.0,2021-03-31
Puebla,Atlixco,1.0,0.0,0.0,1.0,2021-03-31
Querétaro,Ezequiel Montes,1.0,1.0,0.0,0.0,2021-03-31
Quintana Roo,Benito Juárez,2.0,2.0,0.0,0.0,2021-03-31
San Luis Potosí,Cerro De San Pedro,1.0,1.0,0.0,0.0,2021-03-31
Sinaloa,Culiacán,4.0,4.0,0.0,0.0,2021-03-31
Sonora,Caborca,3.0,3.0,0.0,0.0,2021-03-31
Sonora,Hermosillo,2.0,1.0,1.0,0.0,2021-03-31
Sonora,Nogales,1.0,1.0,0.0,0.0,2021-03-31
Sonora,Pitiquito,1.0,1.0,0.0,0.0,2021-03-31
Sonora,San Luis Río Colorado,1.0,1.0,0.0,0.0,2021-03-31
Veracruz,Coatzacoalcos,1.0,1.0,0.0,0.0,2021-03-31
Veracruz,Orizaba,2.0,0.0,2.0,0.0,2021-03-31
Veracruz,Rafael Delgado,2.0,2.0,0.0,0.0,2021-03-31
Yucatán,Oxkutzcab,1.0,1.0,0.0,0.0,2021-03-31
Zacatecas,Fresnillo,1.0,1.0,0.0,0.0,2021-03-31
Zacatecas,Pánuco,1.0,1.0,0.0,0.0,2021-03-31
