Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Aguascalientes,Aguascalientes,1.0,1.0,0.0,0.0,2021-01-01
Baja California,Tijuana,3.0,2.0,0.0,1.0,2021-01-01
Baja California Sur,Mulegé,1.0,1.0,0.0,0.0,2021-01-01
Chihuahua,Juárez,2.0,2.0,0.0,0.0,2021-01-01
Coahuila,Torreón,2.0,1.0,1.0,0.0,2021-01-01
Colima,Manzanillo,1.0,1.0,0.0,0.0,2021-01-01
Colima,Villa De Álvarez,1.0,0.0,1.0,0.0,2021-01-01
Durango,Durango,1.0,1.0,0.0,0.0,2021-01-01
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2021-01-01
Guerrero,Atoyac De Álvarez,1.0,1.0,0.0,0.0,2021-01-01
Guerrero,Copala,2.0,2.0,0.0,0.0,2021-01-01
Hidalgo,Tezontepec De Aldama,1.0,1.0,0.0,0.0,2021-01-01
Jalisco,Guadalajara,2.0,2.0,0.0,0.0,2021-01-01
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2021-01-01
Jalisco,Sayula,1.0,1.0,0.0,0.0,2021-01-01
Michoacán,Lázaro Cárdenas,2.0,2.0,0.0,0.0,2021-01-01
Michoacán,Morelia,1.0,1.0,0.0,0.0,2021-01-01
Michoacán,Zamora,2.0,2.0,0.0,0.0,2021-01-01
Morelos,Jiutepec,3.0,2.0,1.0,0.0,2021-01-01
Estado de México,Almoloya De Juárez,1.0,0.0,1.0,0.0,2021-01-01
Estado de México,Apatzingán,1.0,1.0,0.0,0.0,2021-01-01
Nuevo León,Pesquería,1.0,1.0,0.0,0.0,2021-01-01
Oaxaca,Tlacolula De Matamoros,1.0,0.0,0.0,1.0,2021-01-01
Puebla,Puebla,2.0,2.0,0.0,0.0,2021-01-01
Puebla,Tlacotepec De Benito Juárez,1.0,1.0,0.0,0.0,2021-01-01
Querétaro,Querétaro,2.0,2.0,0.0,0.0,2021-01-01
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2021-01-01
San Luis Potosí,San Luis Potosí,1.0,1.0,0.0,0.0,2021-01-01
Sinaloa,Badiraguato,1.0,1.0,0.0,0.0,2021-01-01
Sinaloa,Culiacán,2.0,2.0,0.0,0.0,2021-01-01
Sonora,Cajeme,2.0,2.0,0.0,0.0,2021-01-01
Tabasco,Huimanguillo,1.0,1.0,0.0,0.0,2021-01-01
Veracruz,Amatitlán,2.0,1.0,1.0,0.0,2021-01-01
Veracruz,Camerino Z. Mendoza,1.0,0.0,1.0,0.0,2021-01-01
Veracruz,Chocamán,1.0,1.0,0.0,0.0,2021-01-01
Veracruz,Coatzacoalcos,1.0,1.0,0.0,0.0,2021-01-01
Veracruz,Sayula De Alemán,1.0,0.0,1.0,0.0,2021-01-01
Yucatán,Mérida,3.0,2.0,1.0,0.0,2021-01-01
Zacatecas,Fresnillo,2.0,2.0,0.0,0.0,2021-01-01
Zacatecas,Valparaíso,1.0,1.0,0.0,0.0,2021-01-01
Zacatecas,Vetagrande,3.0,3.0,0.0,0.0,2021-01-01
Baja California,Ensenada,1.0,0.0,1.0,0.0,2021-01-02
Baja California,Tijuana,5.0,4.0,1.0,0.0,2021-01-02
Chiapas,Pichucalco,1.0,0.0,1.0,0.0,2021-01-02
Chiapas,Tuxtla Gutiérrez,1.0,1.0,0.0,0.0,2021-01-02
Chihuahua,Chihuahua,2.0,1.0,1.0,0.0,2021-01-02
Chihuahua,Juárez,2.0,2.0,0.0,0.0,2021-01-02
Ciudad de México,Gustavo A. Madero,1.0,1.0,0.0,0.0,2021-01-02
Ciudad de México,Iztacalco,1.0,1.0,0.0,0.0,2021-01-02
Colima,Manzanillo,1.0,1.0,0.0,0.0,2021-01-02
Durango,Canatlán,1.0,1.0,0.0,0.0,2021-01-02
Durango,Durango,1.0,1.0,0.0,0.0,2021-01-02
Guanajuato,Celaya,2.0,2.0,0.0,0.0,2021-01-02
Guanajuato,Cortazar,2.0,2.0,0.0,0.0,2021-01-02
Guanajuato,León,3.0,3.0,0.0,0.0,2021-01-02
Guanajuato,Purísima Del Rincón,1.0,1.0,0.0,0.0,2021-01-02
Guanajuato,Uriangato,1.0,1.0,0.0,0.0,2021-01-02
Guanajuato,Villagrán,1.0,1.0,0.0,0.0,2021-01-02
Guerrero,Acapulco De Juárez,6.0,6.0,0.0,0.0,2021-01-02
Hidalgo,Mineral De La Reforma,3.0,3.0,0.0,0.0,2021-01-02
Jalisco,Guadalajara,2.0,2.0,0.0,0.0,2021-01-02
Jalisco,San Pedro Tlaquepaque,3.0,3.0,0.0,0.0,2021-01-02
Jalisco,Tlajomulco De Zúñiga,1.0,0.0,0.0,1.0,2021-01-02
Jalisco,Zapopan,2.0,2.0,0.0,0.0,2021-01-02
Michoacán,Morelia,1.0,1.0,0.0,0.0,2021-01-02
Michoacán,Zitácuaro,2.0,2.0,0.0,0.0,2021-01-02
Morelos,Cuernavaca,1.0,1.0,0.0,0.0,2021-01-02
Nayarit,Rosamorada,1.0,1.0,0.0,0.0,2021-01-02
Nuevo León,Santa Catarina,1.0,1.0,0.0,0.0,2021-01-02
Oaxaca,Santa María Petapa,1.0,1.0,0.0,0.0,2021-01-02
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0,2021-01-02
Quintana Roo,Solidaridad,1.0,1.0,0.0,0.0,2021-01-02
Quintana Roo,Tulum,1.0,1.0,0.0,0.0,2021-01-02
Sinaloa,Culiacán,1.0,1.0,0.0,0.0,2021-01-02
Sinaloa,Guasave,1.0,1.0,0.0,0.0,2021-01-02
Tamaulipas,Guasave,1.0,1.0,0.0,0.0,2021-01-02
Veracruz,Acayucan,1.0,1.0,0.0,0.0,2021-01-02
Veracruz,Chocamán,1.0,1.0,0.0,0.0,2021-01-02
Veracruz,La Perla,1.0,1.0,0.0,0.0,2021-01-02
Veracruz,Misantla,1.0,1.0,0.0,0.0,2021-01-02
Veracruz,Veracruz,2.0,1.0,0.0,1.0,2021-01-02
Baja California,Mexicali,1.0,1.0,0.0,0.0,2021-01-03
Baja California,Tecate,3.0,3.0,0.0,0.0,2021-01-03
Baja California,Tijuana,7.0,7.0,0.0,0.0,2021-01-03
Campeche,Campeche,1.0,1.0,0.0,0.0,2021-01-03
Chiapas,Pichucalco,1.0,1.0,0.0,0.0,2021-01-03
