Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Ensenada,1.0,1.0,0.0,0.0,2021-02-01
Baja California,Tecate,1.0,1.0,0.0,0.0,2021-02-01
Baja California,Tijuana,5.0,4.0,1.0,0.0,2021-02-01
Chihuahua,Juárez,4.0,3.0,0.0,1.0,2021-02-01
Chihuahua,Uruachi,7.0,7.0,0.0,0.0,2021-02-01
Colima,Manzanillo,1.0,1.0,0.0,0.0,2021-02-01
Durango,Mapimí,1.0,0.0,1.0,0.0,2021-02-01
Guanajuato,Acámbaro,2.0,2.0,0.0,0.0,2021-02-01
Guanajuato,Celaya,1.0,1.0,0.0,0.0,2021-02-01
Guanajuato,Salamanca,2.0,2.0,0.0,0.0,2021-02-01
Guerrero,Coyuca De Benítez,1.0,1.0,0.0,0.0,2021-02-01
Guerrero,Ometepec,1.0,1.0,0.0,0.0,2021-02-01
Jalisco,Arandas,1.0,1.0,0.0,0.0,2021-02-01
Jalisco,Encarnación De Díaz,1.0,1.0,0.0,0.0,2021-02-01
Jalisco,Guadalajara,2.0,2.0,0.0,0.0,2021-02-01
Jalisco,Tonalá,1.0,1.0,0.0,0.0,2021-02-01
Jalisco,Zapopan,2.0,2.0,0.0,0.0,2021-02-01
Michoacán,Zamora,2.0,2.0,0.0,0.0,2021-02-01
Morelos,Cuernavaca,2.0,2.0,0.0,0.0,2021-02-01
Oaxaca,Oaxaca De Juárez,1.0,1.0,0.0,0.0,2021-02-01
Puebla,Chietla,2.0,1.0,1.0,0.0,2021-02-01
Puebla,Puebla,1.0,0.0,0.0,1.0,2021-02-01
Puebla,San Pedro Cholula,1.0,0.0,1.0,0.0,2021-02-01
Querétaro,Pedro Escobedo,1.0,1.0,0.0,0.0,2021-02-01
San Luis Potosí,Rioverde,1.0,1.0,0.0,0.0,2021-02-01
San Luis Potosí,San Luis Potosí,1.0,1.0,0.0,0.0,2021-02-01
Sinaloa,Sinaloa,1.0,1.0,0.0,0.0,2021-02-01
Sonora,Cajeme,1.0,1.0,0.0,0.0,2021-02-01
Tamaulipas,Victoria,2.0,2.0,0.0,0.0,2021-02-01
Veracruz,Minatitlán,2.0,2.0,0.0,0.0,2021-02-01
Veracruz,Papantla,1.0,1.0,0.0,0.0,2021-02-01
Veracruz,Sayula De Alemán,1.0,1.0,0.0,0.0,2021-02-01
Veracruz,Tierra Blanca,1.0,1.0,0.0,0.0,2021-02-01
Zacatecas,Fresnillo,6.0,3.0,3.0,0.0,2021-02-01
Zacatecas,Villa De Cos,3.0,3.0,0.0,0.0,2021-02-01
Zacatecas,Zacatecas,2.0,1.0,1.0,0.0,2021-02-01
Baja California,Playas De Rosarito,1.0,1.0,0.0,0.0,2021-02-02
Baja California,Tecate,1.0,0.0,0.0,1.0,2021-02-02
Baja California,Tijuana,9.0,8.0,0.0,1.0,2021-02-02
Chiapas,Ocosingo,1.0,1.0,0.0,0.0,2021-02-02
Chiapas,Tuxtla Gutiérrez,1.0,1.0,0.0,0.0,2021-02-02
Chihuahua,Chihuahua,5.0,4.0,1.0,0.0,2021-02-02
Chihuahua,Hidalgo Del Parral,1.0,1.0,0.0,0.0,2021-02-02
Chihuahua,Juárez,2.0,0.0,2.0,0.0,2021-02-02
Ciudad de México,Coyoacán,2.0,2.0,0.0,0.0,2021-02-02
Colima,Armería,1.0,1.0,0.0,0.0,2021-02-02
Colima,Colima,1.0,1.0,0.0,0.0,2021-02-02
Colima,Villa De Álvarez,2.0,2.0,0.0,0.0,2021-02-02
Estado de México,Almoloya De Juárez,1.0,1.0,0.0,0.0,2021-02-02
Estado de México,Chalco,1.0,1.0,0.0,0.0,2021-02-02
Estado de México,La Paz,1.0,0.0,0.0,1.0,2021-02-02
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2021-02-02
Estado de México,Tecámac,1.0,0.0,1.0,0.0,2021-02-02
Estado de México,Tenango Del Valle,1.0,1.0,0.0,0.0,2021-02-02
Guanajuato,Celaya,3.0,3.0,0.0,0.0,2021-02-02
Guanajuato,Cortazar,2.0,2.0,0.0,0.0,2021-02-02
Guanajuato,León,1.0,1.0,0.0,0.0,2021-02-02
Guanajuato,Pénjamo,1.0,1.0,0.0,0.0,2021-02-02
Guanajuato,San José Iturbide,1.0,1.0,0.0,0.0,2021-02-02
Guanajuato,Silao De La Victoria,1.0,1.0,0.0,0.0,2021-02-02
Guerrero,Acapulco De Juárez,1.0,1.0,0.0,0.0,2021-02-02
Jalisco,Encarnación De Díaz,1.0,0.0,0.0,1.0,2021-02-02
Jalisco,Guadalajara,2.0,2.0,0.0,0.0,2021-02-02
Jalisco,San Pedro Tlaquepaque,1.0,0.0,1.0,0.0,2021-02-02
Jalisco,Talpa De Allende,1.0,1.0,0.0,0.0,2021-02-02
