Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Mexicali,2.0,2.0,0.0,0.0,2021-03-01
Baja California,Tijuana,2.0,2.0,0.0,0.0,2021-03-01
Chiapas,Huixtla,1.0,1.0,0.0,0.0,2021-03-01
Chihuahua,Chihuahua,1.0,1.0,0.0,0.0,2021-03-01
Chihuahua,Cuauhtémoc,1.0,1.0,0.0,0.0,2021-03-01
Ciudad de México,Coyoacán,1.0,1.0,0.0,0.0,2021-03-01
Ciudad de México,Iztapalapa,2.0,2.0,0.0,0.0,2021-03-01
Colima,Villa De Álvarez,1.0,1.0,0.0,0.0,2021-03-01
Durango,Gómez Palacio,1.0,1.0,0.0,0.0,2021-03-01
Durango,Mezquital,1.0,1.0,0.0,0.0,2021-03-01
Guanajuato,Apaseo El Alto,2.0,0.0,1.0,1.0,2021-03-01
Guanajuato,Comonfort,1.0,1.0,0.0,0.0,2021-03-01
Guanajuato,Irapuato,1.0,1.0,0.0,0.0,2021-03-01
Guanajuato,León,1.0,1.0,0.0,0.0,2021-03-01
Guanajuato,Salamanca,3.0,2.0,0.0,1.0,2021-03-01
Guanajuato,San Luis De La Paz,1.0,1.0,0.0,0.0,2021-03-01
Guanajuato,Tarimoro,1.0,1.0,0.0,0.0,2021-03-01
Guerrero,Acapulco De Juárez,1.0,0.0,0.0,1.0,2021-03-01
Guerrero,Iguala De La Independencia,1.0,1.0,0.0,0.0,2021-03-01
Guerrero,Taxco De Alarcón,1.0,1.0,0.0,0.0,2021-03-01
Jalisco,Encarnación De Díaz,1.0,1.0,0.0,0.0,2021-03-01
Jalisco,Tonalá,1.0,0.0,0.0,1.0,2021-03-01
Michoacán,La Piedad,1.0,0.0,1.0,0.0,2021-03-01
Michoacán,Morelia,1.0,0.0,1.0,0.0,2021-03-01
Michoacán,Tarímbaro,1.0,0.0,1.0,0.0,2021-03-01
Michoacán,Zamora,2.0,0.0,2.0,0.0,2021-03-01
Morelos,Cuautla,1.0,1.0,0.0,0.0,2021-03-01
Morelos,Jiutepec,1.0,1.0,0.0,0.0,2021-03-01
Morelos,Jojutla,1.0,1.0,0.0,0.0,2021-03-01
Estado de México,Almoloya De Juárez,1.0,0.0,1.0,0.0,2021-03-01
Estado de México,Morelos,2.0,2.0,0.0,0.0,2021-03-01
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2021-03-01
Estado de México,San Mateo Atenco,1.0,1.0,0.0,0.0,2021-03-01
Estado de México,Tultitlán,1.0,0.0,1.0,0.0,2021-03-01
Estado de México,Xonacatlán,1.0,1.0,0.0,0.0,2021-03-01
Nuevo León,Guadalupe,1.0,1.0,0.0,0.0,2021-03-01
Nuevo León,Monterrey,2.0,2.0,0.0,0.0,2021-03-01
Nuevo León,Salinas Victoria,2.0,1.0,1.0,0.0,2021-03-01
Nuevo León,San Nicolás De Los Garza,1.0,1.0,0.0,0.0,2021-03-01
Oaxaca,Zaragoza,1.0,1.0,0.0,0.0,2021-03-01
Puebla,San José Chiapa,2.0,2.0,0.0,0.0,2021-03-01
Puebla,San Nicolás Buenos Aires,1.0,1.0,0.0,0.0,2021-03-01
Puebla,Venustiano Carranza,1.0,1.0,0.0,0.0,2021-03-01
Querétaro,Querétaro,2.0,2.0,0.0,0.0,2021-03-01
San Luis Potosí,San Luis Potosí,1.0,1.0,0.0,0.0,2021-03-01
San Luis Potosí,Tanlajás,3.0,1.0,0.0,2.0,2021-03-01
Sonora,Cajeme,7.0,5.0,1.0,1.0,2021-03-01
Sonora,Guaymas,1.0,1.0,0.0,0.0,2021-03-01
Sonora,Hermosillo,1.0,1.0,0.0,0.0,2021-03-01
Tabasco,Cunduacán,2.0,2.0,0.0,0.0,2021-03-01
Veracruz,Calcahualco,1.0,1.0,0.0,0.0,2021-03-01
Veracruz,Las Choapas,1.0,1.0,0.0,0.0,2021-03-01
Veracruz,Texhuacán,1.0,1.0,0.0,0.0,2021-03-01
Veracruz,Tuxpan,1.0,0.0,0.0,1.0,2021-03-01
Yucatán,Mérida,1.0,1.0,0.0,0.0,2021-03-01
Zacatecas,Fresnillo,1.0,0.0,1.0,0.0,2021-03-01
Zacatecas,Guadalupe,1.0,1.0,0.0,0.0,2021-03-01
Aguascalientes,Aguascalientes,1.0,0.0,1.0,0.0,2021-03-02
Aguascalientes,Jesús María,1.0,0.0,1.0,0.0,2021-03-02
Baja California,Tijuana,4.0,3.0,1.0,0.0,2021-03-02
Baja California Sur,Comondú,1.0,1.0,0.0,0.0,2021-03-02
Chiapas,Tuxtla Gutiérrez,1.0,1.0,0.0,0.0,2021-03-02
Chihuahua,Chihuahua,3.0,2.0,1.0,0.0,2021-03-02
Chihuahua,Juárez,1.0,1.0,0.0,0.0,2021-03-02
Durango,Gómez Palacio,1.0,0.0,1.0,0.0,2021-03-02
Guanajuato,Abasolo,1.0,1.0,0.0,0.0,2021-03-02
Guanajuato,Acámbaro,1.0,1.0,0.0,0.0,2021-03-02
Guanajuato,Apaseo El Grande,1.0,0.0,1.0,0.0,2021-03-02
Guanajuato,Celaya,1.0,0.0,0.0,1.0,2021-03-02
Guanajuato,León,4.0,4.0,0.0,0.0,2021-03-02
Guanajuato,Valle De Santiago,1.0,0.0,0.0,1.0,2021-03-02
Guerrero,Acapulco De Juárez,1.0,1.0,0.0,0.0,2021-03-02
Guerrero,Eduardo Neri,1.0,1.0,0.0,0.0,2021-03-02
Guerrero,Iguala De La Independencia,1.0,1.0,0.0,0.0,2021-03-02
Hidalgo,El Arenal,2.0,2.0,0.0,0.0,2021-03-02
Hidalgo,Tula De Allende,1.0,1.0,0.0,0.0,2021-03-02
Jalisco,Guadalajara,1.0,0.0,0.0,1.0,2021-03-02
Jalisco,Lagos De Moreno,1.0,1.0,0.0,0.0,2021-03-02
Jalisco,San Pedro Tlaquepaque,3.0,1.0,0.0,2.0,2021-03-02
Jalisco,Tlajomulco De Zúñiga,1.0,0.0,1.0,0.0,2021-03-02
Jalisco,Zapopan,4.0,1.0,3.0,0.0,2021-03-02
Michoacán,Jacona,2.0,2.0,0.0,0.0,2021-03-02
Michoacán,Los Reyes,1.0,1.0,0.0,0.0,2021-03-02
Michoacán,Tarímbaro,1.0,1.0,0.0,0.0,2021-03-02
Michoacán,Uruapan,2.0,2.0,0.0,0.0,2021-03-02
Michoacán,Zitácuaro,1.0,0.0,1.0,0.0,2021-03-02
Morelos,Huitzilac,1.0,1.0,0.0,0.0,2021-03-02
Morelos,Yautepec,1.0,1.0,0.0,0.0,2021-03-02
Estado de México,San Antonio La Isla,1.0,1.0,0.0,0.0,2021-03-02
Nuevo León,Vallecillo,1.0,0.0,0.0,1.0,2021-03-02
Oaxaca,Santa María Del Tule,1.0,1.0,0.0,0.0,2021-03-02
Puebla,Huejotzingo,1.0,1.0,0.0,0.0,2021-03-02
Puebla,Juan C. Bonilla,1.0,1.0,0.0,0.0,2021-03-02
Puebla,San Miguel Xoxtla,1.0,1.0,0.0,0.0,2021-03-02
Quintana Roo,Solidaridad,1.0,0.0,1.0,0.0,2021-03-02
San Luis Potosí,San Luis Potosí,2.0,2.0,0.0,0.0,2021-03-02
Sonora,Hermosillo,2.0,2.0,0.0,0.0,2021-03-02
Tamaulipas,Reynosa,6.0,6.0,0.0,0.0,2021-03-02
Veracruz,Ixtaczoquitlán,1.0,0.0,0.0,1.0,2021-03-02
Veracruz,Martínez De La Torre,1.0,1.0,0.0,0.0,2021-03-02
Veracruz,Texhuacán,1.0,1.0,0.0,0.0,2021-03-02
Zacatecas,Guadalupe,1.0,1.0,0.0,0.0,2021-03-02
Zacatecas,Jiménez Del Teul,2.0,2.0,0.0,0.0,2021-03-02
Zacatecas,Zacatecas,1.0,0.0,0.0,1.0,2021-03-02
Aguascalientes,Aguascalientes,1.0,1.0,0.0,0.0,2021-03-03
Baja California,Ensenada,1.0,0.0,1.0,0.0,2021-03-03
Baja California,Tijuana,3.0,3.0,0.0,0.0,2021-03-03
Chiapas,Villa Comaltitlán,1.0,1.0,0.0,0.0,2021-03-03
Chihuahua,Juárez,5.0,3.0,2.0,0.0,2021-03-03
Ciudad de México,Benito Juárez,1.0,0.0,1.0,0.0,2021-03-03
Ciudad de México,Gustavo A. Madero,2.0,2.0,0.0,0.0,2021-03-03
Ciudad de México,Iztacalco,1.0,1.0,0.0,0.0,2021-03-03
Colima,Manzanillo,1.0,1.0,0.0,0.0,2021-03-03
Guanajuato,Celaya,4.0,4.0,0.0,0.0,2021-03-03
Guanajuato,León,3.0,3.0,0.0,0.0,2021-03-03
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2021-03-03
Guanajuato,Valle De Santiago,1.0,1.0,0.0,0.0,2021-03-03
Guerrero,Acapulco De Juárez,1.0,0.0,1.0,0.0,2021-03-03
Guerrero,Iguala De La Independencia,1.0,1.0,0.0,0.0,2021-03-03
Hidalgo,Mineral De La Reforma,1.0,1.0,0.0,0.0,2021-03-03
Jalisco,Guadalajara,2.0,1.0,0.0,1.0,2021-03-03
Jalisco,Lagos De Moreno,1.0,1.0,0.0,0.0,2021-03-03
Jalisco,Puerto Vallarta,1.0,1.0,0.0,0.0,2021-03-03
Jalisco,San Pedro Tlaquepaque,1.0,1.0,0.0,0.0,2021-03-03
Michoacán,Jacona,1.0,1.0,0.0,0.0,2021-03-03
Michoacán,Tarímbaro,1.0,1.0,0.0,0.0,2021-03-03
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2021-03-03
Morelos,Cuernavaca,1.0,1.0,0.0,0.0,2021-03-03
Morelos,Tepoztlán,1.0,1.0,0.0,0.0,2021-03-03
Estado de México,Nezahualcóyotl,1.0,0.0,1.0,0.0,2021-03-03
Estado de México,Tlalnepantla De Baz,1.0,1.0,0.0,0.0,2021-03-03
Nayarit,Santiago Ixcuintla,1.0,0.0,1.0,0.0,2021-03-03
Nuevo León,Cadereyta Jiménez,1.0,1.0,0.0,0.0,2021-03-03
Nuevo León,Escobedo,1.0,1.0,0.0,0.0,2021-03-03
Nuevo León,San Nicolás De Los Garza,1.0,1.0,0.0,0.0,2021-03-03
Oaxaca,Fresnillo De Trujano,2.0,2.0,0.0,0.0,2021-03-03
Puebla,Jolalpan,1.0,1.0,0.0,0.0,2021-03-03
Puebla,Ocoyucan,1.0,0.0,1.0,0.0,2021-03-03
Puebla,Tecamachalco,1.0,0.0,1.0,0.0,2021-03-03
Querétaro,San Juan Del Río,1.0,1.0,0.0,0.0,2021-03-03
San Luis Potosí,San Luis Potosí,3.0,3.0,0.0,0.0,2021-03-03
Sinaloa,Culiacán,4.0,4.0,0.0,0.0,2021-03-03
