"Entidades","Agosto 02","Entidades","Agosto 02"
"Aguascalientes","0","Morelos","2"
"Baja California","7","Nayarit","0"
"","","Nuevo León","5"
"Baja California Sur","0","",""
"","","Oaxaca","3"
"Campeche","0","",""
"","","Puebla","1"
"Chiapas","3","",""
"","","Querétaro","1"
"Chihuahua","6","",""
"","","Quintana Roo","4"
"Ciudad de México","0","",""
"","","San Luis Potosí","2"
"Coahuila","1","",""
"","","Sinaloa","3"
"Colima","0","",""
"","","Sonora","1"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","8","",""
"","","Tamaulipas","0"
"Guanajuato","19","",""
"","","Tlaxcala","2"
"Guerrero","5","",""
"","","Veracruz","5"
"Hidalgo","3","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","6"
"Michoacán","12","",""
"","","Total","104"
