"Entidades","Septiembre 03","Entidades","Septiembre 03"
"Aguascalientes","0","Morelos","5"
"Baja California","5","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","2"
"Chiapas","0","",""
"","","Querétaro","0"
"Chihuahua","3","",""
"","","Quintana Roo","5"
"Ciudad de México","3","",""
"","","San Luis Potosí","7"
"Coahuila","1","",""
"","","Sinaloa","3"
"Colima","1","",""
"","","Sonora","4"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","7","",""
"","","Tamaulipas","2"
"Guanajuato","12","",""
"","","Tlaxcala","0"
"Guerrero","4","",""
"","","Veracruz","1"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","5"
"Michoacán","7","",""
"","","Total","85"
