"Entidades","Ago 13","Entidades","Ago 13"
"Aguascalientes","1","Morelos","5"
"","","Nayarit","0"
"Baja California","10","",""
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","0","",""
"","","Puebla","4"
"Chiapas","4","",""
"","","Querétaro","1"
"Chihuahua","4","",""
"","","Quintana Roo","3"
"Ciudad de México","1","",""
"","","San Luis Potosí","2"
"Coahuila","1","",""
"","","Sinaloa","1"
"Colima","1","",""
"","","Sonora","0"
"Durango","0","",""
"","","Tabasco","3"
"Estado de México","8","",""
"","","Tamaulipas","1"
"Guanajuato","7","",""
"","","Tlaxcala","0"
"Guerrero","4","",""
"","","Veracruz","7"
"Hidalgo","2","",""
"","","Yucatán","0"
"Jalisco","3","",""
"","","Zacatecas","0"
"Michoacán","8","",""
"","","Total","84"
