"Entidades","Junio 20","Entidades","Junio 20"
"Aguascalientes","0","Morelos","0"
"Baja California","3","Nayarit","0"
"","","Nuevo León","5"
"Baja California Sur","1","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","2"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","5","",""
"","","Quintana Roo","1"
"Ciudad de México","1","",""
"","","San Luis Potosí","1"
"Coahuila","2","",""
"","","Sinaloa","1"
"Colima","1","",""
"","","Sonora","14"
"Durango","0","",""
"","","Tabasco","1"
"Estado de México","13","",""
"","","Tamaulipas","0"
"Guanajuato","15","",""
"","","Tlaxcala","0"
"Guerrero","5","",""
"","","Veracruz","2"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","6","",""
"","","Zacatecas","3"
"Michoacán","5","",""
"","","Total","91"
