"Entidades","Julio 20","Entidades","Julio 20"
"Aguascalientes","0","Morelos","3"
"Baja California","4","Nayarit","1"
"","","Nuevo León","0"
"Baja California Sur","0","",""
"","","Oaxaca","4"
"Campeche","0","",""
"","","Puebla","1"
"Chiapas","3","",""
"","","Querétaro","0"
"Chihuahua","5","",""
"","","Quintana Roo","3"
"Ciudad de México","1","",""
"","","San Luis Potosí","1"
"Coahuila","1","",""
"","","Sinaloa","2"
"Colima","1","",""
"","","Sonora","3"
"Durango","0","",""
"","","Tabasco","2"
"Estado de México","5","",""
"","","Tamaulipas","2"
"Guanajuato","11","",""
"","","Tlaxcala","0"
"Guerrero","4","",""
"","","Veracruz","2"
"Hidalgo","6","",""
"","","Yucatán","0"
"Jalisco","7","",""
"","","Zacatecas","2"
"Michoacán","5","",""
"","","Total","79"
