Entidad,Homicidios,Fecha
Aguascalientes,0.0,2019-12-25
Baja California,1.0,2019-12-25
Baja California Sur,0.0,2019-12-25
Campeche,0.0,2019-12-25
Chiapas,1.0,2019-12-25
Chihuahua,2.0,2019-12-25
Ciudad de México,4.0,2019-12-25
Coahuila,1.0,2019-12-25
Colima,0.0,2019-12-25
Durango,0.0,2019-12-25
Estado de México,8.0,2019-12-25
Guanajuato,13.0,2019-12-25
Guerrero,3.0,2019-12-25
Hidalgo,0.0,2019-12-25
Jalisco,4.0,2019-12-25
Michoacán,0.0,2019-12-25
Morelos,1.0,2019-12-25
Nayarit,0.0,2019-12-25
Nuevo León,3.0,2019-12-25
Oaxaca,3.0,2019-12-25
Puebla,1.0,2019-12-25
Querétaro,0.0,2019-12-25
Quintana Roo,1.0,2019-12-25
San Luis Potosí,1.0,2019-12-25
Sinaloa,2.0,2019-12-25
Sonora,2.0,2019-12-25
Tabasco,2.0,2019-12-25
Tamaulipas,2.0,2019-12-25
Tlaxcala,0.0,2019-12-25
Veracruz,1.0,2019-12-25
Yucatán,0.0,2019-12-25
Zacatecas,0.0,2019-12-25
Total,60.0,2019-12-25
