Entidad,Homicidios,Fecha
Aguascalientes,0.0,2019-06-12
Baja California,10.0,2019-06-12
Baja California Sur,0.0,2019-06-12
Campeche,1.0,2019-06-12
Chiapas,3.0,2019-06-12
Chihuahua,3.0,2019-06-12
Ciudad de México,6.0,2019-06-12
Coahuila,1.0,2019-06-12
Colima,2.0,2019-06-12
Durango,0.0,2019-06-12
Estado de México,3.0,2019-06-12
Guanajuato,3.0,2019-06-12
Guerrero,7.0,2019-06-12
Hidalgo,2.0,2019-06-12
Jalisco,10.0,2019-06-12
Michoacán,4.0,2019-06-12
Morelos,1.0,2019-06-12
Nayarit,0.0,2019-06-12
Nuevo León,2.0,2019-06-12
Oaxaca,3.0,2019-06-12
Puebla,10.0,2019-06-12
Querétaro,0.0,2019-06-12
Quintana Roo,4.0,2019-06-12
San Luis Potosí,0.0,2019-06-12
Sinaloa,2.0,2019-06-12
Sonora,2.0,2019-06-12
Tabasco,0.0,2019-06-12
Tamaulipas,3.0,2019-06-12
Tlaxcala,0.0,2019-06-12
Veracruz,7.0,2019-06-12
Yucatán,0.0,2019-06-12
Zacatecas,0.0,2019-06-12
Total,89.0,2019-06-12
