Entidad,Homicidios,Fecha
Aguascalientes,0.0,2019-11-01
Baja California,8.0,2019-11-01
Baja California Sur,0.0,2019-11-01
Campeche,0.0,2019-11-01
Chiapas,3.0,2019-11-01
Chihuahua,3.0,2019-11-01
Ciudad de México,5.0,2019-11-01
Coahuila,0.0,2019-11-01
Colima,2.0,2019-11-01
Durango,1.0,2019-11-01
Estado de México,6.0,2019-11-01
Guanajuato,7.0,2019-11-01
Guerrero,1.0,2019-11-01
Hidalgo,0.0,2019-11-01
Jalisco,3.0,2019-11-01
Michoacán,2.0,2019-11-01
Morelos,0.0,2019-11-01
Nayarit,0.0,2019-11-01
Nuevo León,0.0,2019-11-01
Oaxaca,1.0,2019-11-01
Puebla,0.0,2019-11-01
Querétaro,0.0,2019-11-01
Quintana Roo,3.0,2019-11-01
San Luis Potosí,1.0,2019-11-01
Sinaloa,1.0,2019-11-01
Sonora,0.0,2019-11-01
Tabasco,0.0,2019-11-01
Tamaulipas,1.0,2019-11-01
Tlaxcala,0.0,2019-11-01
Veracruz,2.0,2019-11-01
Yucatán,0.0,2019-11-01
Zacatecas,0.0,2019-11-01
Total,50.0,2019-11-01
Aguascalientes,0.0,2019-11-02
Baja California,4.0,2019-11-02
Baja California Sur,0.0,2019-11-02
Campeche,0.0,2019-11-02
Chiapas,0.0,2019-11-02
Chihuahua,5.0,2019-11-02
Ciudad de México,3.0,2019-11-02
Coahuila,0.0,2019-11-02
Colima,5.0,2019-11-02
Durango,0.0,2019-11-02
Estado de México,12.0,2019-11-02
Guanajuato,11.0,2019-11-02
Guerrero,0.0,2019-11-02
Hidalgo,0.0,2019-11-02
Jalisco,0.0,2019-11-02
Michoacán,2.0,2019-11-02
Morelos,1.0,2019-11-02
Nayarit,0.0,2019-11-02
Nuevo León,3.0,2019-11-02
Oaxaca,1.0,2019-11-02
Puebla,0.0,2019-11-02
Querétaro,0.0,2019-11-02
Quintana Roo,2.0,2019-11-02
San Luis Potosí,0.0,2019-11-02
Sinaloa,3.0,2019-11-02
Sonora,0.0,2019-11-02
Tabasco,0.0,2019-11-02
Tamaulipas,1.0,2019-11-02
Tlaxcala,0.0,2019-11-02
Veracruz,2.0,2019-11-02
Yucatán,0.0,2019-11-02
