Entidad,Homicidios,Fecha
Aguascalientes,0.0,2019-11-28
Baja California,7.0,2019-11-28
Baja California Sur,0.0,2019-11-28
Campeche,0.0,2019-11-28
Chiapas,0.0,2019-11-28
Chihuahua,2.0,2019-11-28
Ciudad de México,0.0,2019-11-28
Coahuila,1.0,2019-11-28
Colima,2.0,2019-11-28
Durango,0.0,2019-11-28
Estado de México,7.0,2019-11-28
Guanajuato,15.0,2019-11-28
Guerrero,5.0,2019-11-28
Hidalgo,1.0,2019-11-28
Jalisco,4.0,2019-11-28
Michoacán,2.0,2019-11-28
Morelos,1.0,2019-11-28
Nayarit,0.0,2019-11-28
Nuevo León,1.0,2019-11-28
Oaxaca,1.0,2019-11-28
Puebla,2.0,2019-11-28
Querétaro,0.0,2019-11-28
Quintana Roo,0.0,2019-11-28
San Luis Potosí,1.0,2019-11-28
Sinaloa,1.0,2019-11-28
Sonora,2.0,2019-11-28
Tabasco,1.0,2019-11-28
Tamaulipas,1.0,2019-11-28
Tlaxcala,2.0,2019-11-28
Veracruz,4.0,2019-11-28
Yucatán,0.0,2019-11-28
Zacatecas,2.0,2019-11-28
Total,65.0,2019-11-28
