Entidad,Homicidios,Fecha
Aguascalientes,2.0,2019-10-15
Baja California,3.0,2019-10-15
Baja California Sur,0.0,2019-10-15
Campeche,0.0,2019-10-15
Chiapas,2.0,2019-10-15
Chihuahua,1.0,2019-10-15
Ciudad de México,3.0,2019-10-15
Coahuila,0.0,2019-10-15
Colima,3.0,2019-10-15
Durango,0.0,2019-10-15
Estado de México,11.0,2019-10-15
Guanajuato,14.0,2019-10-15
Guerrero,6.0,2019-10-15
Hidalgo,0.0,2019-10-15
Jalisco,16.0,2019-10-15
Michoacán,1.0,2019-10-15
Morelos,1.0,2019-10-15
Nayarit,1.0,2019-10-15
Nuevo León,0.0,2019-10-15
Oaxaca,5.0,2019-10-15
Puebla,3.0,2019-10-15
Querétaro,0.0,2019-10-15
Quintana Roo,1.0,2019-10-15
San Luis Potosí,1.0,2019-10-15
Sinaloa,3.0,2019-10-15
Sonora,1.0,2019-10-15
Tabasco,0.0,2019-10-15
Tamaulipas,2.0,2019-10-15
Tlaxcala,0.0,2019-10-15
Veracruz,3.0,2019-10-15
Yucatán,0.0,2019-10-15
Zacatecas,4.0,2019-10-15
Total,87.0,2019-10-15
