Entidad,Homicidios,Fecha
Aguascalientes,1.0,2019-09-15
Baja California,7.0,2019-09-15
Baja California Sur,0.0,2019-09-15
Campeche,1.0,2019-09-15
Chiapas,0.0,2019-09-15
Chihuahua,2.0,2019-09-15
Ciudad de México,6.0,2019-09-15
Coahuila,1.0,2019-09-15
Colima,2.0,2019-09-15
Durango,0.0,2019-09-15
Estado de México,6.0,2019-09-15
Guanajuato,6.0,2019-09-15
Guerrero,4.0,2019-09-15
Hidalgo,1.0,2019-09-15
Jalisco,3.0,2019-09-15
Michoacán,5.0,2019-09-15
Morelos,0.0,2019-09-15
Nayarit,0.0,2019-09-15
Nuevo León,6.0,2019-09-15
Oaxaca,3.0,2019-09-15
Puebla,0.0,2019-09-15
Querétaro,1.0,2019-09-15
Quintana Roo,0.0,2019-09-15
San Luis Potosí,2.0,2019-09-15
Sinaloa,4.0,2019-09-15
Sonora,1.0,2019-09-15
Tabasco,6.0,2019-09-15
Tamaulipas,4.0,2019-09-15
Tlaxcala,0.0,2019-09-15
Veracruz,6.0,2019-09-15
Yucatán,0.0,2019-09-15
Zacatecas,0.0,2019-09-15
Total,78.0,2019-09-15
