Entidad,Homicidios,Entidad1,Homicidios1
Aguascalientes,0,Morelos,1
Baja California,7,Nayarit,0
,,Nuevo León,1
Baja California Sur,0,,
,,Oaxaca,6
Campeche,0,,
,,Puebla,1
Chiapas,2,,
,,Querétaro,1
Chihuahua,10,,
,,Quintana Roo,1
Ciudad de México,4,,
,,San Luis Potosí,0
Coahuila,0,,
,,Sinaloa,2
Colima,1,,
,,Sonora,0
Durango,1,,
,,Tabasco,0
Estado de México,5,,
,,Tamaulipas,1
Guanajuato,6,,
,,Tlaxcala,0
Guerrero,2,,
,,Veracruz,1
Hidalgo,0,,
,,Yucatán,0
Jalisco,14,,
,,Zacatecas,0
Michoacán,6,,
,,Total,73
