Entidad,Homicidios,Entidad,Homicidios
Aguascalientes,0.0,Morelos,1.0
Baja California,1.0,Nayarit,0.0
,,Nuevo León,5.0
Baja California Sur,0.0,,
,,Oaxaca,1.0
Campeche,0.0,,
,,Puebla,4.0
Chiapas,1.0,,
,,Querétaro,1.0
Chihuahua,3.0,,
,,Quintana Roo,1.0
Ciudad de México,4.0,,
,,San Luis Potosí,1.0
Coahuila,0.0,,
,,Sinaloa,0.0
Colima,2.0,,
,,Sonora,2.0
Durango,1.0,,
,,Tabasco,1.0
Estado de México,6.0,,
,,Tamaulipas,12.0
Guanajuato,8.0,,
,,Tlaxcala,1.0
Guerrero,0.0,,
,,Veracruz,1.0
Hidalgo,4.0,,
,,Yucatán,0.0
Jalisco,4.0,,
,,Zacatecas,7.0
Michoacán,4.0,,
,,Total,76.0
