Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-04-26
Baja California,7.0,2020-04-26
Baja California Sur,0.0,2020-04-26
Campeche,0.0,2020-04-26
Chiapas,1.0,2020-04-26
Chihuahua,9.0,2020-04-26
Ciudad de México,4.0,2020-04-26
Coahuila,0.0,2020-04-26
Colima,0.0,2020-04-26
Durango,1.0,2020-04-26
Estado de México,7.0,2020-04-26
Guanajuato,11.0,2020-04-26
Guerrero,1.0,2020-04-26
Hidalgo,4.0,2020-04-26
Jalisco,8.0,2020-04-26
Michoacán,5.0,2020-04-26
Morelos,1.0,2020-04-26
Nayarit,0.0,2020-04-26
Nuevo León,2.0,2020-04-26
Oaxaca,0.0,2020-04-26
Puebla,4.0,2020-04-26
Querétaro,0.0,2020-04-26
Quintana Roo,2.0,2020-04-26
San Luis Potosí,2.0,2020-04-26
Sinaloa,0.0,2020-04-26
Sonora,1.0,2020-04-26
Tabasco,0.0,2020-04-26
Tamaulipas,3.0,2020-04-26
Tlaxcala,0.0,2020-04-26
Veracruz,0.0,2020-04-26
Yucatán,1.0,2020-04-26
Zacatecas,2.0,2020-04-26
Total,76.0,2020-04-26
