Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-08-25
Baja California,3.0,2020-08-25
Baja California Sur,0.0,2020-08-25
Campeche,1.0,2020-08-25
Chiapas,2.0,2020-08-25
Chihuahua,6.0,2020-08-25
Ciudad de México,1.0,2020-08-25
Coahuila,1.0,2020-08-25
Colima,0.0,2020-08-25
Durango,0.0,2020-08-25
Estado de México,5.0,2020-08-25
Guanajuato,19.0,2020-08-25
Guerrero,7.0,2020-08-25
Hidalgo,3.0,2020-08-25
Jalisco,7.0,2020-08-25
Michoacán,4.0,2020-08-25
Morelos,2.0,2020-08-25
Nayarit,0.0,2020-08-25
Nuevo León,3.0,2020-08-25
Oaxaca,5.0,2020-08-25
Puebla,1.0,2020-08-25
Querétaro,0.0,2020-08-25
Quintana Roo,4.0,2020-08-25
San Luis Potosí,2.0,2020-08-25
Sinaloa,2.0,2020-08-25
Sonora,2.0,2020-08-25
Tabasco,8.0,2020-08-25
Tamaulipas,0.0,2020-08-25
Tlaxcala,0.0,2020-08-25
Veracruz,5.0,2020-08-25
Yucatán,0.0,2020-08-25
Zacatecas,8.0,2020-08-25
Total,101.0,2020-08-25
