Entidad,Homicidios,Fecha
Aguascalientes,4.0,2020-02-17
Baja California,6.0,2020-02-17
Baja California Sur,0.0,2020-02-17
Campeche,0.0,2020-02-17
Chiapas,0.0,2020-02-17
Chihuahua,8.0,2020-02-17
Ciudad de México,3.0,2020-02-17
Coahuila,1.0,2020-02-17
Colima,1.0,2020-02-17
Durango,0.0,2020-02-17
Estado de México,8.0,2020-02-17
Guanajuato,17.0,2020-02-17
Guerrero,3.0,2020-02-17
Hidalgo,4.0,2020-02-17
Jalisco,1.0,2020-02-17
Michoacán,6.0,2020-02-17
Morelos,2.0,2020-02-17
Nayarit,2.0,2020-02-17
Nuevo León,0.0,2020-02-17
Oaxaca,5.0,2020-02-17
Puebla,4.0,2020-02-17
Querétaro,0.0,2020-02-17
Quintana Roo,2.0,2020-02-17
San Luis Potosí,0.0,2020-02-17
Sinaloa,2.0,2020-02-17
Sonora,1.0,2020-02-17
Tabasco,3.0,2020-02-17
Tamaulipas,2.0,2020-02-17
Tlaxcala,2.0,2020-02-17
Veracruz,7.0,2020-02-17
Yucatán,0.0,2020-02-17
Zacatecas,2.0,2020-02-17
Total,96.0,2020-02-17
