Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-01-18
Baja California,10.0,2020-01-18
Baja California Sur,1.0,2020-01-18
Campeche,0.0,2020-01-18
Chiapas,1.0,2020-01-18
Chihuahua,4.0,2020-01-18
Ciudad de México,3.0,2020-01-18
Coahuila,0.0,2020-01-18
Colima,0.0,2020-01-18
Durango,0.0,2020-01-18
Estado de México,8.0,2020-01-18
Guanajuato,10.0,2020-01-18
Guerrero,3.0,2020-01-18
Hidalgo,0.0,2020-01-18
Jalisco,4.0,2020-01-18
Michoacán,8.0,2020-01-18
Morelos,0.0,2020-01-18
Nayarit,0.0,2020-01-18
Nuevo León,0.0,2020-01-18
Oaxaca,5.0,2020-01-18
Puebla,6.0,2020-01-18
Querétaro,0.0,2020-01-18
Quintana Roo,1.0,2020-01-18
San Luis Potosí,0.0,2020-01-18
Sinaloa,1.0,2020-01-18
Sonora,1.0,2020-01-18
Tabasco,3.0,2020-01-18
Tamaulipas,2.0,2020-01-18
Tlaxcala,2.0,2020-01-18
Veracruz,1.0,2020-01-18
Yucatán,0.0,2020-01-18
Zacatecas,3.0,2020-01-18
Total,77.0,2020-01-18
