Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-07-09
Baja California,8.0,2020-07-09
Baja California Sur,0.0,2020-07-09
Campeche,0.0,2020-07-09
Chiapas,0.0,2020-07-09
Chihuahua,6.0,2020-07-09
Ciudad de México,3.0,2020-07-09
Coahuila,0.0,2020-07-09
Colima,1.0,2020-07-09
Durango,0.0,2020-07-09
Estado de México,3.0,2020-07-09
Guanajuato,5.0,2020-07-09
Guerrero,2.0,2020-07-09
Hidalgo,0.0,2020-07-09
Jalisco,5.0,2020-07-09
Michoacán,4.0,2020-07-09
Morelos,1.0,2020-07-09
Nayarit,0.0,2020-07-09
Nuevo León,3.0,2020-07-09
Oaxaca,3.0,2020-07-09
Puebla,3.0,2020-07-09
Querétaro,0.0,2020-07-09
Quintana Roo,4.0,2020-07-09
San Luis Potosí,1.0,2020-07-09
Sinaloa,2.0,2020-07-09
Sonora,1.0,2020-07-09
Tabasco,3.0,2020-07-09
Tamaulipas,1.0,2020-07-09
Tlaxcala,0.0,2020-07-09
Veracruz,2.0,2020-07-09
Yucatán,0.0,2020-07-09
Zacatecas,10.0,2020-07-09
Total,71.0,2020-07-09
