Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-03-28
Baja California,9.0,2020-03-28
Baja California Sur,0.0,2020-03-28
Campeche,0.0,2020-03-28
Chiapas,1.0,2020-03-28
Chihuahua,10.0,2020-03-28
Ciudad de México,4.0,2020-03-28
Coahuila,0.0,2020-03-28
Colima,0.0,2020-03-28
Durango,0.0,2020-03-28
Estado de México,18.0,2020-03-28
Guanajuato,11.0,2020-03-28
Guerrero,4.0,2020-03-28
Hidalgo,1.0,2020-03-28
Jalisco,9.0,2020-03-28
Michoacán,5.0,2020-03-28
Morelos,1.0,2020-03-28
Nayarit,0.0,2020-03-28
Nuevo León,5.0,2020-03-28
Oaxaca,2.0,2020-03-28
Puebla,1.0,2020-03-28
Querétaro,2.0,2020-03-28
Quintana Roo,4.0,2020-03-28
San Luis Potosí,0.0,2020-03-28
Sinaloa,3.0,2020-03-28
Sonora,0.0,2020-03-28
Tabasco,1.0,2020-03-28
Tamaulipas,2.0,2020-03-28
Tlaxcala,5.0,2020-03-28
Veracruz,1.0,2020-03-28
Yucatán,0.0,2020-03-28
Zacatecas,3.0,2020-03-28
Total,102.0,2020-03-28
